Time_offload,Time_process,Time_reply,Time_e2e
7.37,1467.95,3.97,1479.29
3.48,60.30,4.70,68.48
3.57,53.19,4.85,61.61
3.66,58.45,4.69,66.80
3.58,56.79,4.66,65.03
3.45,57.97,4.28,65.69
3.40,55.11,4.70,63.22
3.76,56.95,4.65,65.37
3.42,57.67,4.66,65.74
3.52,62.29,4.66,70.47
3.49,59.43,4.63,67.55
3.39,65.54,4.47,73.39
3.34,85.94,4.13,93.41
3.58,73.78,4.87,82.22
3.54,57.02,4.91,65.46
3.62,64.80,4.60,73.02
3.64,60.86,4.97,69.47
3.69,77.42,4.72,85.83
3.46,58.72,4.50,66.68
3.45,55.10,4.65,63.20
3.72,60.62,4.91,69.24
3.73,60.52,4.61,68.86
3.36,66.35,4.69,74.39
3.51,70.64,4.77,78.92
3.57,59.63,3.98,67.18
3.47,59.97,4.39,67.84
3.77,75.95,4.22,83.93
3.39,65.25,4.69,73.34
3.50,59.87,5.04,68.41
3.82,57.21,4.77,65.80
3.75,58.66,3.93,66.34
3.45,53.93,3.95,61.33
3.60,68.07,3.70,75.38
3.32,64.07,3.77,71.16
3.44,56.30,4.11,63.86
3.58,65.35,3.66,72.60
3.36,68.20,3.97,75.53
3.83,67.81,3.78,75.42
3.30,57.85,4.10,65.25
3.96,56.15,3.97,64.08
3.61,61.38,4.01,69.00
3.58,63.11,3.74,70.43
3.33,61.49,4.02,68.84
3.63,59.09,3.73,66.45
3.58,77.34,3.89,84.81
3.52,60.58,3.97,68.08
3.83,75.43,3.65,82.91
3.50,61.66,4.00,69.16
3.64,59.99,3.98,67.61
3.58,60.46,4.03,68.06
3.66,56.88,4.52,65.05
3.93,68.07,4.17,76.17
3.64,62.53,4.15,70.32
3.69,61.86,3.73,69.28
3.39,73.80,4.48,81.66
3.78,68.19,3.98,75.94
3.98,89.10,4.19,97.27
3.83,60.13,4.03,67.99
3.83,63.23,3.90,70.97
3.49,59.67,4.31,67.47
3.93,57.44,4.15,65.51
3.91,67.88,4.06,75.84
3.74,53.94,4.02,61.70
3.61,59.22,3.67,66.49
3.33,58.92,3.78,66.04
3.35,54.39,3.94,61.68
3.43,51.68,3.90,59.01
3.53,51.66,3.85,59.04
3.55,55.71,3.87,63.12
3.53,53.47,4.00,61.00
3.60,57.33,4.02,64.94
3.83,57.19,3.82,64.83
3.42,56.40,3.83,63.65
3.76,53.19,4.06,61.00
3.97,56.64,3.79,64.40
3.39,62.09,3.78,69.25
3.56,62.89,3.99,70.45
3.61,57.42,3.95,64.97
3.55,64.34,3.85,71.74
3.67,67.97,3.98,75.63
3.53,60.52,3.67,67.72
3.55,79.74,3.72,87.01
3.40,67.69,3.84,74.93
3.66,70.74,4.19,78.59
