Time_offload,Time_process,Time_reply,Time_e2e
15.93,1084.79,14.81,1115.54
14.06,177.06,14.42,205.54
13.66,182.22,15.17,211.05
13.98,180.92,15.20,210.10
14.70,170.87,15.51,201.08
13.97,167.23,15.58,196.78
14.37,177.38,14.49,206.24
13.89,175.53,13.13,202.55
12.77,168.90,13.65,195.33
13.24,161.44,13.53,188.20
13.21,172.64,13.57,199.42
13.15,170.74,13.27,197.17
13.13,157.13,13.59,183.85
13.13,166.48,13.85,193.46
13.35,161.03,14.85,189.23
14.28,172.55,13.13,199.95
13.40,171.46,13.75,198.62
13.25,159.01,13.93,186.18
14.08,166.28,14.32,194.69
13.73,163.44,13.63,190.80
13.36,186.60,13.67,213.62
13.57,166.17,13.17,192.91
12.71,169.81,13.92,196.44
13.63,211.39,13.28,238.31
12.73,167.08,13.30,193.10
12.63,162.49,13.21,188.33
12.75,163.61,14.40,190.76
13.77,238.24,13.12,265.12
12.71,209.53,13.70,235.93
12.99,159.89,13.16,186.04
12.71,219.01,13.62,245.34
13.00,161.73,13.18,187.91
12.96,175.96,13.73,202.65
13.24,160.52,13.60,187.37
13.31,183.50,13.35,210.16
13.15,163.05,13.32,189.51
12.93,163.67,14.12,190.72
13.66,157.10,13.60,184.35
13.14,177.41,13.63,204.17
13.48,162.22,13.52,189.22
13.00,158.93,13.34,185.28
13.00,159.80,13.40,186.21
13.00,154.63,13.38,181.01
12.73,196.81,13.33,222.87
12.88,160.08,13.23,186.18
12.71,155.74,13.02,181.47
12.53,158.91,12.92,184.37
12.46,186.97,13.67,213.10
13.59,170.74,13.60,197.93
13.17,161.33,12.93,187.44
12.68,161.79,14.58,189.04
14.40,186.31,13.31,214.02
13.10,159.46,13.05,185.61
12.69,156.78,13.29,182.76
13.24,177.48,12.94,203.66
12.77,192.47,13.08,218.32
13.25,158.19,13.76,185.21
13.24,156.17,13.82,183.23
13.17,177.04,13.84,204.04
13.37,166.36,14.16,193.90
13.91,159.63,13.98,187.52
13.53,167.53,14.26,195.33
13.71,162.25,13.26,189.21
12.97,167.41,13.15,193.53
12.63,155.07,12.86,180.55
12.83,180.91,13.47,207.21
13.31,164.72,13.00,191.02
12.88,163.08,14.02,189.99
13.57,157.81,14.51,185.89
14.10,183.50,14.01,211.62
13.86,178.39,13.39,205.64
13.69,166.27,13.08,193.04
12.88,156.34,13.62,182.84
13.15,178.15,13.49,204.78
13.16,171.81,14.07,199.04
13.61,156.39,13.35,183.34
12.85,155.75,14.10,182.70
13.77,175.73,13.25,202.75
13.06,178.62,13.28,204.95
12.91,174.28,13.36,200.55
13.06,157.18,13.81,184.04
13.30,167.61,16.42,197.33
16.14,169.49,13.84,199.47
13.56,160.76,13.18,187.49
12.72,160.74,13.26,186.72
12.94,167.94,14.20,195.08
13.56,165.10,13.26,191.92
12.73,164.08,13.42,190.24
13.58,163.99,13.52,191.09
13.31,213.41,13.21,239.93
13.19,169.29,13.51,195.99
13.17,169.78,13.21,196.16
12.79,172.39,13.95,199.13
14.05,166.94,13.20,194.18
12.93,181.70,13.70,208.33
13.29,170.78,13.42,197.49
13.26,170.08,13.44,196.78
12.92,169.95,13.46,196.32
12.93,169.85,15.72,198.50
15.30,167.40,1.36,184.05
