Time_offload,Time_process,Time_reply,Time_e2e
13.48,983.41,7.49,1004.39
6.72,117.46,8.35,132.52
7.13,150.77,9.61,167.51
8.45,152.93,8.81,170.20
7.99,122.02,8.03,138.03
7.08,115.63,8.26,130.97
7.10,108.63,7.86,123.58
6.93,113.17,8.19,128.30
7.82,122.95,8.30,139.07
7.09,151.59,7.56,166.24
6.89,121.37,8.12,136.38
7.55,110.92,8.77,127.24
7.88,113.42,7.91,129.21
7.28,121.28,8.63,137.18
7.45,131.63,7.44,146.52
6.83,133.11,7.44,147.38
7.02,122.69,7.53,137.24
7.45,117.87,6.89,132.21
6.51,115.38,7.07,128.95
6.88,118.59,7.24,132.71
6.70,123.43,7.42,137.54
7.13,143.73,7.17,158.03
6.80,104.99,7.60,119.40
7.22,109.28,6.77,123.27
6.52,111.60,6.99,125.12
6.46,121.70,7.94,136.11
7.50,150.03,7.21,164.73
7.03,110.07,7.28,124.38
6.79,114.97,7.23,128.99
6.92,115.85,7.34,130.10
6.91,131.71,7.36,145.99
7.28,145.79,7.64,160.71
7.05,123.90,7.12,138.07
7.22,108.61,7.47,123.30
7.12,113.63,7.28,128.02
6.73,119.26,7.41,133.39
6.99,141.94,6.82,155.75
6.67,148.38,7.25,162.30
6.67,111.16,6.82,124.66
6.43,110.85,6.92,124.20
6.79,117.33,7.02,131.13
6.66,152.61,6.77,166.04
6.74,145.47,7.80,160.01
7.71,129.46,7.54,144.71
7.56,113.87,6.90,128.33
6.90,123.46,7.53,137.89
7.22,125.69,7.55,140.47
7.00,122.80,6.94,136.75
6.43,122.36,7.84,136.62
7.73,110.85,7.35,125.93
6.98,117.61,7.82,132.42
7.20,126.60,7.14,140.94
7.06,125.04,7.10,139.20
6.75,117.25,7.13,131.13
6.86,111.36,7.89,126.10
7.21,119.95,7.57,134.74
7.48,130.11,7.22,144.82
6.82,104.86,8.52,120.20
8.85,111.56,7.09,127.50
6.92,93.72,7.43,108.07
7.01,97.48,7.91,112.40
7.57,110.17,6.90,124.63
6.79,120.98,7.67,135.44
6.90,112.70,7.06,126.66
6.66,108.63,7.97,123.26
7.22,103.73,7.01,117.96
6.92,101.53,7.08,115.53
6.51,113.17,7.79,127.47
7.31,108.74,7.23,123.29
6.85,119.38,7.30,133.53
7.00,103.10,7.67,117.78
7.81,112.06,7.06,126.93
6.86,98.79,7.35,113.00
6.99,109.50,6.96,123.45
6.54,103.20,7.44,117.18
6.78,105.77,7.78,120.32
7.78,103.97,7.67,119.43
7.16,103.35,7.22,117.73
6.97,99.01,6.96,112.94
6.59,106.50,7.09,120.17
6.71,109.38,7.50,123.58
7.15,105.76,7.53,120.43
7.18,101.39,8.05,116.62
7.54,103.74,7.53,118.81
6.97,102.11,7.05,116.14
6.69,105.09,7.54,119.31
6.88,102.76,7.39,117.03
7.03,102.94,7.50,117.46
7.25,101.74,7.18,116.16
6.69,108.40,6.95,122.04
6.72,108.11,7.41,122.24
6.77,113.02,7.24,127.03
6.72,103.17,6.94,116.83
6.70,109.76,7.39,123.86
6.71,101.79,7.49,115.98
6.98,102.22,7.61,116.81
7.22,105.24,6.98,119.43
6.57,117.20,6.99,130.76
6.48,107.65,6.96,121.10
6.45,105.35,8.26,120.07
8.02,112.04,8.66,128.71
7.94,107.91,7.02,122.87
6.45,113.92,7.04,127.41
6.50,114.50,7.72,128.73
7.47,103.14,7.64,118.24
7.22,102.06,7.64,116.93
7.17,106.19,7.37,120.73
6.91,108.69,6.92,122.51
7.04,116.33,7.33,130.70
7.24,114.80,7.37,129.41
7.11,101.86,7.38,116.35
6.83,115.32,7.16,129.31
6.62,110.19,7.29,124.10
6.82,114.84,7.25,128.90
6.71,146.56,7.89,161.15
7.47,119.24,7.75,134.46
7.33,107.63,6.96,121.92
6.91,109.36,7.74,124.01
7.65,107.90,8.05,123.61
7.59,116.23,7.17,131.00
6.85,118.19,7.34,132.39
7.21,105.86,7.51,120.58
6.99,102.04,7.61,116.64
7.00,105.26,7.39,119.65
6.82,108.21,8.07,123.11
7.45,105.68,7.00,120.13
6.74,108.83,7.29,122.86
6.73,103.10,6.94,116.77
6.78,104.94,7.48,119.21
7.31,101.38,6.85,115.53
6.47,104.66,7.20,118.33
7.45,113.11,6.73,127.29
7.30,124.97,6.98,139.25
6.64,102.25,7.22,116.10
7.33,102.92,7.65,117.90
7.03,107.09,7.25,121.38
6.64,103.88,7.18,117.71
6.61,103.39,7.42,117.41
6.88,102.31,6.99,116.18
6.76,99.23,7.89,113.88
7.81,103.54,7.31,118.67
6.88,105.47,7.61,119.95
7.07,109.31,7.51,123.88
7.29,156.52,8.06,171.87
7.56,103.20,7.54,118.31
7.02,104.41,7.18,118.61
7.21,104.36,6.80,118.36
6.61,104.16,7.12,117.89
7.25,101.53,7.93,116.71
7.75,100.62,1.00,109.37
