Time_offload,Time_process,Time_reply,Time_e2e
8.27,817.69,4.06,830.02
3.50,66.66,4.69,74.85
3.63,77.80,4.83,86.26
3.83,60.95,4.69,69.47
3.46,72.50,4.94,80.89
3.66,77.86,4.41,85.93
3.57,56.78,4.97,65.32
3.81,59.19,5.00,67.99
3.81,64.21,4.87,72.88
3.55,56.96,4.78,65.29
3.58,60.83,4.69,69.10
3.49,58.05,5.81,67.35
4.07,58.71,4.69,67.47
3.69,76.19,4.14,84.03
3.43,74.21,4.83,82.48
3.73,60.51,4.28,68.52
3.61,56.86,4.65,65.12
3.73,70.96,5.01,79.70
3.87,57.96,4.26,66.09
3.40,59.25,5.26,67.91
3.92,59.58,4.61,68.12
3.59,56.30,4.75,64.64
3.59,55.66,4.66,63.90
3.55,73.69,4.63,81.87
3.46,65.64,4.66,73.76
3.51,72.65,4.31,80.46
3.57,52.79,4.63,60.99
3.39,56.35,4.59,64.33
3.46,50.15,4.75,58.35
3.56,51.94,4.48,59.98
3.49,56.53,3.69,63.72
3.54,52.02,4.24,59.80
3.97,77.38,4.34,85.69
3.86,60.77,4.58,69.20
4.32,49.02,3.90,57.25
3.80,59.65,4.25,67.70
3.73,56.39,3.96,64.07
3.65,53.39,3.71,60.75
3.72,68.39,4.10,76.20
3.63,67.06,3.79,74.49
3.55,59.17,3.88,66.59
3.52,65.55,3.74,72.81
3.38,52.98,4.33,60.69
3.93,53.01,3.75,60.69
3.54,55.51,3.93,62.98
3.50,53.47,3.74,60.71
3.29,54.20,3.79,61.29
3.30,55.68,4.08,63.06
3.71,57.08,4.10,64.89
3.61,67.79,3.75,75.15
3.35,56.77,4.38,64.50
4.00,68.58,3.92,76.51
3.42,56.54,3.78,63.75
3.31,53.60,4.12,61.03
3.54,54.72,4.04,62.30
3.53,70.48,3.95,77.96
3.69,51.59,3.77,59.05
3.51,56.40,4.16,64.07
3.72,51.35,3.90,58.97
3.43,63.10,3.74,70.27
3.50,59.32,3.74,66.56
3.49,54.88,3.78,62.15
3.49,62.76,3.83,70.08
3.59,61.87,3.92,69.37
3.58,52.95,4.18,60.70
3.69,55.21,3.78,62.68
3.49,57.48,3.87,64.84
3.55,51.92,4.51,59.98
3.95,52.00,4.17,60.12
3.75,52.40,3.76,59.91
3.34,55.18,4.14,62.65
3.62,62.38,3.87,69.88
3.80,75.04,4.37,83.21
4.26,54.23,4.26,62.75
3.82,50.77,4.05,58.63
3.83,59.83,4.12,67.79
3.42,69.18,4.10,76.69
3.74,56.70,3.67,64.11
3.51,57.19,3.96,64.66
3.52,57.98,4.48,65.97
4.01,58.37,4.49,66.87
4.12,55.01,4.09,63.22
3.69,55.98,3.97,63.64
3.50,59.90,4.08,67.48
3.66,59.92,3.92,67.50
3.88,65.25,4.24,73.37
3.82,63.23,4.10,71.15
4.02,68.54,3.86,76.42
3.38,60.38,3.75,67.51
3.55,66.60,4.13,74.27
3.83,92.45,4.07,100.35
3.81,84.31,4.10,92.23
3.67,60.27,3.77,67.71
3.42,61.21,4.02,68.65
3.61,61.27,3.83,68.71
3.54,70.09,3.96,77.60
3.78,61.38,4.10,69.27
3.85,64.69,4.15,72.69
3.58,57.49,3.80,64.86
3.55,73.56,4.31,81.42
3.91,63.47,3.96,71.34
3.63,79.11,3.64,86.38
3.47,70.81,3.92,78.20
3.66,64.12,3.98,71.76
3.58,62.71,3.72,70.00
3.54,67.62,3.82,74.98
3.38,57.33,4.14,64.85
3.66,59.73,4.82,68.21
5.01,68.11,3.93,77.05
3.66,62.27,3.83,69.76
3.36,71.75,3.95,79.07
3.52,66.53,4.21,74.26
3.69,83.97,4.14,91.80
3.85,60.02,4.19,68.06
3.64,70.77,4.07,78.48
3.91,55.72,4.13,63.77
3.91,60.88,4.02,68.81
3.93,68.72,3.81,76.46
3.68,59.12,3.82,66.61
3.71,68.55,4.04,76.31
3.50,70.82,4.25,78.57
3.59,82.86,4.53,90.97
3.99,63.52,4.16,71.67
3.78,88.13,4.34,96.26
3.89,79.84,4.00,87.73
3.53,70.11,3.96,77.60
3.47,56.07,4.27,63.81
4.20,58.84,3.92,66.96
3.45,60.72,4.00,68.17
