Time_offload,Time_process,Time_reply,Time_e2e
13.80,866.43,7.54,887.77
6.89,129.57,8.49,144.96
7.42,114.45,7.91,129.79
6.94,114.40,8.27,129.62
7.19,111.85,7.38,126.42
6.96,111.21,7.47,125.64
6.99,106.45,7.99,121.43
7.37,109.98,7.54,124.89
7.02,113.10,8.25,128.37
7.76,115.68,7.80,131.23
6.90,115.68,8.44,131.02
7.21,118.32,8.74,134.26
7.78,106.60,8.23,122.61
7.60,96.25,8.34,112.19
7.12,96.60,8.17,111.88
6.86,97.00,7.10,110.97
6.74,108.07,7.15,121.95
6.79,108.68,7.18,122.66
6.79,100.74,7.20,114.73
6.89,100.89,7.16,114.94
6.64,101.28,7.31,115.23
7.12,95.87,7.31,110.30
7.01,106.57,7.14,120.72
6.73,119.58,7.14,133.46
6.79,114.37,6.92,128.07
6.56,125.82,7.43,139.81
6.75,122.70,7.11,136.57
6.86,110.96,7.04,124.87
6.73,137.05,7.02,150.80
6.59,114.01,7.94,128.54
7.33,143.57,7.34,158.24
6.88,99.38,7.32,113.59
6.83,142.17,7.66,156.66
7.40,101.12,6.99,115.51
6.74,99.71,7.25,113.70
6.70,97.05,7.07,110.82
7.17,110.04,7.22,124.43
6.76,103.84,7.23,117.82
6.79,95.82,7.02,109.64
6.48,129.51,6.87,142.85
6.60,98.44,6.91,111.95
6.59,102.13,6.99,115.71
6.89,106.60,7.22,120.70
6.70,99.02,7.27,112.99
7.40,106.13,7.05,120.58
6.55,101.77,7.09,115.41
7.02,101.43,7.31,115.76
6.78,144.13,6.96,157.86
6.64,128.73,7.92,143.29
7.55,97.05,0.99,105.59
