Time_offload,Time_process,Time_reply,Time_e2e
17.93,1378.38,3.59,1399.89
3.21,5.44,0.41,9.07
5.92,5.59,0.36,11.86
12.02,7.08,0.36,19.46
13.22,6.93,0.38,20.54
3.01,7.26,0.58,10.85
3.01,5.46,0.50,8.97
12.89,7.29,0.37,20.55
2.82,4.73,0.40,7.96
13.94,7.46,0.44,21.84
12.99,7.41,0.45,20.85
13.12,6.97,0.38,20.46
13.12,7.23,0.49,20.84
3.01,5.51,0.55,9.07
2.98,5.54,0.56,9.08
12.24,7.43,0.40,20.08
13.41,7.02,0.38,20.81
3.05,5.73,0.64,9.42
3.29,5.48,0.53,9.29
12.82,7.37,0.41,20.59
13.15,6.99,0.36,20.50
13.42,6.93,0.35,20.70
13.37,6.90,0.35,20.61
13.47,6.97,0.36,20.80
2.98,6.96,0.67,10.62
12.23,7.82,0.55,20.60
3.87,8.93,0.58,13.38
4.10,8.26,0.58,12.93
12.09,7.12,0.39,19.59
4.96,8.35,0.47,13.78
12.85,7.03,0.36,20.23
13.17,6.90,0.35,20.42
13.37,6.94,0.38,20.68
2.82,4.65,0.37,7.83
2.93,5.33,0.49,8.74
13.00,7.38,0.38,20.76
13.38,6.60,0.33,20.32
13.64,6.90,0.36,20.90
13.47,6.90,0.36,20.72
2.82,4.69,0.38,7.88
2.77,4.62,0.36,7.76
13.69,7.48,0.36,21.54
13.57,6.83,0.35,20.75
13.66,6.88,0.35,20.89
13.59,6.89,0.36,20.84
12.09,5.20,0.52,17.82
9.21,6.95,0.59,16.76
11.21,7.82,0.46,19.49
11.44,6.45,0.41,18.30
13.04,7.00,0.38,20.42
13.45,6.96,0.36,20.78
13.50,7.03,0.36,20.89
2.80,4.69,0.37,7.87
2.92,5.75,0.52,9.18
12.50,7.49,0.46,20.45
12.59,6.85,0.37,19.81
13.26,6.90,0.37,20.52
13.21,6.82,0.35,20.38
13.54,6.88,0.35,20.76
13.64,7.59,0.57,21.79
11.84,7.53,0.52,19.89
4.55,8.43,0.53,13.51
12.37,7.04,0.38,19.79
13.12,6.98,0.36,20.45
13.43,6.05,0.51,19.98
8.80,6.68,0.56,16.04
12.64,7.09,0.39,20.12
13.35,6.64,0.34,20.33
2.84,4.82,0.46,8.11
13.74,7.44,0.47,21.65
5.58,9.04,0.51,15.14
12.10,7.53,0.39,20.01
2.82,4.67,0.37,7.87
9.38,8.82,0.48,18.68
12.21,6.91,0.41,19.53
13.07,6.87,0.35,20.29
13.31,6.84,0.34,20.50
13.53,6.85,0.35,20.73
13.22,6.88,0.34,20.44
13.39,6.91,0.36,20.65
13.48,6.87,0.35,20.70
2.98,7.75,0.47,11.20
13.05,7.07,0.37,20.49
13.42,6.88,0.39,20.69
13.14,7.74,0.54,21.42
11.26,7.13,0.39,18.79
12.49,6.30,0.38,19.17
13.27,6.98,0.36,20.61
13.27,6.94,0.35,20.56
13.27,6.94,0.36,20.57
13.30,6.92,0.35,20.57
13.31,6.97,0.36,20.64
3.35,4.63,0.36,8.34
2.86,4.98,0.46,8.30
12.85,7.46,0.38,20.68
13.57,6.90,0.36,20.83
13.42,6.90,0.35,20.67
13.57,6.90,0.35,20.82
13.50,6.53,0.33,20.36
13.64,6.87,0.36,20.87
13.50,6.92,0.37,20.79
13.34,6.89,0.35,20.57
13.51,6.89,0.36,20.76
13.48,6.96,0.36,20.80
4.78,7.12,0.61,12.51
2.98,5.83,0.58,9.40
3.12,5.73,0.57,9.42
7.63,8.63,0.52,16.78
11.73,7.10,0.40,19.23
13.23,6.92,0.35,20.50
13.32,6.94,0.35,20.61
13.33,7.01,0.35,20.69
13.51,6.83,0.35,20.69
8.59,4.60,0.35,13.55
3.04,5.52,0.59,9.15
3.39,5.40,0.53,9.32
10.12,8.45,0.48,19.06
11.97,6.91,0.38,19.27
13.23,6.94,0.36,20.53
13.41,6.85,0.36,20.62
