Time_offload,Time_process,Time_reply,Time_e2e
58.77,5129.61,4.05,5192.42
17.18,5129.59,4.16,5150.93
50.43,11.56,0.61,62.61
13.68,11.55,0.69,25.92
60.63,10.51,0.53,71.67
17.80,10.49,0.60,28.90
60.67,7.82,0.57,69.06
16.71,7.82,0.65,25.18
51.01,12.74,0.87,64.62
13.91,12.72,0.96,27.59
53.98,11.83,0.70,66.51
15.48,11.81,0.78,28.07
60.79,10.70,0.59,72.08
17.70,10.68,0.67,29.05
61.54,10.53,0.55,72.62
17.87,10.51,0.63,29.01
61.58,10.69,0.55,72.81
17.76,10.67,0.62,29.05
59.53,8.46,0.82,68.80
15.72,8.45,0.90,25.07
56.96,12.55,0.81,70.32
14.00,12.53,0.92,27.44
42.01,12.27,0.72,55.00
3.47,12.26,0.81,16.53
61.72,10.83,0.58,73.13
17.81,10.82,0.66,29.29
61.52,10.64,0.56,72.72
17.84,10.63,0.63,29.10
46.29,8.04,0.73,55.06
2.81,8.03,0.81,11.66
60.48,10.85,0.61,71.93
17.78,10.83,0.68,29.30
61.12,10.61,0.58,72.31
17.56,10.60,0.65,28.81
61.46,10.68,0.56,72.70
17.77,10.66,0.63,29.06
48.65,10.25,0.82,59.72
4.98,10.24,0.91,16.13
47.27,14.09,0.71,62.07
8.24,14.07,0.80,23.12
46.36,10.84,0.77,57.98
4.11,10.83,0.85,15.79
55.62,10.94,0.60,67.16
17.60,10.92,0.67,29.19
52.78,12.45,0.58,65.81
12.84,12.43,0.66,25.93
45.73,8.62,0.67,55.02
2.84,8.62,0.75,12.21
63.38,10.75,0.56,74.69
17.86,10.73,0.63,29.23
61.46,10.64,0.54,72.64
17.75,10.63,0.63,29.01
61.32,10.61,0.58,72.51
17.56,10.60,0.65,28.80
61.30,10.56,0.57,72.43
17.64,10.54,0.65,28.83
61.50,10.68,0.56,72.74
17.69,10.66,0.63,28.98
41.17,8.45,0.71,50.34
3.95,8.45,0.79,13.19
55.36,13.05,0.60,69.01
10.94,13.03,0.67,24.65
45.66,7.83,0.58,54.07
2.81,7.82,0.66,11.29
55.92,11.30,0.70,67.93
17.59,11.28,0.78,29.65
60.69,10.69,0.71,72.09
17.65,10.67,0.79,29.11
56.39,11.24,0.70,68.33
17.26,11.22,0.78,29.26
60.44,10.80,0.57,71.82
17.51,10.79,0.64,28.94
61.56,10.55,0.54,72.65
17.80,10.54,0.61,28.95
49.97,10.23,0.78,60.98
6.44,10.23,0.86,17.52
55.10,10.99,0.59,66.68
17.75,10.97,0.67,29.39
58.69,7.98,0.56,67.22
14.98,7.97,0.63,23.58
56.38,10.96,0.56,67.89
17.77,10.94,0.63,29.35
60.99,10.61,0.57,72.17
17.54,10.60,0.64,28.78
42.14,8.84,0.80,51.78
3.05,8.83,0.89,12.77
55.12,11.34,0.68,67.13
17.65,11.32,0.76,29.73
60.50,10.78,0.57,71.85
17.62,10.77,0.64,29.03
61.38,10.71,0.57,72.66
17.72,10.70,0.65,29.06
61.48,10.64,0.54,72.66
17.61,10.63,0.61,28.85
61.46,10.49,0.55,72.50
17.67,10.48,0.63,28.78
47.73,11.22,0.76,59.71
4.04,11.21,0.84,16.09
55.86,10.63,0.59,67.09
17.51,10.62,0.67,28.79
47.22,13.79,0.57,61.58
7.05,13.77,0.65,21.47
60.52,10.67,0.57,71.76
17.45,10.66,0.64,28.75
61.34,10.52,0.56,72.42
17.48,10.50,0.66,28.64
46.44,7.86,0.55,54.86
2.81,7.86,0.62,11.29
57.79,11.01,0.68,69.48
17.75,10.99,0.76,29.50
61.25,10.73,0.55,72.53
17.66,10.71,0.62,29.00
49.20,12.55,0.73,62.48
5.54,12.54,0.81,18.89
60.67,10.83,0.61,72.11
17.45,10.81,0.68,28.94
61.52,10.62,0.56,72.70
17.87,10.61,0.64,29.12
46.59,13.25,0.71,60.54
2.95,13.24,0.78,16.98
