Time_offload,Time_process,Time_reply,Time_e2e
67.38,1383.54,3.68,1454.60
16.52,1383.52,3.77,1403.81
44.24,10.87,0.59,55.71
7.90,10.86,0.66,19.42
57.10,10.54,0.60,68.23
15.98,10.52,0.67,27.17
59.80,10.80,0.54,71.14
16.44,10.78,0.62,27.84
47.18,10.58,0.76,58.53
3.74,10.57,0.85,15.16
53.49,10.93,0.61,65.03
16.20,10.92,0.69,27.81
49.71,12.49,0.56,62.75
11.52,12.47,0.63,24.62
53.73,11.09,0.57,65.39
16.34,11.08,0.64,28.06
59.72,10.79,0.54,71.05
16.42,10.77,0.61,27.80
42.21,8.28,0.69,51.17
2.84,8.27,0.78,11.89
61.62,10.79,0.57,72.98
16.77,10.77,0.65,28.19
60.01,10.84,0.53,71.38
16.42,10.82,0.61,27.85
60.06,10.80,0.54,71.40
16.46,10.79,0.62,27.87
59.22,10.37,0.53,70.12
15.64,10.35,0.61,26.60
59.86,10.79,0.53,71.18
16.43,10.77,0.60,27.80
43.20,10.84,0.83,54.87
4.69,10.83,0.91,16.43
53.50,11.10,0.62,65.22
15.97,11.08,0.70,27.76
54.83,11.45,0.56,66.84
15.03,11.43,0.63,27.09
59.89,10.56,0.51,70.95
16.57,10.54,0.59,27.70
42.06,8.25,0.68,50.98
2.87,8.24,0.76,11.88
61.36,11.25,0.79,73.39
16.50,11.23,0.89,28.61
44.85,13.57,0.73,59.15
5.17,13.56,0.81,19.54
58.94,10.89,0.57,70.39
16.20,10.87,0.64,27.71
59.94,10.81,0.54,71.30
16.40,10.79,0.61,27.80
60.30,10.76,0.55,71.61
16.70,10.74,0.62,28.06
58.96,11.93,0.81,71.69
15.43,11.91,0.89,28.22
58.67,10.82,0.61,70.09
16.25,10.80,0.69,27.74
56.46,7.86,0.57,64.90
13.00,7.85,0.65,21.50
61.02,10.97,0.54,72.53
16.54,10.95,0.62,28.11
60.10,10.80,0.54,71.44
16.41,10.78,0.62,27.80
46.38,7.86,0.58,54.82
2.85,7.86,0.66,11.37
53.92,11.22,0.64,65.78
16.68,11.20,0.71,28.59
59.53,10.85,0.54,70.91
16.34,10.83,0.61,27.77
60.11,10.44,0.50,71.05
16.58,10.42,0.57,27.57
60.26,9.82,0.65,70.72
16.41,9.80,0.72,26.93
60.66,10.61,0.53,71.80
16.85,10.60,0.61,28.06
49.28,9.03,0.79,59.10
5.80,9.02,0.87,15.70
57.14,11.12,0.66,68.91
16.61,11.10,0.73,28.44
42.81,13.09,0.72,56.62
4.51,13.08,0.80,18.39
59.41,10.86,0.58,70.85
16.39,10.85,0.65,27.88
60.02,10.78,0.54,71.35
16.45,10.76,0.62,27.83
55.78,7.73,0.54,64.04
12.26,7.72,0.62,20.60
52.57,11.68,0.64,64.89
15.35,11.66,0.72,27.73
59.61,11.17,0.75,71.53
16.50,11.15,0.83,28.48
45.18,13.41,0.75,59.33
4.69,13.39,0.83,18.92
58.85,10.85,0.54,70.24
16.13,10.83,0.61,27.57
60.01,10.88,0.57,71.46
16.29,10.86,0.64,27.80
58.12,10.86,0.70,69.68
16.12,10.84,0.78,27.74
59.55,11.44,0.65,71.64
16.12,11.42,0.72,28.26
45.58,7.80,0.60,53.97
2.90,7.79,0.68,11.37
62.05,10.91,0.56,73.53
16.60,10.89,0.64,28.13
59.88,10.69,0.53,71.10
16.24,10.68,0.60,27.52
46.24,8.09,0.56,54.89
2.80,8.08,0.64,11.52
55.36,11.17,0.64,67.18
16.62,11.15,0.72,28.50
59.37,10.82,0.59,70.78
16.23,10.80,0.66,27.69
59.92,10.83,0.54,71.28
16.38,10.81,0.61,27.79
60.07,10.85,0.54,71.46
16.45,10.83,0.62,27.89
59.94,10.79,0.54,71.27
16.37,10.77,0.61,27.76
47.83,12.62,0.72,61.17
4.04,12.61,0.81,17.46
53.72,11.08,0.57,65.36
16.26,11.05,0.64,27.95
