Time_offload,Time_process,Time_reply,Time_e2e
24.43,1351.12,12.17,1387.72
5.95,4.64,5.27,15.86
5.89,5.53,5.34,16.77
5.98,5.61,5.81,17.39
9.28,4.76,5.41,19.45
10.19,4.74,5.25,20.17
10.38,4.69,5.25,20.32
2.80,4.63,3.12,10.54
4.64,6.75,3.32,14.71
5.98,5.64,3.12,14.73
6.11,6.17,3.26,15.55
5.84,5.60,3.10,14.54
4.98,6.61,3.48,15.08
4.38,6.13,3.43,13.95
4.46,6.35,3.50,14.31
3.06,5.87,3.31,12.25
5.77,5.54,3.14,14.46
6.31,5.74,3.08,15.13
6.46,5.41,3.12,14.99
6.56,5.85,3.12,15.52
6.49,5.84,3.12,15.44
6.09,6.28,3.40,15.77
5.81,5.74,3.22,14.77
5.90,5.54,3.13,14.57
2.85,4.78,3.21,10.85
6.34,5.89,3.13,15.36
6.13,5.65,3.08,14.86
6.44,5.80,3.14,15.37
6.13,5.61,3.12,14.86
6.34,5.79,3.12,15.25
6.46,5.84,3.16,15.45
2.80,4.63,0.36,7.79
2.93,5.59,0.57,9.09
5.78,5.58,3.22,14.58
5.24,5.43,3.40,14.07
5.83,6.16,3.30,15.29
5.76,5.54,3.14,14.44
6.33,5.78,3.14,15.25
6.37,5.75,3.13,15.25
6.45,5.76,3.07,15.28
6.44,5.79,3.11,15.34
6.42,5.78,3.15,15.35
6.53,5.80,3.09,15.42
6.54,5.74,3.15,15.43
6.45,5.76,3.12,15.33
3.90,5.58,3.35,12.83
3.06,5.67,3.28,12.01
5.67,5.51,3.13,14.30
2.81,4.87,0.40,8.08
6.44,5.55,3.16,15.14
6.46,5.77,3.09,15.32
6.43,5.76,3.10,15.30
6.54,5.72,3.16,15.42
6.47,5.68,3.11,15.26
6.56,6.36,3.35,16.26
2.99,5.52,3.43,11.94
2.97,5.53,3.28,11.78
5.80,5.53,3.13,14.46
6.33,5.77,3.14,15.25
6.11,5.68,3.16,14.95
