Time_offload,Time_process,Time_reply,Time_e2e
19.07,1394.11,3.60,1416.77
3.29,5.52,0.47,9.29
6.08,5.67,0.36,12.11
12.26,7.07,0.35,19.68
13.66,6.96,0.39,21.01
13.80,6.57,0.34,20.71
14.15,6.93,0.37,21.44
13.52,4.63,0.38,18.53
2.96,5.50,0.53,8.99
11.80,7.82,0.43,20.05
12.77,6.94,0.37,20.08
13.83,6.90,0.36,21.09
13.83,6.94,0.36,21.13
13.88,6.84,0.35,21.07
13.73,6.92,0.40,21.04
13.70,6.90,0.36,20.95
13.74,6.90,0.35,21.00
13.96,6.93,0.35,21.24
13.92,6.92,0.36,21.19
2.88,7.17,0.53,10.58
6.77,6.18,0.56,13.52
11.76,7.74,0.45,19.95
10.41,6.64,0.54,17.58
12.98,7.51,0.55,21.04
7.66,8.37,0.54,16.56
11.88,6.98,0.39,19.25
13.13,6.88,0.39,20.40
13.92,6.86,0.36,21.14
13.80,6.84,0.35,21.00
2.82,4.60,0.38,7.81
3.19,6.69,0.52,10.40
12.28,7.26,0.39,19.93
13.52,6.96,0.36,20.84
6.22,9.10,0.53,15.84
3.38,6.98,0.60,10.96
13.24,7.34,0.41,20.99
13.55,6.55,0.35,20.45
14.07,6.84,0.35,21.26
13.90,6.82,0.39,21.11
13.79,7.16,0.49,21.44
4.62,7.43,0.59,12.63
12.29,7.73,0.56,20.57
7.14,6.39,0.59,14.12
11.05,7.88,0.46,19.39
11.50,6.42,0.41,18.33
12.71,7.15,0.37,20.23
13.80,6.84,0.36,21.00
13.68,6.91,0.35,20.94
13.94,6.87,0.35,21.16
13.87,6.98,0.36,21.21
2.80,4.64,0.36,7.80
3.31,7.55,0.57,11.43
12.35,7.24,0.43,20.02
13.64,7.01,0.39,21.04
13.59,6.91,0.40,20.90
13.90,6.81,0.36,21.07
13.93,6.85,0.35,21.13
13.92,6.87,0.36,21.15
13.93,6.84,0.36,21.13
13.92,6.89,0.37,21.18
13.78,6.94,0.37,21.08
13.83,6.88,0.36,21.07
11.54,8.09,0.61,20.25
9.32,8.16,0.57,18.05
11.23,7.49,0.55,19.26
2.87,4.85,0.42,8.14
13.12,7.32,0.39,20.82
14.12,6.58,0.34,21.04
2.88,6.35,0.63,9.87
10.20,8.51,0.50,19.21
12.04,6.95,0.38,19.37
2.81,4.67,0.38,7.85
3.17,5.66,0.58,9.41
12.70,7.21,0.42,20.32
13.68,7.05,0.40,21.13
13.64,6.97,0.38,20.99
13.60,6.87,0.35,20.83
5.99,8.36,0.43,14.78
13.16,7.35,0.47,20.97
5.22,5.94,0.52,11.67
4.38,7.56,0.50,12.44
11.41,7.21,0.41,19.03
13.44,8.21,0.52,22.17
9.30,6.77,0.48,16.55
11.63,7.83,0.61,20.08
10.04,7.80,0.47,18.31
12.49,7.02,0.40,19.90
2.87,4.68,0.40,7.94
13.79,7.41,0.36,21.55
13.93,6.90,0.37,21.20
13.88,6.87,0.38,21.12
13.80,6.89,0.35,21.05
13.81,6.63,0.37,20.81
2.81,4.64,0.37,7.82
10.19,8.83,0.50,19.52
12.30,6.91,0.37,19.59
9.76,7.65,0.41,17.82
12.97,7.49,0.58,21.04
3.10,5.28,0.55,8.94
8.17,8.87,0.56,17.59
11.76,7.03,0.43,19.22
13.49,7.04,0.38,20.91
6.09,5.58,0.61,12.28
9.73,8.40,0.55,18.67
4.63,7.21,0.62,12.46
13.05,7.66,0.54,21.24
7.25,6.38,0.58,14.21
11.38,7.79,0.44,19.61
11.07,6.36,0.40,17.83
11.27,7.53,0.42,19.22
12.62,7.08,0.40,20.09
13.65,6.99,0.36,21.00
13.82,6.87,0.36,21.04
13.87,6.99,0.36,21.22
4.37,6.85,0.62,11.84
2.98,5.38,0.51,8.87
3.05,5.81,0.51,9.37
12.04,7.30,0.38,19.72
13.74,6.91,0.36,21.01
8.18,5.41,0.52,14.11
