Time_offload,Time_process,Time_reply,Time_e2e
14.42,1384.66,3.67,1402.74
3.34,5.61,3.18,12.14
3.02,4.62,3.13,10.77
2.99,4.63,3.06,10.67
2.95,4.62,3.10,10.68
3.00,4.34,3.12,10.46
3.00,4.65,3.11,10.76
2.96,4.64,3.11,10.71
2.98,4.85,3.47,11.29
3.17,5.16,3.18,11.51
3.00,4.78,3.18,10.95
3.03,4.60,3.11,10.74
2.96,4.61,3.14,10.72
3.02,4.60,3.07,10.69
2.96,4.63,3.16,10.76
3.02,4.73,3.10,10.85
2.98,4.65,3.16,10.80
3.07,4.74,3.16,10.97
3.02,4.72,3.17,10.91
3.02,4.70,3.16,10.88
3.00,4.64,3.15,10.79
3.01,4.65,3.12,10.78
2.98,4.67,3.14,10.79
2.99,4.62,3.19,10.80
3.06,4.67,3.13,10.87
2.98,4.59,3.07,10.64
2.93,4.62,3.08,10.63
2.94,4.60,3.05,10.59
2.94,4.57,3.08,10.60
2.98,4.55,3.10,10.63
2.95,4.56,3.49,11.00
3.38,4.67,3.17,11.22
3.03,4.69,3.23,10.96
3.09,4.90,3.57,11.56
3.25,5.14,3.31,11.70
3.13,4.86,3.30,11.29
3.15,4.47,3.19,10.82
3.06,4.75,3.17,10.98
3.02,4.69,3.19,10.90
3.06,4.65,3.15,10.85
3.01,4.66,3.17,10.84
3.04,4.66,3.15,10.86
3.03,4.94,3.37,11.34
3.19,4.80,3.23,11.22
3.07,4.68,3.16,10.91
3.01,4.65,3.23,10.90
3.06,4.68,3.13,10.87
3.00,4.68,3.20,10.88
3.07,4.62,3.16,10.85
3.05,4.63,3.25,10.94
3.13,5.46,3.40,11.99
3.17,5.41,3.42,12.00
3.21,5.04,3.27,11.52
3.07,4.91,3.17,11.14
2.99,4.91,3.31,11.22
3.12,5.23,3.37,11.71
3.18,5.12,3.31,11.61
3.12,5.01,3.27,11.41
3.10,4.73,3.15,10.98
3.00,4.73,3.12,10.85
2.98,4.63,3.19,10.80
3.06,4.74,3.20,11.00
3.03,4.69,3.16,10.88
3.04,4.79,3.26,11.08
3.13,5.33,3.31,11.78
3.09,4.84,3.18,11.12
3.01,4.71,3.20,10.92
3.05,4.33,3.18,10.57
3.05,4.70,3.14,10.89
3.00,4.67,3.19,10.85
3.04,4.66,3.14,10.84
2.99,4.68,3.16,10.84
3.02,4.77,3.21,11.00
3.05,4.66,3.23,10.95
3.08,4.67,3.18,10.93
3.02,4.68,3.17,10.88
3.03,4.64,3.16,10.83
3.02,4.64,3.12,10.78
2.97,4.68,3.08,10.73
2.94,4.60,3.15,10.68
3.00,4.62,3.08,10.70
2.94,4.59,3.17,10.71
3.03,4.60,3.18,10.81
3.04,4.64,3.10,10.78
2.96,4.58,3.11,10.65
2.96,4.59,3.14,10.69
3.00,4.60,3.14,10.74
3.00,4.59,3.10,10.70
2.97,4.59,3.07,10.62
2.93,4.61,3.11,10.65
2.96,4.63,3.06,10.65
2.93,4.60,3.14,10.66
3.01,4.61,3.07,10.68
2.92,4.58,3.14,10.64
3.00,4.59,3.15,10.73
2.99,4.67,3.17,10.83
3.01,4.64,3.17,10.83
3.03,4.62,3.11,10.77
2.97,4.28,3.11,10.36
2.98,4.86,3.23,11.08
3.03,5.05,3.33,11.41
3.11,5.06,3.20,11.36
3.02,4.86,3.17,11.05
3.00,4.84,3.20,11.03
3.04,4.66,3.11,10.81
2.96,4.63,3.11,10.70
2.96,4.61,3.11,10.68
2.97,4.68,3.16,10.81
3.03,4.69,3.11,10.82
2.97,4.63,3.07,10.67
2.93,5.03,3.29,11.25
3.08,4.82,3.15,11.05
2.98,4.66,3.08,10.72
2.94,4.65,3.15,10.75
3.01,4.60,3.09,10.70
2.95,4.60,3.11,10.65
2.96,4.62,3.14,10.71
2.99,4.59,3.10,10.69
2.96,4.58,3.11,10.66
2.97,4.60,3.10,10.68
2.96,4.63,3.13,10.73
2.97,4.65,3.09,10.71
2.94,4.61,3.18,10.73
3.05,4.58,3.08,10.70
2.94,5.04,3.16,11.15
3.03,5.06,3.34,11.43
3.14,5.13,3.39,11.65
3.15,5.19,3.38,11.72
3.16,5.19,3.34,11.70
3.09,4.88,3.19,11.16
3.05,4.89,3.18,11.12
3.00,4.66,3.14,10.81
2.99,4.65,3.14,10.78
2.97,4.66,3.09,10.73
2.96,4.72,3.13,10.81
2.99,4.57,3.09,10.66
2.95,4.71,3.16,10.83
3.03,4.70,3.12,10.86
2.98,4.84,3.29,11.10
3.12,5.23,3.34,11.70
3.12,5.02,3.41,11.55
3.27,5.17,3.23,11.68
3.07,4.86,3.17,11.10
3.00,4.65,3.07,10.72
2.93,4.74,3.12,10.79
2.97,4.58,3.11,10.67
2.92,4.60,3.12,10.64
2.98,4.59,3.18,10.76
3.05,4.62,3.18,10.85
3.01,4.59,3.07,10.66
2.96,4.59,3.10,10.65
2.95,4.56,3.06,10.57
2.93,4.60,3.07,10.60
2.95,4.65,3.12,10.73
2.98,4.60,3.12,10.71
3.01,4.65,3.13,10.78
2.95,4.60,3.12,10.67
2.99,4.56,3.08,10.63
2.94,4.58,3.07,10.60
2.94,4.58,3.09,10.61
2.98,4.25,3.08,10.31
2.98,4.64,3.08,10.70
2.97,4.53,3.14,10.64
3.01,4.62,3.12,10.75
2.99,4.59,3.14,10.72
2.99,4.66,3.13,10.79
3.01,4.56,3.08,10.65
2.94,4.62,3.10,10.67
2.96,4.63,3.07,10.66
2.94,4.60,3.11,10.65
2.96,4.58,3.05,10.59
2.90,4.60,3.15,10.65
3.03,4.64,3.09,10.75
2.93,4.60,3.13,10.65
2.99,4.76,3.11,10.86
2.97,4.61,3.18,10.77
3.04,4.69,3.16,10.89
3.00,4.67,3.12,10.79
2.95,4.63,3.11,10.69
2.98,4.63,3.11,10.72
2.99,4.60,3.11,10.71
2.94,4.64,3.08,10.66
2.94,4.64,3.10,10.68
2.94,4.59,3.11,10.64
2.97,4.66,3.11,10.74
2.98,4.63,3.10,10.71
2.94,4.59,3.12,10.65
2.96,4.65,3.10,10.71
3.00,4.55,3.09,10.65
2.96,4.63,3.12,10.70
2.99,4.63,3.10,10.72
2.99,4.28,3.08,10.34
3.01,4.70,3.10,10.81
2.96,4.65,3.17,10.78
3.03,5.10,3.22,11.34
3.03,5.24,3.27,11.54
3.06,4.86,3.22,11.15
3.07,4.83,3.19,11.09
3.02,4.87,3.20,11.09
3.05,4.68,3.18,10.91
3.00,4.67,3.13,10.81
2.99,4.64,3.06,10.68
2.92,4.59,3.07,10.58
2.97,4.67,3.12,10.76
2.99,4.58,3.07,10.64
2.96,4.60,3.16,10.72
2.99,4.72,3.15,10.86
3.01,4.70,3.17,10.87
3.03,4.59,3.12,10.74
2.99,4.58,3.11,10.67
3.00,4.70,3.17,10.87
3.05,4.59,3.08,10.72
2.94,4.68,3.08,10.70
2.94,4.59,3.06,10.59
2.95,4.65,3.06,10.66
2.93,4.58,3.11,10.62
2.97,4.61,3.10,10.67
2.96,4.59,3.12,10.67
2.98,4.65,3.11,10.74
3.01,4.52,3.12,10.64
2.98,4.64,3.09,10.71
2.97,4.65,3.11,10.73
2.98,4.30,3.15,10.42
3.02,4.62,3.09,10.73
2.96,4.65,3.06,10.67
