Time_offload,Time_process,Time_reply,Time_e2e
70.55,1405.74,3.83,1480.12
18.17,1405.72,3.96,1427.84
44.61,10.92,0.57,56.10
8.10,10.91,0.65,19.66
60.33,10.23,0.52,71.07
17.63,10.21,0.59,28.43
62.28,10.53,0.52,73.33
17.81,10.51,0.61,28.92
61.69,11.00,0.74,73.43
17.84,10.98,0.83,29.65
51.62,13.36,0.68,65.66
9.42,13.34,0.77,23.52
54.55,12.31,0.56,67.41
12.21,12.29,0.63,25.13
60.84,10.50,0.59,71.93
17.78,10.49,0.66,28.93
40.45,8.62,0.73,49.80
3.25,8.61,0.81,12.67
48.83,12.36,0.83,62.02
4.57,12.35,0.92,17.84
60.82,10.86,0.63,72.31
17.75,10.85,0.71,29.31
61.27,10.71,0.55,72.52
17.67,10.69,0.62,28.98
61.50,10.48,0.58,72.57
17.67,10.47,0.66,28.80
61.60,10.56,0.56,72.72
17.84,10.54,0.64,29.02
55.90,11.35,0.84,68.09
12.12,11.34,0.93,24.39
60.28,10.93,0.60,71.81
17.61,10.91,0.68,29.19
55.84,7.87,0.56,64.27
12.12,7.87,0.64,20.62
54.97,10.86,0.57,66.41
17.68,10.85,0.66,29.18
61.53,10.26,0.54,72.33
17.74,10.25,0.61,28.60
62.07,11.25,0.65,73.98
17.79,11.24,0.73,29.76
40.09,8.74,0.81,49.64
3.10,8.73,0.89,12.73
40.31,8.77,0.83,49.91
3.08,8.76,0.91,12.75
42.03,10.03,0.77,52.83
2.96,10.02,0.86,13.85
62.45,10.78,0.59,73.82
17.61,10.76,0.67,29.04
61.31,10.66,0.61,72.57
17.63,10.64,0.69,28.96
60.86,10.68,0.56,72.10
17.76,10.67,0.63,29.05
55.86,8.65,0.81,65.33
12.10,8.65,0.90,21.64
54.86,12.74,0.68,68.28
11.85,12.72,0.76,25.33
45.13,8.07,0.65,53.85
2.79,8.07,0.73,11.60
47.79,7.94,0.60,56.34
2.80,7.94,0.68,11.41
43.59,8.00,0.57,52.16
6.57,7.99,0.65,15.21
62.14,10.48,0.57,73.18
17.01,10.46,0.64,28.11
40.05,8.57,0.82,49.45
3.03,8.57,0.91,12.50
55.94,10.98,0.65,67.57
17.37,10.97,0.73,29.07
61.27,10.93,0.64,72.84
17.74,10.91,0.72,29.37
61.22,10.71,0.54,72.47
17.57,10.69,0.62,28.88
61.47,10.52,0.53,72.52
17.61,10.50,0.64,28.75
61.71,10.57,0.54,72.83
17.87,10.56,0.62,29.04
43.81,8.71,0.76,53.27
4.62,8.70,0.84,14.16
61.93,10.78,0.59,73.30
17.64,10.77,0.67,29.08
53.53,10.78,0.57,64.89
16.29,10.77,0.65,27.72
61.39,10.68,0.56,72.63
17.73,10.66,0.64,29.03
40.93,12.57,0.73,54.23
3.88,12.56,0.82,17.25
61.16,10.64,0.58,72.38
17.58,10.63,0.66,28.86
61.39,10.58,0.54,72.51
17.68,10.57,0.62,28.86
49.04,13.41,0.73,63.19
5.25,13.41,0.82,19.48
41.26,9.13,0.68,51.07
4.11,9.12,0.76,13.99
61.14,10.75,0.55,72.44
16.42,10.73,0.63,27.78
47.05,14.82,0.80,62.67
3.61,14.80,0.89,19.30
49.10,9.28,0.66,59.04
9.72,9.26,0.74,19.72
59.19,7.91,0.56,67.66
15.28,7.91,0.64,23.83
49.63,12.00,0.66,62.29
12.56,11.98,0.74,25.28
59.55,11.16,0.69,71.40
16.36,11.14,0.77,28.26
59.47,10.99,0.57,71.02
16.31,10.97,0.64,27.92
59.86,10.82,0.53,71.21
16.39,10.81,0.61,27.80
46.54,10.73,0.83,58.10
3.05,10.72,0.92,14.68
56.74,11.40,0.70,68.83
16.22,11.38,0.78,28.38
40.13,11.28,0.72,52.14
3.01,11.28,0.80,15.09
48.84,9.75,0.58,59.17
4.94,9.74,0.66,15.34
49.82,10.21,0.69,60.72
5.16,10.21,0.77,16.13
60.79,10.90,0.55,72.24
16.42,10.88,0.62,27.92
46.14,7.72,0.54,54.40
2.86,7.72,0.62,11.20
53.55,11.44,0.65,65.65
16.44,11.42,0.73,28.59
58.15,10.78,0.54,69.47
16.26,10.76,0.61,27.63
60.10,10.50,0.57,71.18
16.53,10.49,0.64,27.66
59.91,10.69,0.53,71.13
16.30,10.67,0.61,27.58
59.88,10.73,0.52,71.13
16.38,10.71,0.59,27.68
54.82,8.56,0.83,64.22
11.03,8.56,0.92,20.51
54.61,12.00,0.73,67.33
11.74,11.98,0.81,24.53
45.68,10.05,0.76,56.48
3.41,10.04,0.84,14.29
50.96,12.37,0.73,64.06
13.84,12.36,0.81,27.01
59.18,11.00,0.54,70.71
16.52,10.97,0.61,28.11
59.60,7.74,0.55,67.88
15.80,7.73,0.63,24.15
51.14,12.39,0.69,64.23
14.05,12.37,0.78,27.19
59.26,10.85,0.57,70.67
16.49,10.83,0.64,27.95
60.42,11.02,0.53,71.97
16.64,11.00,0.61,28.25
60.27,10.88,0.52,71.67
16.56,10.86,0.59,28.02
60.44,10.95,0.54,71.92
16.61,10.93,0.61,28.14
56.00,11.66,0.81,68.48
16.85,11.64,0.89,29.39
41.51,9.77,0.73,52.01
2.86,9.77,0.81,13.44
49.18,8.37,0.64,58.19
4.53,8.36,0.74,13.63
62.63,11.04,0.54,74.21
16.76,11.02,0.61,28.39
60.40,10.98,0.54,71.93
16.61,10.97,0.61,28.18
47.44,7.76,0.59,55.80
3.55,7.76,0.67,11.98
53.12,12.00,0.65,65.77
15.94,11.98,0.73,28.65
59.66,11.06,0.58,71.29
16.52,11.04,0.66,28.21
60.20,11.00,0.58,71.77
16.55,10.98,0.65,28.18
60.44,10.90,0.53,71.87
16.64,10.88,0.60,28.12
60.41,10.84,0.52,71.77
16.59,10.82,0.59,28.00
54.16,8.57,0.77,63.50
10.37,8.56,0.85,19.78
57.82,11.43,0.61,69.87
16.63,11.41,0.69,28.73
59.46,11.07,0.56,71.09
16.34,11.05,0.64,28.04
53.67,11.54,0.74,65.95
16.52,11.53,0.82,28.86
41.09,8.54,0.69,50.32
3.36,8.54,0.77,12.67
52.77,11.88,0.65,65.30
15.49,11.86,0.73,28.08
59.68,10.78,0.54,70.99
16.50,10.76,0.60,27.86
60.59,11.00,0.52,72.11
16.61,10.98,0.59,28.18
60.43,11.06,0.53,72.02
16.62,11.04,0.60,28.26
60.28,10.89,0.55,71.72
16.52,10.88,0.62,28.02
53.66,8.52,0.74,62.92
9.80,8.52,0.83,19.15
58.23,11.33,0.63,70.18
16.66,11.31,0.74,28.71
45.86,10.19,0.80,56.85
3.16,10.18,0.88,14.23
59.35,11.43,0.69,71.48
16.50,11.41,0.77,28.68
59.50,10.95,0.53,70.99
16.55,10.94,0.61,28.09
60.24,10.95,0.53,71.73
16.57,10.94,0.61,28.11
41.12,12.73,0.68,54.53
4.09,12.72,0.76,17.57
59.97,11.07,0.55,71.58
16.46,11.04,0.62,28.12
60.45,11.00,0.56,72.01
16.64,10.99,0.63,28.26
60.28,11.44,0.72,72.44
16.48,11.42,0.80,28.70
59.58,11.11,0.57,71.26
16.62,11.09,0.64,28.36
60.14,11.11,0.54,71.79
16.56,11.09,0.61,28.26
40.44,8.44,0.68,49.56
2.93,8.43,0.77,12.13
53.88,13.58,0.60,68.07
9.06,13.55,0.69,23.30
59.23,11.05,0.59,70.87
16.45,11.04,0.67,28.15
60.57,10.97,0.55,72.09
16.70,10.95,0.62,28.28
42.64,8.13,0.67,51.44
2.90,8.13,0.75,11.77
41.58,8.61,0.77,50.96
2.96,8.60,0.85,12.42
58.93,11.41,0.66,71.00
16.43,11.39,0.74,28.55
59.42,11.00,0.56,70.98
16.38,10.98,0.64,28.00
60.26,10.92,0.56,71.73
16.48,10.90,0.63,28.01
