Time_offload,Time_process,Time_reply,Time_e2e
26.60,1436.36,4.12,1467.09
19.49,1436.36,4.21,1460.06
11.50,1436.35,4.27,1452.12
3.32,1436.35,4.33,1443.99
26.29,15.97,3.66,45.91
18.81,15.96,3.73,38.51
10.81,15.96,3.80,30.56
2.81,15.95,3.85,22.61
26.25,14.36,3.60,44.20
18.94,14.35,3.72,37.01
10.93,14.35,3.79,29.07
2.92,14.34,3.85,21.12
25.92,14.35,3.60,43.88
18.65,14.35,3.69,36.68
10.74,14.34,3.75,28.82
2.86,14.34,3.80,21.00
26.11,14.21,3.60,43.92
18.81,14.20,3.69,36.70
10.78,14.19,3.76,28.73
2.82,14.19,3.82,20.83
26.21,14.14,3.63,43.98
18.89,14.13,3.71,36.73
10.83,14.13,3.77,28.72
2.83,14.12,3.83,20.78
26.27,15.33,3.89,45.48
18.99,15.32,3.98,38.29
10.96,15.31,4.04,30.31
3.05,15.31,4.10,22.45
24.34,15.09,3.74,43.17
16.96,15.08,3.82,35.86
9.94,15.07,3.89,28.90
2.87,15.07,3.94,21.88
26.16,14.27,3.77,44.19
18.77,14.26,3.85,36.88
10.78,14.26,3.92,28.95
2.85,14.25,3.97,21.07
26.04,14.30,3.58,43.92
18.72,14.27,3.67,36.66
10.74,14.27,3.74,28.74
2.83,14.26,3.80,20.89
26.19,14.39,3.70,44.28
18.84,14.38,3.79,37.01
10.84,14.38,3.86,29.08
2.82,14.37,3.92,21.11
26.27,14.34,3.63,44.23
18.83,14.33,3.71,36.87
10.86,14.33,3.77,28.96
2.81,14.32,3.83,20.95
26.21,14.49,3.62,44.33
18.84,14.49,3.71,37.04
10.83,14.48,3.78,29.09
2.83,14.47,3.84,21.14
26.30,14.20,3.62,44.12
18.88,14.19,3.69,36.77
10.81,14.19,3.75,28.75
2.88,14.18,3.81,20.88
26.17,14.36,3.63,44.16
18.78,14.35,3.71,36.85
10.79,14.35,3.77,28.91
2.82,14.34,3.83,20.99
26.33,14.27,3.65,44.25
18.94,14.27,3.74,36.95
10.80,14.26,3.81,28.87
2.81,14.26,3.87,20.93
26.07,14.13,3.88,44.08
18.72,14.13,3.96,36.81
10.77,14.12,4.06,28.95
2.86,14.12,4.11,21.10
26.13,14.73,3.68,44.54
18.68,14.73,3.77,37.17
10.74,14.72,3.84,29.29
2.81,14.71,3.90,21.42
25.94,14.48,3.64,44.06
18.64,14.47,3.73,36.84
10.74,14.47,3.79,29.00
2.82,14.46,3.87,21.16
26.33,14.30,3.67,44.30
18.89,14.30,3.75,36.94
10.84,14.29,3.82,28.95
2.84,14.29,3.88,21.00
26.15,14.30,3.64,44.09
18.74,14.29,3.72,36.75
10.76,14.29,3.79,28.84
2.84,14.28,3.85,20.97
26.04,14.38,3.64,44.06
18.73,14.38,3.72,36.83
10.83,14.37,3.78,28.98
2.86,14.37,3.84,21.06
26.23,14.32,3.76,44.31
18.83,14.32,3.85,36.99
10.77,14.31,3.91,28.99
2.83,14.31,3.97,21.11
26.27,14.18,3.66,44.12
18.79,14.17,3.75,36.70
10.77,14.17,3.82,28.75
2.84,14.16,3.88,20.88
26.38,14.06,3.59,44.03
18.97,14.06,3.67,36.70
10.95,14.05,3.73,28.73
2.87,14.05,3.79,20.71
25.92,14.28,3.63,43.83
18.65,14.28,3.71,36.63
10.74,14.27,3.77,28.78
2.81,14.27,3.83,20.91
