Time_offload,Time_process,Time_reply,Time_e2e
23.72,1398.17,3.82,1425.70
8.25,1398.16,3.91,1410.32
10.13,9.02,3.32,22.46
2.85,9.01,3.40,15.27
10.13,7.61,3.28,21.02
2.85,7.61,3.35,13.80
10.16,8.51,3.73,22.40
3.02,8.50,3.84,15.36
10.36,8.45,3.51,22.32
2.94,8.44,3.61,14.99
10.14,7.88,3.28,21.30
2.86,7.88,3.37,14.11
9.99,8.24,3.62,21.85
2.87,8.24,3.71,14.82
10.23,8.22,3.51,21.96
2.91,8.22,3.60,14.72
10.07,8.00,3.31,21.38
2.85,7.99,3.39,14.23
10.08,7.90,3.33,21.30
2.82,7.89,3.41,14.12
10.11,7.81,3.31,21.23
2.84,7.81,3.38,14.02
10.00,7.74,3.34,21.08
2.85,7.74,3.42,14.01
10.04,7.92,3.31,21.27
2.86,7.92,3.40,14.17
9.99,7.82,3.24,21.05
2.82,7.82,3.32,13.96
9.95,7.75,3.26,20.95
2.81,7.75,3.33,13.89
9.98,7.73,3.25,20.95
2.84,7.72,3.33,13.89
10.05,7.77,3.27,21.09
2.82,7.76,3.36,13.94
10.06,7.80,3.29,21.14
2.82,7.79,3.36,13.97
10.09,7.46,3.25,20.81
2.83,7.46,3.34,13.63
10.04,7.72,3.34,21.10
2.81,7.72,3.43,13.96
10.11,8.15,3.52,21.78
2.88,8.15,3.60,14.63
10.23,7.92,3.37,21.52
2.83,7.91,3.46,14.20
10.13,7.94,3.33,21.40
2.81,7.93,3.41,14.15
10.11,7.87,3.31,21.29
2.82,7.86,3.39,14.08
10.06,7.75,3.28,21.09
2.80,7.74,3.36,13.90
10.06,8.26,3.26,21.58
2.82,8.25,3.35,14.42
9.94,7.82,3.32,21.09
2.83,7.82,3.41,14.05
10.03,7.98,3.44,21.45
2.86,7.97,3.52,14.36
10.11,8.15,3.39,21.66
2.86,8.15,3.48,14.48
10.12,7.92,3.32,21.36
2.81,7.92,3.40,14.13
10.12,8.25,3.33,21.70
2.87,8.24,3.41,14.52
10.10,7.91,3.32,21.33
2.82,7.90,3.40,14.12
9.98,7.81,3.28,21.08
2.82,7.80,3.36,13.99
10.07,7.51,3.27,20.85
2.85,7.50,3.34,13.69
10.05,7.78,3.28,21.11
2.80,7.78,3.36,13.94
10.06,7.83,3.28,21.17
2.81,7.82,3.36,13.99
10.11,7.77,3.29,21.17
2.86,7.76,3.37,13.99
10.07,7.81,3.28,21.16
2.82,7.81,3.35,13.98
10.07,7.79,3.25,21.12
2.84,7.79,3.37,14.00
9.93,7.77,3.29,20.99
2.80,7.76,3.38,13.94
10.06,7.81,3.28,21.15
2.79,7.81,3.36,13.96
