Time_offload,Time_process,Time_reply,Time_e2e
2.97,1379.80,3.68,1386.46
3.34,6.00,3.41,12.75
3.16,5.02,3.18,11.36
2.97,4.74,3.27,10.99
3.08,4.80,3.23,11.10
3.06,4.39,3.12,10.58
2.99,4.58,3.06,10.63
2.93,4.54,3.01,10.47
2.88,4.51,3.05,10.44
2.91,4.53,3.02,10.46
2.88,4.58,3.09,10.54
2.95,4.52,3.15,10.62
3.01,4.69,3.14,10.84
3.00,4.78,3.12,10.90
2.98,4.63,3.12,10.73
2.97,4.61,3.07,10.65
2.93,4.58,3.07,10.57
2.95,4.55,3.04,10.54
2.91,4.58,3.07,10.56
2.93,4.61,3.07,10.60
2.89,4.61,3.10,10.60
2.93,4.72,3.06,10.71
2.91,4.57,3.06,10.54
2.93,4.57,3.07,10.57
2.94,4.58,3.06,10.58
2.92,4.60,3.00,10.52
2.86,4.65,3.08,10.59
2.94,4.56,3.03,10.52
2.89,4.67,3.03,10.59
2.88,4.59,3.06,10.53
2.91,4.60,3.05,10.55
2.94,4.62,3.02,10.58
2.88,4.61,3.10,10.58
2.96,4.52,3.05,10.52
2.91,4.57,3.07,10.55
2.92,4.62,3.03,10.58
2.90,4.27,3.08,10.25
2.95,4.61,3.05,10.61
2.91,4.61,3.05,10.57
2.92,4.60,3.07,10.59
2.92,4.56,3.04,10.52
2.93,4.57,3.07,10.57
2.94,4.59,3.08,10.61
2.96,4.67,3.11,10.74
2.98,4.61,3.12,10.71
2.96,4.64,3.17,10.77
3.04,5.12,3.10,11.27
2.96,4.66,3.22,10.84
3.08,4.67,3.13,10.88
2.99,4.82,3.30,11.11
3.11,5.06,3.31,11.48
3.12,5.04,3.29,11.44
3.10,4.83,3.22,11.16
3.06,4.75,3.16,10.96
3.00,4.62,3.19,10.80
3.04,4.64,3.16,10.85
3.05,4.77,3.09,10.90
2.95,4.66,3.14,10.75
3.00,4.67,3.11,10.79
2.98,4.65,3.11,10.74
2.96,4.67,3.12,10.75
2.99,4.60,3.09,10.67
2.95,4.64,3.14,10.74
3.02,4.72,3.22,10.97
3.10,4.66,3.18,10.94
3.05,4.71,3.15,10.90
3.03,4.70,3.17,10.89
3.05,4.32,3.10,10.48
2.99,4.62,3.07,10.67
2.92,4.67,3.08,10.68
2.93,4.58,3.05,10.57
2.93,4.67,3.08,10.68
2.94,4.60,3.13,10.68
3.00,4.59,3.10,10.69
2.96,4.63,3.12,10.71
2.97,4.61,3.10,10.68
2.97,4.61,3.26,10.83
3.13,5.30,3.36,11.78
3.16,5.37,3.37,11.90
3.15,5.20,3.39,11.73
3.18,5.08,3.18,11.44
3.02,4.81,3.15,10.98
2.99,4.72,3.12,10.83
2.99,4.64,3.08,10.71
2.95,4.70,3.10,10.76
2.95,4.67,3.16,10.79
3.03,4.64,3.14,10.82
3.04,4.60,3.10,10.74
2.97,4.69,3.10,10.76
2.96,4.70,3.10,10.75
2.94,4.65,3.10,10.69
2.96,4.63,3.15,10.74
3.02,4.71,3.08,10.82
2.95,4.58,3.13,10.66
3.00,4.58,3.14,10.73
3.03,4.57,3.13,10.72
3.02,4.64,3.05,10.71
2.94,4.57,3.11,10.62
2.98,4.34,3.08,10.41
2.96,4.62,3.07,10.65
2.93,4.62,3.07,10.62
2.91,4.61,3.10,10.62
2.96,4.60,3.09,10.65
2.97,4.61,3.15,10.74
3.03,4.68,3.10,10.80
2.94,4.64,3.15,10.74
3.06,4.66,3.12,10.84
2.98,4.59,3.10,10.67
2.97,4.60,3.10,10.68
2.96,4.60,3.05,10.62
2.92,4.71,3.08,10.71
2.94,4.58,3.09,10.60
2.95,4.65,3.08,10.68
2.95,4.61,3.11,10.66
2.98,4.70,3.20,10.88
3.10,5.23,3.38,11.71
3.16,5.32,3.48,11.96
3.28,5.39,3.32,11.99
3.15,5.47,3.42,12.04
3.19,4.87,3.52,11.58
3.27,5.54,3.40,12.21
3.17,5.24,3.38,11.79
3.17,5.34,3.43,11.94
3.24,4.85,3.21,11.30
3.07,4.85,3.17,11.09
3.04,4.78,3.23,11.05
3.11,4.73,3.21,11.05
3.09,4.76,3.21,11.05
3.08,4.74,3.21,11.03
3.10,4.41,3.19,10.70
3.09,4.86,3.18,11.13
3.05,4.73,3.21,10.99
3.09,4.65,3.16,10.90
2.99,4.67,3.17,10.83
3.02,4.64,3.17,10.83
3.05,4.66,3.13,10.83
2.98,4.67,3.15,10.80
3.05,4.66,3.12,10.83
2.99,4.77,3.17,10.93
3.06,4.65,3.13,10.85
2.99,4.72,3.14,10.85
2.99,4.66,3.21,10.86
3.07,4.65,3.17,10.88
3.03,4.66,3.11,10.79
2.97,4.64,3.19,10.80
3.06,4.68,3.13,10.86
3.01,4.63,3.14,10.78
3.00,4.66,3.16,10.82
