Time_offload,Time_process,Time_reply,Time_e2e
30.34,1410.74,29.32,1470.40
1442.79,15.73,27.65,1486.16
1431.54,15.70,27.72,1474.96
63.07,14.13,27.30,104.50
61.17,14.07,27.60,102.85
61.16,14.34,27.32,102.81
61.29,14.21,28.66,104.16
61.39,15.07,29.06,105.52
62.79,15.02,28.38,106.20
64.03,14.71,28.17,106.91
63.19,14.71,28.16,106.06
62.83,14.57,27.65,105.05
62.60,14.35,27.40,104.35
61.89,14.26,27.60,103.75
61.61,14.27,27.49,103.36
61.45,14.26,27.01,102.72
61.43,13.80,27.59,102.83
61.10,14.24,27.37,102.71
60.95,14.28,27.57,102.80
61.30,14.31,27.50,103.11
61.54,14.20,27.48,103.22
61.41,14.31,27.44,103.16
61.36,14.16,28.41,103.93
61.56,14.86,28.14,104.56
62.40,14.40,27.78,104.58
62.65,14.38,27.55,104.58
62.05,14.25,27.71,104.01
61.58,14.44,29.10,105.12
61.80,15.20,28.55,105.55
63.53,14.66,27.50,105.69
63.48,14.28,27.32,105.07
61.85,14.17,27.32,103.34
61.49,13.90,27.52,102.91
61.15,14.28,27.37,102.80
61.04,14.22,27.45,102.72
61.34,14.21,27.52,103.06
61.26,14.34,27.46,103.06
61.35,14.22,27.53,103.10
61.63,14.20,27.29,103.12
61.34,14.14,28.79,104.28
61.35,15.08,29.24,105.68
62.97,15.11,28.91,106.99
64.19,15.14,29.10,108.43
64.13,15.05,28.83,108.01
64.21,14.84,27.79,106.84
63.72,14.30,27.75,105.77
62.39,14.46,27.48,104.33
62.03,14.00,27.63,103.67
61.54,14.44,27.58,103.55
61.36,14.33,27.71,103.40
61.85,14.26,27.33,103.43
61.58,14.22,27.39,103.20
61.24,14.25,27.63,103.11
61.44,14.23,27.35,103.02
61.41,14.19,27.27,102.87
61.33,13.94,27.79,103.06
61.14,14.30,28.80,104.24
61.62,14.98,20.66,97.26
54.86,14.91,17.88,87.65
44.54,15.17,1.60,61.31
