Time_offload,Time_process,Time_reply,Time_e2e
25.41,1398.10,27.38,1450.90
11.75,4.66,25.37,41.78
11.45,4.70,25.65,41.80
11.49,4.66,25.57,41.72
11.35,4.62,25.66,41.62
11.41,4.68,25.63,41.71
11.40,4.58,25.55,41.54
11.41,4.69,25.80,41.90
11.47,4.68,25.91,42.06
11.66,4.78,26.41,42.85
11.57,4.74,25.83,42.13
11.57,4.76,25.55,41.88
11.33,4.69,25.78,41.80
11.50,4.65,25.82,41.97
11.46,4.64,25.89,42.00
11.48,4.70,26.42,42.61
11.97,5.49,28.36,45.81
12.10,5.40,27.86,45.36
12.38,5.38,26.69,44.45
11.98,4.90,26.72,43.61
12.18,5.52,28.72,46.41
12.35,5.47,26.76,44.59
11.77,4.74,26.07,42.58
11.71,4.74,25.71,42.16
11.53,4.63,25.31,41.47
11.46,4.72,27.44,43.63
11.85,4.73,25.78,42.37
11.47,4.66,25.71,41.84
11.44,4.85,25.82,42.11
11.50,4.63,25.70,41.83
11.43,4.64,25.66,41.73
11.45,4.63,25.67,41.76
11.48,4.66,25.27,41.40
11.41,4.64,25.60,41.65
11.44,4.63,25.62,41.69
11.43,4.68,25.82,41.93
11.49,4.63,25.68,41.79
11.46,4.62,25.57,41.65
11.48,4.71,25.60,41.79
11.48,4.64,25.65,41.78
11.47,4.29,25.42,41.18
11.44,4.78,26.29,42.51
12.04,5.45,26.79,44.28
11.96,5.32,26.65,43.93
12.14,5.55,28.21,45.89
11.98,5.15,26.31,43.44
11.54,4.63,25.65,41.83
11.47,4.60,25.35,41.42
11.41,4.66,25.84,41.91
11.58,4.67,25.64,41.88
11.41,4.62,25.52,41.56
11.44,4.70,25.76,41.90
11.49,4.76,25.62,41.87
11.39,4.63,25.64,41.66
11.51,4.68,25.72,41.91
11.48,4.62,25.30,41.40
11.52,4.99,26.73,43.23
11.81,4.65,25.87,42.33
11.55,4.62,25.53,41.70
11.40,4.67,14.97,31.04
