Time_offload,Time_process,Time_reply,Time_e2e
25.44,1384.50,12.24,1422.18
11.58,15.60,11.66,38.83
11.44,14.41,9.00,34.84
11.57,14.11,9.01,34.69
11.47,14.23,8.98,34.68
11.54,14.19,9.06,34.79
11.61,14.29,9.00,34.90
11.48,14.20,8.93,34.61
11.45,14.16,9.10,34.71
11.61,13.99,8.98,34.58
11.48,14.17,8.99,34.64
11.52,14.42,9.26,35.20
11.68,14.61,9.10,35.39
11.69,14.38,8.99,35.06
11.46,14.26,9.03,34.75
11.51,14.23,9.00,34.74
11.57,13.98,8.98,34.52
11.47,14.95,9.46,35.88
11.82,14.92,9.43,36.17
11.73,14.58,9.09,35.40
11.47,14.28,9.07,34.82
11.62,14.55,9.11,35.28
11.61,14.33,9.01,34.95
11.53,14.11,9.01,34.66
11.51,14.04,9.01,34.56
11.46,14.08,9.08,34.61
11.54,14.39,9.01,34.94
11.49,14.38,9.47,35.34
11.94,15.13,9.59,36.66
12.02,14.97,9.43,36.43
11.71,14.59,9.10,35.40
11.60,14.47,9.10,35.17
11.61,14.17,8.97,34.75
11.52,14.11,9.05,34.68
11.59,14.28,8.93,34.79
11.40,14.20,9.01,34.61
11.53,14.20,9.14,34.87
11.60,14.37,8.99,34.96
11.52,14.37,8.94,34.83
11.45,14.13,9.10,34.69
11.49,14.16,8.99,34.65
11.51,14.11,9.03,34.66
11.52,14.52,9.43,35.47
11.82,14.78,9.47,36.07
12.05,15.10,9.38,36.53
11.72,14.44,9.08,35.23
11.58,14.31,9.04,34.92
11.56,14.08,8.98,34.62
11.52,14.65,9.44,35.61
11.95,14.93,9.52,36.41
11.87,14.80,8.99,35.66
11.48,14.36,9.42,35.26
11.98,15.25,9.41,36.64
11.73,14.55,9.08,35.36
11.60,14.27,9.06,34.93
11.60,13.89,8.99,34.48
11.51,14.18,9.07,34.77
11.56,14.27,9.02,34.84
11.57,14.26,8.97,34.80
11.48,14.20,0.94,26.63
