Time_offload,Time_process,Time_reply,Time_e2e
38.33,1394.29,24.79,1457.40
1442.83,29.50,24.04,1496.36
23.56,29.45,24.14,77.14
76.97,27.20,24.82,128.98
109.19,26.86,52.01,188.06
108.38,26.95,24.59,159.92
111.87,27.48,52.02,191.37
111.28,26.97,24.53,162.78
115.14,26.74,51.97,193.85
112.98,26.90,24.82,164.70
117.07,27.83,53.47,198.37
117.79,27.57,24.87,170.23
122.48,27.15,53.52,203.15
120.46,28.07,53.38,201.91
120.81,27.10,53.00,200.90
120.55,27.03,53.65,201.23
119.53,27.43,53.33,200.29
119.86,27.23,52.92,200.02
119.86,27.11,52.97,199.94
119.10,27.12,52.55,198.77
118.97,26.72,52.71,198.41
118.56,26.96,53.34,198.85
118.55,27.41,52.63,198.59
119.30,26.78,52.90,198.98
119.20,26.98,53.35,199.53
118.60,27.54,52.56,198.70
119.20,26.94,52.49,198.62
119.07,26.85,36.43,182.35
102.24,26.86,30.59,159.69
80.16,26.84,2.31,109.31
