Time_offload,Time_process,Time_reply,Time_e2e
17.64,1351.19,3.53,1372.36
3.23,5.53,0.50,9.26
2.92,4.65,0.37,7.94
3.61,5.66,0.57,9.83
4.14,5.29,0.48,9.91
4.40,4.68,0.35,9.43
4.91,5.15,0.49,10.55
4.78,5.63,0.46,10.87
4.37,5.18,0.39,9.94
4.75,5.04,0.37,10.17
4.26,4.81,0.36,9.42
3.87,6.14,0.37,10.38
4.83,5.07,0.36,10.26
4.91,5.03,0.35,10.29
5.18,5.22,0.36,10.76
5.00,5.17,0.39,10.57
4.92,5.66,0.46,11.05
4.73,5.14,0.37,10.24
4.78,5.40,0.48,10.67
4.07,5.78,0.50,10.36
2.93,5.31,0.52,8.76
4.65,5.55,0.48,10.68
4.55,5.12,0.38,10.05
3.80,4.77,0.37,8.94
2.84,4.70,0.38,7.92
2.86,5.28,0.47,8.61
4.79,5.19,0.39,10.37
4.81,5.14,0.36,10.31
4.83,5.04,0.35,10.23
5.22,5.18,0.37,10.76
4.99,5.07,0.35,10.41
5.24,5.24,0.35,10.83
5.04,5.06,0.35,10.44
5.48,5.91,0.53,11.92
4.41,5.78,0.56,10.75
4.30,5.54,0.48,10.32
4.54,4.67,0.35,9.56
5.13,5.20,0.36,10.69
4.95,5.07,0.35,10.37
5.25,5.28,0.37,10.90
4.95,5.20,0.45,10.60
4.93,5.06,0.36,10.35
5.29,5.12,0.35,10.76
5.02,5.14,0.35,10.51
4.98,5.06,0.37,10.41
5.23,5.19,0.35,10.78
5.06,5.11,0.35,10.53
4.86,5.12,0.35,10.33
4.96,5.57,0.50,11.03
4.72,5.57,0.49,10.77
3.91,5.14,0.39,9.43
4.76,5.09,0.37,10.22
4.85,5.08,0.36,10.29
4.25,5.08,0.39,9.72
4.87,5.05,0.37,10.29
5.23,5.28,0.36,10.87
5.03,5.08,0.36,10.47
4.88,5.04,0.35,10.27
5.30,5.19,0.35,10.84
5.21,5.06,0.37,10.64
2.80,4.61,0.40,7.81
2.96,4.84,0.41,8.21
4.81,5.39,0.40,10.60
4.97,5.17,0.37,10.51
4.92,5.01,0.37,10.31
5.24,5.20,0.36,10.79
4.95,5.11,0.35,10.41
5.02,4.76,0.32,10.10
5.32,5.17,0.35,10.84
5.04,5.08,0.36,10.48
4.98,5.12,0.36,10.45
4.91,5.07,0.35,10.33
5.26,5.13,0.35,10.74
5.06,5.04,0.35,10.46
5.30,5.22,0.36,10.89
5.09,5.12,0.35,10.56
4.97,5.06,0.35,10.38
5.26,5.18,0.35,10.79
5.03,5.16,0.35,10.54
4.94,5.17,0.36,10.47
4.90,5.03,0.35,10.28
5.27,5.26,0.35,10.88
5.01,5.05,0.35,10.40
5.28,5.27,0.36,10.91
5.05,5.52,0.48,11.05
4.84,5.59,0.56,11.00
3.49,5.25,0.39,9.13
4.84,5.04,0.37,10.25
5.12,5.18,0.36,10.66
3.60,5.26,0.37,9.22
