Time_offload,Time_process,Time_reply,Time_e2e
17.64,1375.72,3.58,1396.94
3.28,5.53,0.43,9.24
2.86,4.70,0.37,7.92
3.54,4.66,0.36,8.56
4.56,4.95,0.37,9.88
5.11,4.83,0.33,10.27
5.39,5.26,0.35,11.00
5.07,5.15,0.35,10.57
4.96,5.45,0.50,10.91
4.85,5.77,0.57,11.20
3.11,5.64,0.51,9.26
4.57,5.07,0.39,10.03
4.71,5.04,0.37,10.12
2.86,4.74,0.38,7.97
4.85,5.28,0.38,10.50
5.10,5.13,0.36,10.59
4.90,5.08,0.36,10.33
5.25,4.77,0.38,10.40
2.79,4.66,0.38,7.83
2.92,5.61,0.57,9.11
4.42,5.27,0.39,10.08
4.82,5.15,0.41,10.37
4.77,5.11,0.37,10.26
9.30,6.72,0.39,16.41
5.58,5.23,0.36,11.18
5.12,5.20,0.35,10.68
4.90,5.12,0.37,10.38
4.88,5.05,0.36,10.29
5.19,5.20,0.35,10.74
5.01,5.08,0.36,10.45
4.95,5.04,0.35,10.34
5.25,5.21,0.35,10.81
5.00,5.15,0.35,10.51
4.92,5.06,0.37,10.35
5.22,5.26,0.39,10.87
5.01,5.10,0.38,10.49
4.95,4.78,0.35,10.09
5.38,5.25,0.37,11.00
5.01,5.17,0.38,10.57
4.88,5.05,0.39,10.33
4.83,5.10,0.38,10.31
4.86,5.09,0.40,10.35
3.84,5.81,0.53,10.19
4.69,5.80,0.56,11.05
4.13,5.48,0.48,10.08
4.54,5.13,0.40,10.08
3.38,4.64,0.36,8.38
3.96,5.29,0.39,9.64
5.00,5.13,0.41,10.54
4.88,5.11,0.39,10.39
4.86,5.12,0.37,10.35
4.87,5.14,0.38,10.39
4.89,5.04,0.39,10.32
4.96,5.87,0.56,11.40
4.34,5.52,0.53,10.39
4.46,5.13,0.39,9.97
4.69,5.07,0.39,10.14
4.75,5.07,0.39,10.21
4.83,5.11,0.38,10.33
3.94,4.62,0.37,8.94
2.79,4.62,0.37,7.78
3.02,5.77,0.57,9.37
3.00,5.36,0.50,8.86
3.04,5.51,0.53,9.08
4.52,5.29,0.43,10.25
4.66,5.09,0.38,10.13
4.68,5.10,0.37,10.15
4.85,4.75,0.35,9.96
5.28,5.29,0.37,10.94
4.98,5.19,0.37,10.54
4.89,5.07,0.35,10.31
5.20,5.35,0.36,10.90
5.00,5.16,0.36,10.52
4.93,5.01,0.36,10.30
5.18,5.20,0.40,10.78
5.01,5.04,0.35,10.40
5.22,5.16,0.35,10.73
5.12,5.04,0.35,10.51
5.24,5.28,0.35,10.88
5.00,5.14,0.36,10.50
4.95,5.02,0.35,10.31
5.26,5.19,0.35,10.80
5.03,5.09,0.35,10.47
5.36,5.26,0.39,11.02
4.99,5.15,0.39,10.52
4.74,5.59,0.50,10.83
4.26,5.67,0.57,10.50
4.45,5.12,0.42,9.99
4.65,5.05,0.37,10.08
2.81,4.71,0.39,7.90
2.89,4.69,0.39,7.98
5.27,5.33,0.40,11.00
5.11,5.14,0.36,10.61
4.94,5.07,0.35,10.35
5.28,5.19,0.36,10.84
5.05,5.05,0.35,10.45
5.30,5.21,0.38,10.89
5.01,5.10,0.35,10.46
5.01,4.74,0.36,10.11
5.40,5.19,0.35,10.93
5.01,5.12,0.37,10.50
4.93,5.03,0.35,10.31
5.32,5.16,0.35,10.83
3.07,4.66,0.37,8.10
2.85,4.55,0.36,7.77
2.78,5.13,0.49,8.41
3.05,5.47,0.47,8.99
4.71,5.14,0.37,10.23
4.81,5.04,0.36,10.20
5.17,5.17,0.35,10.68
4.96,5.11,0.36,10.44
4.94,5.08,0.35,10.37
4.90,5.06,0.35,10.31
5.18,5.19,0.35,10.72
5.09,5.15,0.36,10.60
4.91,5.08,0.38,10.37
4.86,5.05,0.35,10.25
5.31,5.19,0.37,10.87
5.02,5.14,0.35,10.51
4.95,5.03,0.35,10.33
5.23,5.21,0.39,10.83
5.02,5.05,0.35,10.42
5.27,5.27,0.35,10.89
5.21,5.04,0.37,10.62
5.20,5.22,0.38,10.80
4.97,5.12,0.36,10.46
4.99,5.03,0.36,10.38
5.25,5.20,0.35,10.80
4.98,5.65,0.52,11.16
4.06,5.33,0.47,9.86
3.28,5.55,0.53,9.36
4.54,5.14,0.42,10.09
4.61,5.04,0.37,10.03
2.81,4.71,0.40,7.91
4.90,5.31,0.36,10.57
5.05,5.04,0.36,10.45
5.25,5.23,0.35,10.83
5.07,5.18,0.36,10.61
4.90,5.05,0.35,10.31
5.31,5.20,0.35,10.85
5.04,5.11,0.36,10.50
4.95,5.03,0.35,10.33
5.20,5.19,0.37,10.76
5.03,5.09,0.35,10.48
4.92,5.13,0.35,10.40
4.97,5.05,0.36,10.38
5.25,5.66,0.56,11.46
2.94,5.27,0.48,8.68
2.88,5.15,0.48,8.51
3.40,5.19,0.39,8.99
4.68,5.09,0.40,10.17
4.78,5.06,0.35,10.20
5.12,5.24,0.35,10.71
4.98,5.07,0.35,10.39
5.32,5.24,0.35,10.91
5.04,5.28,0.47,10.79
4.12,5.88,0.52,10.52
3.05,5.45,0.53,9.03
3.02,5.43,0.50,8.95
4.51,5.15,0.38,10.05
4.69,4.71,0.35,9.75
5.26,5.20,0.36,10.82
5.01,5.10,0.37,10.48
4.90,5.13,0.35,10.39
4.88,5.01,0.35,10.25
5.28,5.19,0.37,10.83
5.09,5.09,0.36,10.53
4.92,5.05,0.36,10.33
5.28,5.14,0.36,10.77
4.98,5.14,0.35,10.47
4.96,5.07,0.37,10.40
5.21,5.24,0.36,10.81
4.97,5.58,0.53,11.07
4.68,5.68,0.55,10.91
3.82,5.52,0.50,9.84
4.61,5.16,0.40,10.17
4.01,4.80,0.38,9.19
2.88,5.23,0.38,8.49
4.85,5.12,0.40,10.37
4.99,5.01,0.34,10.35
5.23,5.21,0.36,10.80
4.03,4.89,0.36,9.28
4.86,5.08,0.35,10.29
4.88,5.10,0.36,10.35
2.76,4.63,0.37,7.76
2.87,4.76,0.50,8.13
3.02,5.71,0.61,9.34
3.00,5.71,0.61,9.32
3.01,5.34,0.50,8.84
4.41,5.07,0.42,9.90
4.67,4.98,0.37,10.02
5.19,4.84,0.37,10.40
5.36,5.32,0.36,11.04
4.99,5.11,0.35,10.46
4.96,5.05,0.35,10.37
5.23,5.30,0.36,10.89
5.04,5.11,0.35,10.49
4.96,5.02,0.35,10.33
5.29,5.19,0.36,10.84
5.03,5.18,0.35,10.57
4.95,5.07,0.36,10.38
5.29,5.17,0.35,10.82
5.00,5.09,0.38,10.47
4.95,5.05,0.35,10.34
5.22,5.28,0.35,10.85
4.99,5.12,0.37,10.48
4.96,5.12,0.39,10.47
4.95,5.09,0.35,10.39
5.24,5.17,0.34,10.75
4.51,5.48,0.53,10.51
4.73,5.76,0.57,11.06
3.81,5.47,0.48,9.76
4.49,5.14,0.38,10.01
4.44,4.91,0.37,9.72
2.81,4.74,0.41,7.96
5.23,5.31,0.36,10.90
5.04,5.10,0.38,10.51
4.89,5.09,0.35,10.32
5.25,5.18,0.35,10.78
2.81,4.59,0.37,7.77
2.83,4.64,0.38,7.84
2.89,5.35,0.47,8.71
4.86,4.92,0.35,10.13
5.23,5.21,0.38,10.82
4.99,5.08,0.35,10.42
5.33,5.25,0.36,10.94
4.96,5.10,0.38,10.44
4.95,5.05,0.35,10.35
5.30,5.15,0.35,10.80
5.07,5.12,0.35,10.54
4.99,5.11,0.37,10.47
4.92,5.02,0.35,10.29
5.28,5.17,0.35,10.80
5.03,5.06,0.38,10.46
5.31,5.20,0.35,10.87
4.99,5.09,0.36,10.45
4.91,5.06,0.35,10.32
5.24,5.22,0.38,10.84
5.05,5.04,0.35,10.44
4.87,5.75,0.57,11.20
