Time_offload,Time_process,Time_reply,Time_e2e
8.06,794.80,3.85,806.72
3.48,58.03,3.78,65.29
3.56,63.02,3.93,70.50
3.57,56.15,3.92,63.64
3.60,56.16,3.94,63.71
3.65,58.46,4.18,66.28
3.89,56.43,3.97,64.28
3.79,55.59,4.08,63.46
3.69,59.60,3.77,67.06
3.69,55.88,3.72,63.29
3.37,59.92,3.87,67.15
3.50,55.43,4.11,63.04
3.79,52.83,3.79,60.42
3.45,54.08,3.78,61.31
3.46,59.70,3.74,66.90
3.35,62.83,4.09,70.26
3.73,55.89,3.85,63.46
3.75,59.99,3.92,67.66
3.55,54.61,3.82,61.98
3.53,58.45,3.90,65.88
3.61,54.54,3.68,61.83
3.39,59.59,3.91,66.89
3.57,57.18,3.69,64.44
3.50,54.08,3.84,61.41
3.54,63.55,3.74,70.82
3.63,56.01,3.97,63.60
3.62,56.66,3.84,64.12
3.51,60.54,3.97,68.02
3.70,57.16,3.82,64.68
3.65,57.99,3.89,65.53
3.58,56.37,4.07,64.02
3.66,55.69,3.89,63.24
3.53,58.44,3.76,65.73
3.47,55.19,3.80,62.47
3.33,60.87,3.68,67.89
3.52,60.29,4.26,68.07
3.70,61.39,3.94,69.03
3.58,57.71,3.77,65.06
3.34,58.81,4.75,66.90
4.44,58.14,3.98,66.55
3.85,57.18,3.73,64.75
3.56,59.45,3.84,66.85
3.70,60.28,3.71,67.70
3.44,57.48,4.01,64.92
3.51,55.61,3.76,62.88
3.61,53.57,3.77,60.95
3.45,73.90,3.99,81.34
3.63,63.45,3.78,70.87
3.44,59.32,3.91,66.67
3.60,60.67,3.95,68.23
3.61,70.14,3.91,77.66
3.61,61.92,3.97,69.50
3.51,62.35,4.04,69.89
3.76,58.26,3.86,65.88
3.44,52.99,3.93,60.36
3.59,54.59,4.42,62.59
4.02,64.97,3.81,72.80
3.51,58.63,3.94,66.08
3.64,59.83,4.36,67.83
4.24,59.01,3.88,67.13
3.64,57.41,4.41,65.46
3.94,63.66,4.23,71.83
3.78,60.29,4.02,68.08
