Time_offload,Time_process,Time_reply,Time_e2e
6.94,1499.05,4.00,1509.98
3.59,65.83,4.55,73.97
3.49,53.43,4.51,61.43
3.52,60.86,4.55,68.93
3.58,55.88,5.09,64.55
3.80,59.54,4.94,68.28
3.56,59.96,4.65,68.16
4.02,65.01,5.00,74.03
3.67,65.44,4.85,73.95
3.67,56.13,5.21,65.01
4.09,55.78,4.58,64.45
3.50,63.91,5.28,72.69
4.17,60.49,4.72,69.37
3.64,58.55,4.05,66.24
3.53,59.00,4.70,67.24
3.84,60.27,4.43,68.54
3.52,57.77,4.93,66.22
3.53,63.97,4.87,72.38
3.82,57.69,4.85,66.36
3.66,62.11,5.28,71.04
3.99,60.15,5.08,69.22
3.88,56.98,4.54,65.40
3.69,59.85,4.70,68.24
3.59,57.32,4.68,65.59
3.41,60.19,4.30,67.90
3.68,61.92,5.01,70.61
3.74,69.54,4.89,78.17
3.70,52.75,4.54,60.99
3.44,57.18,4.69,65.32
3.46,55.99,4.62,64.06
3.50,57.75,4.32,65.56
3.80,59.74,3.72,67.27
3.40,58.53,4.15,66.08
3.75,59.74,3.90,67.39
3.58,64.05,4.01,71.64
3.75,57.63,4.01,65.39
3.85,57.07,3.86,64.78
3.76,58.17,3.94,65.87
3.63,61.55,3.82,69.00
3.45,57.60,3.79,64.83
3.57,60.12,3.94,67.63
3.62,60.85,3.95,68.42
3.60,59.04,3.76,66.39
3.53,65.83,3.94,73.30
3.60,58.85,3.83,66.28
3.46,60.90,4.05,68.41
3.72,58.18,3.80,65.70
3.55,56.85,3.86,64.26
3.62,59.08,3.93,66.63
3.66,60.48,3.83,67.97
3.51,65.11,4.06,72.69
3.48,61.87,4.12,69.47
3.61,59.96,4.08,67.64
3.56,61.45,3.94,68.95
3.71,58.82,3.94,66.47
3.41,57.50,4.44,65.35
4.11,62.64,3.94,70.69
3.78,58.96,4.10,66.83
3.77,56.87,3.76,64.39
3.72,63.05,4.20,70.97
3.87,60.18,4.04,68.09
3.62,60.95,3.90,68.47
3.46,62.34,3.97,69.78
3.68,68.15,3.78,75.61
3.66,58.28,4.20,66.14
4.09,60.50,3.89,68.48
3.55,78.19,3.77,85.51
3.65,59.08,4.13,66.87
3.77,55.12,3.74,62.63
3.37,59.82,3.83,67.03
3.63,58.69,4.30,66.63
3.60,58.58,4.04,66.22
3.69,59.02,4.05,66.76
3.61,61.01,3.81,68.43
3.45,63.29,4.17,70.91
3.94,62.47,3.69,70.10
3.59,58.91,3.97,66.47
3.64,60.39,4.00,68.03
3.55,62.52,4.25,70.33
3.97,59.20,3.92,67.09
3.65,60.21,4.00,67.86
3.77,57.25,3.90,64.92
3.67,59.77,4.06,67.49
3.56,68.52,3.74,75.82
3.53,64.71,4.09,72.33
3.92,64.06,4.07,72.05
3.66,60.08,4.03,67.78
3.86,62.25,4.56,70.67
4.00,60.92,3.93,68.84
3.52,63.23,4.19,70.94
3.83,61.94,4.21,69.98
4.03,59.26,4.28,67.56
3.87,55.52,4.37,63.76
3.98,63.02,3.67,70.68
3.57,56.44,3.92,63.93
3.46,57.35,3.67,64.48
3.43,92.95,3.97,100.35
3.39,66.45,3.71,73.55
3.64,54.75,3.78,62.17
3.59,60.86,4.42,68.87
4.05,62.32,3.84,70.21
