Time_offload,Time_process,Time_reply,Time_e2e
19.19,1498.24,3.32,1520.75
3.05,5.56,0.40,9.00
6.07,5.66,0.31,12.04
4.54,9.32,0.54,14.39
4.06,7.59,0.51,12.15
6.89,5.92,0.50,13.32
3.00,5.30,0.42,8.72
13.11,7.33,0.35,20.79
10.39,4.76,0.34,15.49
3.09,5.87,0.51,9.47
3.05,5.56,0.46,9.06
3.84,8.29,0.55,12.68
12.60,7.20,0.33,20.13
13.70,6.94,0.32,20.96
13.64,6.97,0.33,20.95
13.85,6.82,0.32,20.99
13.76,6.91,0.32,20.99
6.38,8.42,0.48,15.28
6.98,6.26,0.50,13.74
12.67,7.24,0.34,20.25
13.70,7.01,0.35,21.05
6.47,9.30,0.49,16.27
5.36,5.70,0.51,11.57
3.55,5.67,0.49,9.72
5.65,8.84,0.45,14.93
2.90,4.96,0.39,8.25
8.05,4.81,0.33,13.20
2.91,5.20,0.40,8.51
2.84,4.95,0.37,8.17
5.32,9.23,0.46,15.01
12.34,7.01,0.34,19.69
13.59,6.90,0.31,20.80
12.94,6.86,0.31,20.11
13.82,6.84,0.31,20.97
13.87,6.92,0.31,21.10
13.78,6.86,0.35,20.99
13.85,6.49,0.34,20.68
14.05,6.84,0.31,21.20
13.93,7.03,0.40,21.36
7.16,6.10,0.44,13.70
10.68,8.40,0.52,19.60
4.47,5.60,0.47,10.54
4.84,5.16,0.40,10.39
11.06,6.42,0.44,17.92
2.88,4.84,0.34,8.06
2.89,4.97,0.39,8.25
11.05,8.49,0.45,19.99
12.03,6.96,0.33,19.32
13.66,6.86,0.32,20.84
13.87,6.91,0.31,21.09
13.79,6.93,0.32,21.04
13.71,6.89,0.32,20.92
14.07,6.82,0.31,21.20
13.87,6.91,0.31,21.09
13.90,6.90,0.31,21.10
13.92,6.88,0.31,21.11
3.42,7.37,0.58,11.37
3.25,6.08,0.60,9.94
3.16,5.69,0.49,9.34
3.14,5.75,0.49,9.38
2.91,5.98,0.47,9.36
2.87,4.80,0.34,8.01
2.90,5.21,0.40,8.51
2.87,5.26,0.43,8.56
8.92,7.94,0.49,17.35
7.47,5.67,0.52,13.66
5.73,8.67,0.47,14.86
11.85,6.68,0.32,18.86
9.41,5.22,0.40,15.03
3.53,6.56,0.53,10.63
12.86,7.31,0.34,20.51
13.75,6.99,0.32,21.07
13.89,6.95,0.31,21.14
14.05,6.82,0.30,21.18
5.46,6.19,0.55,12.20
3.11,5.89,0.57,9.57
3.73,5.18,0.42,9.33
2.88,5.66,0.50,9.05
4.36,8.61,0.43,13.41
