Time_offload,Time_process,Time_reply,Time_e2e
15.32,1370.61,12.19,1398.12
11.46,15.79,0.84,28.09
10.99,14.08,0.79,25.86
11.00,14.24,0.82,26.06
10.95,14.09,0.82,25.86
11.40,15.06,1.00,27.45
11.30,14.88,0.89,27.08
10.99,14.10,0.86,25.95
11.21,14.42,0.82,26.46
11.17,13.80,0.86,25.83
10.98,14.03,0.82,25.84
10.99,14.20,0.80,25.99
10.88,14.11,0.79,25.78
11.00,14.10,0.80,25.89
10.99,14.11,0.78,25.88
10.96,14.27,0.96,26.19
11.05,13.91,0.86,25.82
11.41,14.77,0.89,27.07
11.07,14.22,0.81,26.10
11.13,14.32,0.94,26.38
11.52,15.06,1.05,27.63
11.28,14.48,0.85,26.60
11.07,15.30,1.00,27.37
11.15,14.56,0.90,26.60
11.10,14.08,0.84,26.02
10.89,14.11,0.82,25.82
10.97,14.12,0.79,25.88
10.97,14.09,0.79,25.86
10.99,14.30,0.82,26.11
11.06,14.13,0.80,25.99
10.92,14.10,0.82,25.85
11.42,15.00,1.02,27.45
11.04,14.00,0.80,25.84
11.02,14.36,0.81,26.19
11.22,14.44,0.81,26.47
10.84,14.08,0.83,25.76
10.99,14.14,0.80,25.93
11.01,14.05,0.80,25.86
10.89,14.69,0.86,26.44
11.20,14.95,0.89,27.04
11.00,14.07,0.87,25.94
10.95,14.13,0.79,25.88
10.95,14.13,0.79,25.87
10.95,14.08,0.79,25.82
11.11,14.22,0.78,26.12
10.98,14.05,0.85,25.88
11.05,14.06,0.99,26.10
10.98,13.75,0.80,25.52
11.43,15.14,1.00,27.57
11.86,15.07,0.91,27.85
10.96,14.31,0.84,26.11
10.99,14.19,0.79,25.97
10.93,14.08,0.79,25.81
10.87,14.89,1.04,26.81
11.41,14.67,0.85,26.93
10.97,14.02,0.79,25.78
11.15,14.40,0.84,26.39
10.99,14.08,0.80,25.86
10.89,14.14,0.81,25.84
10.86,14.06,0.79,25.71
