Time_offload,Time_process,Time_reply,Time_e2e
29.84,1428.61,26.95,1485.40
11.57,4.67,14.68,30.92
8.49,5.25,13.67,27.42
8.40,4.75,12.81,25.96
8.41,5.42,10.26,24.08
8.28,4.60,10.00,22.88
8.35,4.64,10.09,23.08
8.61,4.72,10.24,23.56
8.42,5.04,10.81,24.27
8.35,4.37,10.15,22.88
8.27,4.64,9.98,22.89
8.29,4.62,10.05,22.96
8.23,4.66,10.08,22.96
8.30,4.65,10.10,23.04
8.31,5.23,11.45,24.99
8.73,5.62,10.66,25.01
5.60,4.63,8.01,18.24
5.61,4.67,7.93,18.20
5.61,4.69,5.12,15.41
5.55,4.65,5.15,15.35
5.56,4.58,5.19,15.33
5.55,4.75,5.24,15.54
5.62,4.70,5.48,15.80
5.74,4.96,5.46,16.16
5.60,4.65,5.22,15.48
5.83,5.38,5.58,16.79
5.60,4.57,5.29,15.45
5.61,4.63,5.20,15.43
5.56,4.60,5.15,15.32
5.56,4.66,5.15,15.37
5.52,4.65,5.27,15.44
5.57,4.75,5.39,15.70
5.75,4.71,4.95,15.41
5.77,5.00,5.44,16.21
5.75,4.72,5.25,15.72
5.53,4.66,5.16,15.34
5.63,4.74,5.29,15.66
5.64,4.66,5.25,15.54
5.74,5.24,5.92,16.90
5.62,4.65,5.14,15.41
5.66,4.39,5.18,15.23
5.57,4.81,5.25,15.64
5.66,4.66,5.24,15.55
5.60,4.70,5.12,15.41
5.62,4.61,5.16,15.38
5.84,5.55,5.71,17.10
5.93,5.44,5.53,16.90
5.87,5.45,5.49,16.82
5.61,4.69,5.17,15.47
5.68,4.70,5.34,15.72
5.69,4.70,5.17,15.55
5.54,4.70,5.28,15.52
5.52,4.60,5.28,15.40
5.59,4.69,5.20,15.48
5.55,4.64,5.20,15.39
5.77,5.26,5.46,16.49
5.58,4.67,5.28,15.53
5.68,4.68,5.27,15.63
5.66,4.67,5.28,15.60
5.54,4.63,5.21,15.39
