Time_offload,Time_process,Time_reply,Time_e2e
29.85,1353.92,27.31,1411.07
11.53,4.68,14.60,30.81
8.21,4.71,13.01,25.93
8.45,5.23,12.94,26.63
8.42,6.15,11.08,25.64
5.60,4.76,8.08,18.45
5.68,4.68,7.91,18.27
5.58,4.70,5.21,15.49
5.58,4.68,5.14,15.39
5.63,4.34,5.15,15.11
5.56,4.66,5.16,15.38
5.54,4.60,5.23,15.36
5.53,4.63,5.18,15.34
5.59,4.62,5.20,15.42
5.59,4.71,5.18,15.48
5.56,4.67,5.23,15.46
5.58,4.62,5.19,15.40
5.56,4.68,5.19,15.43
5.60,4.66,5.40,15.66
5.68,4.99,5.54,16.21
5.60,4.69,5.22,15.51
5.67,4.74,5.19,15.60
5.56,4.61,5.20,15.37
5.57,4.58,5.17,15.32
5.55,4.68,5.16,15.39
5.53,4.59,5.20,15.32
5.59,4.62,5.26,15.46
5.59,4.64,5.16,15.39
5.53,4.65,5.30,15.47
5.66,4.75,5.25,15.66
5.66,5.36,6.14,17.16
5.70,4.95,5.33,15.98
5.60,4.71,4.84,15.15
5.57,4.57,5.18,15.32
5.60,4.63,5.20,15.42
5.73,5.53,5.72,16.98
5.83,5.47,5.65,16.95
5.66,4.73,5.24,15.64
5.53,4.76,5.20,15.48
5.58,4.67,5.18,15.43
5.60,4.27,5.15,15.03
5.52,4.60,5.17,15.29
5.60,4.69,5.19,15.48
5.58,4.61,5.20,15.40
5.56,4.57,5.24,15.36
5.86,5.36,5.56,16.78
5.57,4.69,5.23,15.49
5.68,4.69,5.34,15.72
5.58,4.65,5.17,15.39
5.62,4.57,5.16,15.35
5.54,4.68,5.18,15.39
5.58,4.66,5.19,15.43
5.54,4.65,5.18,15.36
5.57,4.62,5.20,15.39
5.54,4.65,5.22,15.41
5.68,4.68,5.29,15.65
5.65,4.71,5.32,15.68
5.60,4.78,5.24,15.62
5.56,4.66,5.17,15.40
5.51,4.72,5.23,15.46
