Time_offload,Time_process,Time_reply,Time_e2e
54.53,1515.75,44.79,1615.07
11.75,10.75,44.72,67.22
11.49,10.60,44.20,66.28
11.49,10.57,43.55,65.61
11.42,10.51,42.43,64.36
11.33,10.08,42.10,63.52
11.42,10.14,42.27,63.83
11.39,10.14,42.10,63.62
11.34,10.17,42.44,63.95
11.66,10.51,42.62,64.79
11.51,10.11,42.21,63.83
11.39,10.14,43.28,64.80
11.70,10.55,42.50,64.76
11.51,10.21,42.01,63.73
11.35,10.11,42.14,63.60
11.33,10.19,42.21,63.74
11.46,10.13,42.31,63.90
11.40,10.13,42.10,63.62
11.47,10.12,43.07,64.66
11.54,10.62,42.88,65.03
11.65,10.66,44.42,66.72
12.05,10.73,42.91,65.69
11.54,10.18,42.26,63.99
11.43,10.17,42.42,64.02
11.44,10.25,42.32,64.01
11.34,10.19,42.12,63.65
11.32,10.23,43.17,64.73
11.58,10.31,42.01,63.89
11.28,10.14,42.15,63.56
11.45,10.15,42.32,63.92
11.32,10.11,42.44,63.86
11.68,10.17,42.19,64.04
11.37,10.17,42.24,63.78
11.38,10.12,42.12,63.62
11.44,10.13,42.15,63.72
11.30,10.13,42.12,63.55
11.34,10.25,43.82,65.42
11.65,10.25,42.27,64.17
11.36,10.15,42.38,63.89
11.41,10.15,42.07,63.62
11.41,10.15,42.40,63.97
11.38,10.10,42.14,63.62
11.43,10.13,42.05,63.61
11.33,10.12,42.72,64.17
11.51,10.15,42.15,63.81
11.39,10.14,42.28,63.81
11.41,10.12,42.08,63.61
11.39,10.10,41.95,63.44
11.24,10.12,42.16,63.53
11.38,10.17,43.37,64.93
12.10,10.77,42.65,65.53
11.47,10.20,42.22,63.90
11.42,10.14,42.16,63.72
11.34,10.25,43.53,65.12
11.54,10.23,42.34,64.11
11.41,10.16,42.22,63.79
11.37,10.15,42.29,63.81
11.46,10.30,42.79,64.55
11.49,10.15,42.35,63.99
11.60,10.82,32.78,55.19
