Time_offload,Time_process,Time_reply,Time_e2e
29.63,1519.06,11.99,1560.68
11.50,36.53,11.70,59.74
11.39,34.77,11.93,58.10
11.51,35.58,11.70,58.79
11.36,34.70,11.68,57.74
11.40,34.61,11.58,57.59
11.33,34.18,11.68,57.19
11.42,33.38,11.64,56.45
11.38,33.48,11.67,56.52
11.39,33.44,11.72,56.55
11.38,33.42,11.70,56.50
11.41,33.50,11.78,56.69
11.43,33.57,11.68,56.68
11.37,33.83,12.19,57.39
11.81,34.32,12.05,58.18
11.53,33.73,11.77,57.02
11.47,33.50,11.68,56.65
11.39,33.45,11.67,56.50
11.43,33.30,11.64,56.37
11.31,33.38,11.72,56.41
11.37,33.33,11.70,56.39
11.44,33.47,11.65,56.56
11.35,34.00,11.98,57.33
11.61,33.79,11.70,57.10
11.42,33.34,11.66,56.42
11.34,33.46,11.57,56.37
11.31,33.32,11.64,56.28
11.38,33.38,11.78,56.54
11.60,34.35,12.04,57.98
11.61,33.83,11.69,57.13
11.34,33.42,11.67,56.43
11.39,33.31,11.64,56.35
11.39,33.35,11.61,56.34
11.35,33.70,12.03,57.08
11.62,34.27,11.82,57.72
11.36,33.73,11.76,56.85
11.40,33.59,11.64,56.63
11.36,33.41,11.56,56.33
11.29,33.45,11.56,56.29
11.33,33.33,11.63,56.30
11.37,34.44,11.92,57.73
11.56,34.11,11.94,57.61
11.54,34.16,11.85,57.55
11.45,33.72,11.74,56.92
11.46,33.88,12.19,57.53
11.72,34.68,12.07,58.47
11.65,33.93,11.82,57.40
11.49,33.50,11.61,56.59
11.32,33.62,11.64,56.58
11.39,33.48,11.64,56.50
11.35,33.57,11.60,56.52
11.33,33.49,11.64,56.45
11.34,33.53,11.54,56.40
11.28,33.86,12.05,57.19
11.62,34.20,11.98,57.80
11.53,33.99,11.80,57.31
11.43,33.54,11.57,56.54
11.31,33.72,11.58,56.61
11.28,33.44,11.63,56.35
11.37,33.45,0.85,45.66
