Time_offload,Time_process,Time_reply,Time_e2e
63.76,1559.04,68.22,1691.03
11.71,17.61,65.02,94.34
11.62,17.64,64.75,94.02
11.41,17.58,64.05,93.05
11.31,17.33,67.02,95.66
11.82,18.24,65.78,95.84
11.50,17.41,63.80,92.71
11.33,17.32,63.75,92.39
11.37,17.35,65.16,93.89
11.59,17.59,64.12,93.30
11.35,17.40,63.65,92.40
11.30,17.36,63.63,92.29
11.28,17.40,64.01,92.69
11.39,17.36,63.84,92.59
11.32,17.45,64.30,93.07
11.77,18.15,65.72,95.64
11.84,17.48,65.50,94.82
11.56,17.73,65.66,94.95
11.56,17.44,63.92,92.92
11.32,17.39,64.94,93.64
11.46,17.51,64.02,93.00
11.41,17.36,63.67,92.44
11.26,17.41,63.74,92.41
11.29,17.34,63.94,92.57
11.39,17.80,65.97,95.16
11.43,17.42,64.87,93.72
11.76,18.02,65.03,94.81
11.60,17.47,63.87,92.93
11.36,17.41,63.94,92.71
11.42,17.33,63.79,92.55
11.33,17.39,64.88,93.60
11.60,17.39,63.84,92.83
11.37,17.30,63.88,92.55
11.33,17.33,63.82,92.49
11.34,17.36,63.70,92.40
11.20,17.30,63.83,92.33
11.31,17.35,64.73,93.39
11.74,17.98,64.87,94.59
11.45,17.41,63.89,92.75
11.35,17.34,64.73,93.43
11.65,17.58,64.22,93.45
11.39,17.42,63.91,92.72
11.42,17.88,65.92,95.21
11.66,17.90,64.45,94.02
11.54,17.38,63.74,92.66
11.33,17.38,64.01,92.72
11.67,18.09,65.50,95.26
11.58,17.46,63.93,92.98
11.31,17.37,64.58,93.27
11.89,18.10,65.29,95.28
11.48,17.36,63.85,92.69
11.34,17.64,64.94,93.93
11.55,17.36,63.94,92.85
11.39,17.34,63.69,92.42
11.37,17.34,63.77,92.48
11.37,17.35,63.72,92.44
11.32,17.29,63.84,92.46
11.33,17.37,66.30,95.01
11.74,17.79,64.16,93.68
11.36,17.48,53.11,81.95
