Time_offload,Time_process,Time_reply,Time_e2e
29.37,1562.66,12.20,1604.23
11.61,56.11,12.11,79.84
11.65,54.95,12.27,78.87
11.80,53.45,11.82,77.06
11.36,51.82,11.71,74.88
11.39,51.72,11.73,74.84
11.44,51.85,11.71,75.00
11.41,51.85,11.89,75.16
11.63,52.26,11.81,75.70
11.44,52.46,12.22,76.12
11.73,52.96,11.89,76.58
11.51,52.10,11.66,75.26
11.35,51.96,11.65,74.96
11.38,51.82,11.76,74.96
11.38,51.77,11.62,74.77
11.31,51.81,11.86,74.98
11.63,52.89,11.94,76.46
11.51,52.34,11.80,75.65
11.45,52.27,12.26,75.98
11.75,52.49,12.39,76.64
11.94,52.37,11.81,76.12
11.45,51.94,11.73,75.11
11.41,52.01,12.18,75.61
11.73,52.09,11.81,75.62
11.46,51.95,11.59,75.00
11.28,51.90,11.74,74.93
11.44,51.96,11.66,75.06
11.37,51.90,11.57,74.84
11.27,51.78,11.84,74.88
11.50,51.74,11.62,74.86
11.33,52.09,12.11,75.53
11.73,52.37,11.88,75.98
11.52,52.06,11.65,75.23
11.37,51.79,11.78,74.93
11.44,51.72,11.75,74.91
11.49,51.87,11.75,75.11
11.45,52.12,12.29,75.86
11.85,52.77,12.27,76.89
11.84,52.89,11.86,76.58
11.46,51.91,11.65,75.01
11.35,51.74,11.63,74.72
11.37,52.30,12.22,75.90
11.77,52.20,11.89,75.86
11.46,51.92,11.73,75.11
11.44,52.03,12.03,75.50
11.67,52.44,11.82,75.93
11.43,52.04,11.65,75.12
11.30,51.81,11.64,74.76
11.30,51.67,11.70,74.66
11.45,51.84,11.65,74.94
11.34,52.06,11.93,75.33
11.53,52.34,12.19,76.06
11.77,52.66,11.97,76.40
11.53,52.27,11.79,75.58
11.48,51.81,11.61,74.90
11.33,51.81,11.67,74.80
11.36,51.94,11.67,74.97
11.32,51.97,11.60,74.89
11.28,52.10,11.98,75.36
11.64,52.56,0.96,65.15
