Time_offload,Time_process,Time_reply,Time_e2e
25.84,1472.10,12.23,1510.16
11.67,28.18,6.31,46.16
11.54,26.69,6.48,44.71
11.69,26.61,6.27,44.56
11.57,27.60,6.63,45.79
11.71,26.42,6.48,44.61
11.60,26.12,3.58,41.30
11.48,25.90,3.54,40.92
11.54,26.07,3.61,41.21
11.85,25.97,3.62,41.44
11.66,26.52,3.74,41.92
11.62,25.98,3.63,41.22
11.50,26.02,3.69,41.20
11.69,26.00,3.66,41.35
11.50,25.92,3.69,41.10
11.56,25.85,3.70,41.11
11.55,25.88,3.64,41.07
11.52,25.71,3.61,40.84
11.59,25.79,3.59,40.97
11.55,25.92,3.87,41.34
11.95,26.86,6.84,45.65
12.08,26.37,6.64,45.08
11.73,25.66,3.63,41.02
11.61,25.91,3.92,41.45
11.74,26.26,3.74,41.75
11.56,25.78,3.67,41.00
11.56,25.65,3.69,40.89
11.63,25.54,3.59,40.76
11.52,25.58,3.67,40.77
11.60,26.20,3.57,41.38
11.52,25.81,3.69,41.02
11.68,25.63,3.69,41.00
11.64,25.66,3.57,40.87
11.83,25.71,3.66,41.21
11.61,26.38,4.08,42.07
12.37,26.93,6.85,46.15
12.25,26.51,6.58,45.34
11.68,25.57,3.56,40.82
11.54,25.75,3.61,40.90
11.50,25.59,3.60,40.70
11.57,25.76,3.57,40.90
11.58,25.62,3.65,40.85
11.59,25.65,3.60,40.84
11.44,25.51,3.71,40.66
11.60,25.66,3.64,40.89
11.56,58.95,11.95,82.47
11.62,26.06,3.93,41.60
11.97,26.79,6.78,45.55
11.94,26.42,6.68,45.03
11.85,25.85,3.62,41.32
11.55,25.77,3.60,40.92
11.58,25.86,3.70,41.14
11.74,26.65,6.53,44.92
11.61,25.87,3.69,41.17
11.60,25.70,3.61,40.90
11.53,25.72,3.65,40.89
11.56,25.51,3.59,40.66
11.60,25.69,3.62,40.91
11.56,26.55,3.89,41.99
11.82,26.44,1.01,39.27
