Time_offload,Time_process,Time_reply,Time_e2e
16.06,1387.30,27.12,1430.48
11.46,4.66,25.30,41.42
11.33,4.68,25.60,41.61
11.34,4.67,25.50,41.52
11.27,4.62,26.05,41.93
11.28,4.63,26.17,42.08
11.81,5.67,28.35,45.83
11.88,5.54,26.60,44.02
11.54,4.63,25.56,41.73
11.41,4.36,25.60,41.37
11.29,4.62,25.58,41.49
11.39,4.59,25.46,41.44
11.27,4.64,25.65,41.56
11.35,4.63,25.87,41.85
11.75,5.55,26.90,44.20
11.73,5.41,26.49,43.63
11.72,4.85,25.91,42.48
11.62,4.80,26.25,42.67
11.61,4.86,27.33,43.80
11.89,5.37,27.39,44.65
11.77,5.51,27.42,44.70
11.52,4.67,25.68,41.88
11.41,5.08,27.97,44.46
11.87,5.58,27.99,45.44
11.64,4.87,26.22,42.74
11.78,5.46,27.19,44.42
11.97,5.40,26.72,44.09
11.85,5.62,27.15,44.62
11.72,4.75,26.02,42.48
11.56,4.75,25.79,42.10
11.47,4.66,25.72,41.86
11.46,4.65,25.81,41.92
11.53,4.60,25.13,41.26
11.31,4.71,25.44,41.46
11.38,4.62,25.22,41.22
11.15,4.56,25.57,41.27
11.36,4.61,25.56,41.54
11.38,4.64,25.44,41.46
11.29,4.71,25.52,41.53
11.38,4.66,25.35,41.39
11.29,4.29,25.39,40.98
11.25,4.88,27.56,43.69
11.61,5.24,27.46,44.31
11.73,4.76,25.92,42.41
11.61,4.68,25.96,42.25
11.56,4.67,25.88,42.10
11.56,4.65,25.95,42.17
11.61,4.99,25.48,42.08
11.54,4.70,26.90,43.13
11.95,5.15,26.11,43.21
11.56,4.66,25.92,42.15
11.50,4.66,25.76,41.92
11.54,4.64,25.84,42.01
11.51,4.67,25.73,41.91
11.50,4.64,25.67,41.81
11.51,4.65,25.46,41.62
11.46,4.67,25.92,42.04
11.59,4.61,25.83,42.02
11.52,4.80,25.68,42.00
11.44,4.67,14.84,30.95
