Time_offload,Time_process,Time_reply,Time_e2e
26.68,1493.61,12.27,1532.56
11.50,28.04,12.10,51.65
11.81,27.74,12.33,51.88
11.89,27.19,11.73,50.81
11.40,27.30,12.08,50.78
11.66,26.63,11.83,50.12
11.46,26.56,11.65,49.67
11.33,26.59,11.70,49.61
11.40,26.37,12.76,50.53
12.33,27.48,12.84,52.65
12.34,27.45,12.68,52.48
12.24,27.13,12.22,51.60
11.82,26.71,12.13,50.66
11.74,26.29,11.84,49.86
11.56,26.33,12.00,49.89
11.61,26.17,11.74,49.52
11.41,26.27,11.79,49.46
11.45,26.24,11.78,49.47
11.43,26.13,11.78,49.35
11.41,26.23,11.82,49.46
11.40,26.32,11.73,49.45
11.41,26.12,11.70,49.23
11.34,26.14,11.72,49.20
11.43,26.04,11.77,49.24
11.39,26.04,11.68,49.11
11.39,26.91,12.27,50.58
11.84,26.72,12.07,50.64
11.74,26.48,12.00,50.22
11.69,26.77,12.12,50.58
11.66,26.37,11.65,49.69
11.34,26.79,11.85,49.98
11.47,26.08,11.68,49.22
11.36,25.99,11.64,48.99
11.33,26.06,12.29,49.67
11.91,25.97,11.87,49.75
11.53,26.41,11.94,49.88
11.65,26.05,11.71,49.42
11.41,25.77,11.57,48.75
11.27,25.81,11.72,48.80
11.39,25.78,11.62,48.78
11.31,25.83,11.64,48.78
11.30,25.82,11.70,48.83
11.41,25.88,11.68,48.97
11.34,25.84,11.72,48.90
11.36,25.82,11.66,48.84
11.35,25.85,11.64,48.84
11.35,66.74,11.90,89.99
11.55,26.80,11.92,50.27
11.53,26.54,12.00,50.07
11.54,25.95,11.89,49.38
11.50,25.98,11.74,49.22
11.44,25.79,11.63,48.86
11.32,25.80,11.61,48.73
11.30,25.78,11.76,48.84
11.41,25.80,11.62,48.83
11.39,25.94,11.68,49.01
11.29,25.82,11.66,48.77
11.38,25.75,11.75,48.87
11.43,26.87,11.99,50.29
11.53,26.09,0.88,38.49
