Time_offload,Time_process,Time_reply,Time_e2e
25.77,1532.87,11.77,1570.40
11.25,35.89,11.49,58.64
11.17,34.50,11.54,57.21
11.26,34.84,11.43,57.53
11.16,34.35,12.29,57.80
11.93,35.37,11.74,59.04
11.36,34.22,11.46,57.04
11.20,33.61,11.85,56.65
11.48,34.01,11.47,56.96
11.16,33.58,11.70,56.44
11.34,33.69,11.50,56.54
11.23,33.43,11.56,56.21
11.28,33.34,11.54,56.16
11.26,33.26,11.47,56.00
11.24,34.45,12.51,58.20
12.09,34.57,12.12,58.77
11.71,33.98,11.81,57.51
11.43,33.73,11.61,56.77
11.29,33.32,11.47,56.08
11.22,33.42,11.50,56.14
11.15,33.33,11.40,55.88
11.16,33.31,11.38,55.86
11.10,33.43,11.52,56.05
11.26,33.35,11.51,56.12
11.22,33.37,11.56,56.15
11.17,33.37,11.43,55.97
11.20,33.33,11.55,56.08
11.27,33.63,11.89,56.79
11.48,34.02,11.73,57.24
11.43,33.52,11.68,56.63
11.34,33.42,11.45,56.21
11.18,33.35,11.48,56.01
11.21,33.37,11.44,56.02
11.17,33.37,11.50,56.04
11.26,33.38,12.05,56.69
11.71,33.63,12.12,57.46
11.76,33.82,11.55,57.13
11.26,33.63,11.42,56.32
11.10,33.27,11.41,55.79
11.17,33.36,11.49,56.03
11.19,33.40,11.39,55.98
11.11,33.40,11.46,55.97
11.19,33.27,11.46,55.92
11.15,33.23,11.52,55.90
11.22,33.32,11.54,56.07
11.18,33.31,11.45,55.94
11.12,33.35,11.63,56.11
11.42,34.31,11.95,57.68
11.49,33.82,11.53,56.84
11.28,34.60,12.81,58.69
12.34,35.17,12.50,60.00
12.07,35.18,11.85,59.11
11.50,33.49,11.43,56.42
11.14,33.36,11.47,55.97
11.21,33.29,11.47,55.97
11.65,33.49,11.97,57.11
11.60,33.99,11.69,57.29
11.29,33.41,11.53,56.24
11.26,33.29,11.37,55.92
11.11,34.19,1.03,46.33
