Time_offload,Time_process,Time_reply,Time_e2e
60.58,1543.45,68.11,1672.14
11.63,18.62,69.37,99.62
11.91,18.64,65.87,96.42
11.38,17.39,63.74,92.51
11.43,17.30,63.67,92.40
11.37,17.30,66.52,95.19
11.87,18.16,65.23,95.26
11.48,17.39,63.91,92.78
11.37,17.35,64.09,92.81
11.35,17.45,64.12,92.91
11.37,17.68,64.83,93.87
11.44,17.45,64.13,93.01
11.33,17.42,64.13,92.89
11.31,17.43,65.81,94.55
11.57,17.68,64.32,93.56
11.40,17.42,64.11,92.93
11.31,17.50,66.00,94.81
11.55,17.76,64.43,93.74
11.44,17.43,64.18,93.05
11.33,17.43,64.05,92.80
11.34,17.45,64.12,92.91
11.31,17.39,65.27,93.96
11.42,17.51,64.15,93.09
11.37,17.43,64.17,92.96
11.40,17.47,64.00,92.88
11.26,17.46,64.07,92.80
11.34,17.76,66.36,95.46
11.58,17.65,65.48,94.71
11.69,18.04,65.05,94.78
11.54,17.53,64.12,93.19
11.32,17.43,64.80,93.55
11.64,17.57,64.26,93.47
11.41,17.44,64.07,92.93
11.29,17.42,64.10,92.80
11.34,17.50,63.91,92.76
11.19,17.39,64.02,92.60
11.29,17.49,64.36,93.14
11.67,18.02,65.56,95.24
11.57,18.07,65.51,95.15
11.49,17.39,64.01,92.89
11.34,17.43,66.31,95.08
11.74,18.10,64.83,94.67
11.52,17.46,64.01,92.99
11.29,17.38,64.00,92.66
11.32,17.43,63.89,92.65
11.35,17.37,63.82,92.54
11.27,17.38,64.00,92.65
11.35,17.44,66.05,94.84
11.54,17.69,64.38,93.61
11.37,17.42,64.13,92.92
11.33,17.47,64.92,93.71
11.49,17.92,66.55,95.95
11.62,17.66,64.80,94.07
11.52,17.47,64.26,93.25
11.35,17.42,63.97,92.74
11.28,17.43,64.21,92.92
11.33,17.45,65.26,94.03
11.63,18.07,65.01,94.72
11.55,17.52,64.25,93.31
11.38,17.51,53.92,82.80
