Time_offload,Time_process,Time_reply,Time_e2e
61.14,1464.33,45.12,1570.59
11.71,10.47,44.32,66.51
11.71,11.34,46.35,69.40
12.03,10.61,42.49,65.13
11.36,10.12,41.98,63.46
11.37,10.13,42.07,63.58
11.33,10.15,42.53,64.01
11.39,10.21,42.12,63.72
11.37,10.10,41.98,63.45
11.27,10.27,42.63,64.17
11.46,10.12,42.41,63.99
11.36,10.15,41.92,63.43
11.27,10.13,42.11,63.52
11.39,10.11,43.40,64.90
11.78,10.68,44.00,66.45
11.77,10.83,43.53,66.12
11.88,10.86,45.11,67.85
11.84,10.66,43.23,65.73
11.75,10.19,42.38,64.32
11.50,10.21,43.29,65.01
12.29,10.76,43.50,66.55
11.55,10.19,42.03,63.77
11.29,10.08,41.89,63.27
11.34,10.03,41.85,63.22
11.33,10.13,41.96,63.42
11.25,10.12,43.19,64.57
11.94,10.35,42.30,64.59
11.39,10.15,42.13,63.67
11.25,10.12,42.00,63.36
11.29,10.08,42.14,63.52
11.36,10.17,44.42,65.95
11.89,10.46,42.42,64.76
11.53,10.13,42.53,64.18
11.48,10.18,42.42,64.08
11.44,10.23,42.19,63.86
11.25,10.13,41.93,63.30
11.25,10.18,42.07,63.50
11.41,10.15,41.84,63.40
11.24,10.11,41.97,63.31
11.33,10.17,42.05,63.55
11.33,10.12,42.06,63.51
11.33,10.13,42.08,63.55
11.36,10.12,41.81,63.29
11.18,10.08,44.19,65.45
11.57,10.47,42.25,64.29
11.38,10.21,42.00,63.59
11.33,10.12,42.08,63.52
11.33,10.12,41.96,63.40
11.33,10.12,42.05,63.50
11.27,10.11,41.90,63.27
11.24,10.13,42.54,63.91
11.49,10.30,42.16,63.96
11.32,10.09,42.00,63.41
11.29,10.20,42.10,63.59
11.36,10.12,42.42,63.89
11.69,10.81,44.85,67.36
11.71,10.77,43.30,65.79
11.85,10.75,43.01,65.61
11.47,10.20,42.01,63.69
11.37,10.05,31.08,52.50
