Time_offload,Time_process,Time_reply,Time_e2e
26.13,1597.92,12.05,1636.10
11.50,56.02,11.73,79.25
11.35,54.33,12.58,78.26
12.15,54.29,12.00,78.44
11.66,51.94,11.83,75.43
11.47,51.85,11.66,74.98
11.38,51.80,11.75,74.92
11.41,52.18,11.75,75.35
11.42,51.72,11.70,74.84
11.41,52.05,11.69,75.15
11.34,51.86,11.60,74.79
11.29,51.87,11.51,74.68
11.22,52.12,12.24,75.59
11.88,52.40,11.79,76.06
11.43,52.09,11.65,75.17
11.34,51.97,11.63,74.94
11.32,51.91,11.71,74.95
11.40,52.05,11.74,75.20
11.44,52.27,11.79,75.51
11.37,52.32,11.91,75.60
11.60,52.98,12.04,76.62
11.62,52.38,11.79,75.79
11.45,52.18,11.74,75.37
11.43,52.19,11.77,75.39
11.40,52.24,11.75,75.39
11.36,52.33,11.94,75.63
11.54,52.95,11.95,76.43
11.54,52.79,11.91,76.25
11.53,52.62,12.19,76.34
11.77,52.71,12.30,76.77
11.86,52.78,11.98,76.62
11.56,52.12,11.79,75.47
11.48,52.51,12.29,76.28
11.89,52.87,12.15,76.92
11.70,52.04,11.56,75.29
11.29,52.35,11.62,75.26
11.31,52.02,11.66,75.00
11.35,52.36,12.22,75.93
11.70,53.06,11.90,76.66
11.52,52.17,11.65,75.34
11.34,52.39,11.99,75.72
11.58,52.34,11.71,75.64
11.37,52.01,11.61,74.99
11.28,52.16,11.62,75.06
11.29,51.98,11.76,75.03
11.43,52.11,11.69,75.23
11.40,52.62,11.94,75.96
11.53,52.28,11.64,75.45
11.32,52.06,11.72,75.10
11.40,52.16,11.74,75.29
11.38,52.14,11.69,75.21
11.38,52.22,11.98,75.59
11.66,52.81,12.39,76.87
11.96,52.56,12.24,76.76
11.81,53.37,12.08,77.26
11.65,52.40,11.68,75.73
11.38,52.04,11.66,75.08
11.35,52.07,11.63,75.06
11.35,52.38,12.09,75.82
11.71,52.55,1.03,65.30
