Time_offload,Time_process,Time_reply,Time_e2e
62.14,1544.56,86.37,1693.07
1651.99,18.20,67.06,1737.26
53.70,18.20,141.58,213.48
128.63,18.31,100.60,247.53
125.90,17.20,102.71,245.82
123.93,17.77,100.30,242.00
124.48,17.36,100.17,242.02
122.07,17.33,103.32,242.72
124.66,17.86,100.37,242.89
125.15,17.34,99.18,241.67
121.98,17.24,99.53,238.76
121.46,17.35,101.50,240.31
123.66,17.41,99.83,240.90
123.71,17.42,100.13,241.26
122.10,17.33,101.83,241.26
124.08,17.43,99.97,241.48
123.94,17.39,99.18,240.50
122.11,17.27,99.21,238.59
121.67,17.31,100.03,239.01
121.58,17.60,100.58,239.76
123.17,17.37,99.29,239.82
122.22,17.33,99.12,238.67
121.57,17.27,99.28,238.12
121.59,17.31,99.38,238.28
121.81,17.32,99.16,238.28
121.63,17.28,101.89,240.79
123.64,17.69,100.15,241.48
124.62,17.36,99.18,241.16
122.11,17.33,99.09,238.53
121.52,17.31,99.79,238.61
121.43,17.50,99.94,238.87
122.52,17.28,99.20,239.01
121.64,17.42,102.34,241.39
123.44,17.92,101.00,242.36
125.72,17.40,99.28,242.40
122.29,17.37,100.01,239.67
121.65,17.43,102.76,241.84
124.84,17.58,100.00,242.42
124.55,17.32,102.58,244.45
124.05,18.04,100.24,242.32
125.33,17.30,100.10,242.73
122.51,17.37,100.01,239.90
123.03,17.33,99.74,240.10
121.97,17.35,100.38,239.70
122.78,17.32,99.46,239.55
122.32,17.26,99.13,238.70
121.75,17.25,99.18,238.18
121.50,17.30,101.14,239.94
123.24,17.49,100.05,240.78
124.23,17.30,99.31,240.84
122.30,17.29,99.29,238.88
121.69,17.33,99.74,238.76
122.14,17.35,100.26,239.75
122.65,17.48,99.82,239.96
123.05,17.30,99.35,239.70
121.86,17.34,99.48,238.67
122.04,17.23,99.27,238.55
121.95,17.28,47.29,186.52
123.68,17.75,96.57,238.00
120.52,17.53,55.47,193.52
