Time_offload,Time_process,Time_reply,Time_e2e
27.74,1599.76,12.40,1639.90
1623.87,55.82,66.89,1746.58
11.57,55.84,66.91,134.32
77.49,53.43,64.89,195.82
76.56,51.97,65.59,194.12
75.13,52.41,65.26,192.80
75.70,52.12,64.90,192.72
75.26,51.88,64.92,192.06
75.00,52.00,64.62,191.62
74.97,51.73,64.79,191.49
74.69,51.92,64.96,191.57
74.81,52.10,64.84,191.76
75.12,51.86,65.46,192.44
74.97,52.27,65.92,193.15
75.77,52.43,65.33,193.53
75.87,52.11,64.95,192.94
75.24,51.99,65.50,192.73
75.02,52.32,66.16,193.49
75.70,52.68,66.22,194.60
76.11,52.84,65.32,194.27
76.09,52.20,64.80,193.09
75.25,51.89,64.82,191.96
74.81,51.99,64.86,191.66
75.04,51.82,64.81,191.68
74.90,51.89,64.73,191.52
74.87,51.83,64.93,191.63
74.85,51.97,65.32,192.15
75.03,52.14,66.03,193.20
75.61,52.55,66.25,194.41
75.95,52.84,66.65,195.44
76.84,52.74,65.35,194.92
76.67,51.99,64.86,193.51
75.45,51.88,65.11,192.44
75.20,51.97,65.18,192.36
75.41,52.07,64.78,192.26
75.24,51.89,64.88,192.01
75.08,51.93,64.70,191.72
74.98,51.81,64.68,191.47
74.69,51.84,64.54,191.07
74.74,51.69,64.81,191.24
74.62,51.96,65.25,191.82
74.96,52.16,65.60,192.71
75.42,52.34,64.92,192.68
75.40,51.91,64.89,192.21
74.89,52.03,64.79,191.70
75.03,51.81,64.93,191.78
74.93,51.95,65.06,191.95
74.97,52.05,65.39,192.41
75.31,52.16,66.23,193.70
75.36,53.04,65.34,193.73
76.50,52.08,64.97,193.56
75.23,52.01,64.95,192.18
75.04,51.99,64.81,191.84
75.01,51.86,64.86,191.73
74.88,51.98,65.45,192.31
75.02,52.33,65.53,192.87
75.77,52.13,64.90,192.80
75.31,51.92,64.89,192.12
74.84,52.00,54.69,181.53
64.14,52.46,1.26,117.86
