Time_offload,Time_process,Time_reply,Time_e2e
53.58,1569.55,301.92,1925.05
1754.85,18.54,297.49,2070.89
1891.33,18.06,247.07,2156.46
335.06,17.32,246.75,599.13
258.38,17.35,246.79,522.52
259.16,17.59,246.25,523.00
257.96,17.29,249.24,524.50
259.65,17.84,245.40,522.89
259.99,17.32,246.13,523.44
256.40,17.34,250.37,524.11
259.14,18.04,247.83,525.00
261.49,17.35,246.31,525.14
257.61,17.35,244.73,519.69
257.23,17.43,244.82,519.49
255.67,17.40,247.06,520.12
257.74,17.42,247.27,522.43
258.48,18.18,246.99,523.65
258.82,17.58,244.86,521.26
257.05,17.32,247.83,522.21
255.56,17.26,250.60,523.42
262.19,17.63,243.86,523.68
262.78,17.36,243.11,523.25
320.03,17.38,228.88,566.29
319.51,17.32,227.37,564.20
302.25,17.34,226.80,546.39
300.28,17.32,229.81,547.41
302.01,17.34,228.14,547.49
303.36,17.38,226.25,546.99
301.24,17.53,205.80,524.57
289.92,17.38,125.06,432.36
