Time_offload,Time_process,Time_reply,Time_e2e
30.97,1630.38,23.77,1685.12
1671.91,101.09,23.44,1796.44
17.50,101.09,23.46,142.04
147.51,99.20,122.68,369.39
148.78,97.85,122.33,368.96
247.38,96.88,122.21,466.47
245.72,96.81,123.88,466.41
244.63,98.39,123.05,466.07
246.42,97.41,122.86,466.69
246.96,97.39,122.94,467.29
245.75,97.41,123.62,466.79
245.94,97.99,123.60,467.53
247.19,97.46,123.16,467.80
247.19,97.52,123.46,468.17
246.20,97.72,123.79,467.71
246.62,98.09,122.95,467.66
247.21,97.30,122.88,467.40
246.70,97.35,124.04,468.08
246.19,98.00,123.42,467.61
247.05,97.69,123.28,468.02
247.16,97.57,123.89,468.62
247.05,97.69,123.32,468.06
247.15,97.71,123.64,468.50
246.61,98.13,123.43,468.17
247.05,97.62,123.09,467.76
247.14,97.50,123.67,468.31
246.35,98.06,122.81,467.22
246.81,97.26,120.46,464.53
243.75,97.49,101.79,443.02
221.62,97.80,2.02,321.44
