Time_offload,Time_process,Time_reply,Time_e2e
31.08,1501.86,191.44,1724.38
1663.95,18.83,59.33,1742.10
125.01,17.29,273.47,415.78
282.46,17.47,203.30,503.23
320.01,17.33,198.72,536.06
263.47,17.34,199.37,480.18
262.26,17.38,239.18,518.82
266.23,17.64,235.04,518.90
266.39,17.40,218.01,501.80
262.50,17.47,205.54,485.51
264.54,18.20,200.49,483.23
266.11,17.32,200.50,483.93
263.05,17.38,238.63,519.05
265.88,17.38,237.26,520.52
266.44,17.39,220.44,504.26
264.63,17.95,204.66,487.24
266.73,17.37,201.02,485.13
265.40,17.52,199.98,482.91
264.84,17.39,240.58,522.81
263.11,18.04,241.34,522.49
270.03,17.31,217.40,504.75
266.49,17.33,200.92,484.75
263.01,17.60,201.48,482.10
265.32,17.41,200.98,483.71
264.79,17.35,238.25,520.39
265.85,18.04,218.33,502.21
266.14,17.37,202.05,485.56
265.82,17.52,204.23,487.57
269.54,17.85,189.28,476.66
256.62,17.39,124.52,398.53
