Time_offload,Time_process,Time_reply,Time_e2e
1627.71,19.46,-4.11,1643.06
1720.69,18.91,-7.77,1731.83
1701.23,17.40,-9.57,1709.06
1803.79,17.59,-7.52,1813.87
261.71,17.49,-2.87,276.32
330.03,17.44,2.68,350.15
308.74,17.40,-9.45,316.69
412.39,17.48,-3.79,426.08
392.08,17.63,-8.17,401.55
372.41,17.53,-5.41,384.54
494.19,17.39,-4.98,506.61
473.73,17.47,2.44,493.64
581.64,17.46,-9.34,589.77
561.30,17.43,-6.70,572.03
540.74,17.42,-8.14,550.01
679.88,17.42,-9.02,688.29
659.28,17.43,-9.56,667.15
638.67,17.44,-9.77,646.34
743.06,17.41,-4.58,755.89
722.60,17.45,-8.84,731.21
844.70,17.39,-9.18,852.91
809.57,17.42,-8.83,818.16
732.10,17.37,-9.24,740.24
854.07,17.42,-3.76,867.73
831.28,17.39,-9.51,839.16
939.89,17.46,-6.99,950.36
919.63,17.43,-9.42,927.65
899.20,17.41,-4.92,911.68
1038.80,17.68,-9.04,1047.43
981.24,18.22,-5.93,993.54
961.93,18.23,-9.30,970.87
1049.41,17.43,-9.25,1057.58
1028.59,17.40,-6.68,1039.30
1150.50,17.38,-9.71,1158.17
1062.19,17.41,-9.40,1070.19
1038.89,17.37,-9.46,1046.80
1106.87,17.61,-9.46,1115.02
1086.94,17.47,-9.09,1095.31
1190.91,17.38,-7.81,1200.48
1170.19,17.39,-9.38,1178.20
1134.87,17.42,-7.72,1144.57
1267.09,17.39,-8.71,1275.77
1247.63,17.48,-9.33,1255.79
1208.71,17.41,-9.23,1216.89
1294.41,17.37,-8.26,1303.52
1274.24,17.44,-7.52,1284.16
1378.22,17.44,-8.16,1387.49
1358.11,17.49,-6.81,1368.79
1338.33,17.73,-8.66,1347.40
