Created,Deserialized,Processing,Processed,Finished
1714379889.988805,1714379890.0670226,1714379890.068926,1714379890.0860555,1714379890.0772212
1714379890.0273018,1714379890.0864143,1714379890.0883534,1714379890.10547,1714379890.1028311
1714379890.065044,1714379890.2932987,1714379890.2951665,1714379890.3115938,1714379890.301667
1714379890.1029,1714379890.3118105,1714379890.3136778,1714379890.3300977,1714379890.319778
1714379890.141221,1714379890.3865426,1714379890.3884342,1714379890.403888,1714379890.393779
1714379890.179255,1714379890.4040883,1714379890.4059367,1714379890.4214177,1714379890.4129121
1714379890.216436,1714379890.5642662,1714379890.566166,1714379890.58165,1714379890.572612
1714379890.253698,1714379890.5818524,1714379890.5837111,1714379890.5995524,1714379890.593906
1714379890.291021,1714379890.5998867,1714379890.6018233,1714379890.6177952,1714379890.608298
1714379890.32839,1714379890.7444396,1714379890.746299,1714379890.7618062,1714379890.754501
1714379890.3667688,1714379890.7620296,1714379890.763888,1714379890.7793584,1714379890.769567
1714379890.4041972,1714379890.8856583,1714379890.88751,1714379890.9030797,1714379890.897753
1714379890.441807,1714379890.903287,1714379890.9051633,1714379890.9206743,1714379890.910938
1714379890.4795918,1714379890.9208891,1714379890.9227278,1714379890.9382684,1714379890.932161
1714379890.517802,1714379891.100297,1714379891.1022036,1714379891.1177418,1714379891.107724
1714379890.555728,1714379891.117954,1714379891.11982,1714379891.135308,1714379891.1305442
1714379890.593973,1714379891.2417767,1714379891.2436314,1714379891.2591634,1714379891.2514272
1714379890.632224,1714379891.2593799,1714379891.2612264,1714379891.276715,1714379891.267709
1714379890.6705751,1714379891.2769182,1714379891.278798,1714379891.2943013,1714379891.291206
1714379890.7079759,1714379891.4544892,1714379891.4563084,1714379891.4718668,1714379891.48155
1714379890.745527,1714379891.4720924,1714379891.4739687,1714379891.4894202,1714379891.481611
1714379890.783694,1714379891.4896448,1714379891.4914873,1714379891.5069745,1714379891.505162
1714379890.822081,1714379891.6660004,1714379891.667845,1714379891.683371,1714379891.678168
1714379890.8604622,1714379891.6835737,1714379891.68544,1714379891.7009618,1714379891.7334201
1714379890.8978071,1714379891.8073187,1714379891.8091843,1714379891.8247564,1714379891.8152902
1714379890.936007,1714379891.824964,1714379891.8268223,1714379891.8423512,1714379891.836714
1714379890.9742432,1714379891.8425531,1714379891.8444512,1714379891.8599448,1714379891.852451
1714379891.101585,1714379892.0230706,1714379892.0249343,1714379892.0404434,1714379892.040572
1714379891.1398559,1714379892.0407252,1714379892.0426364,1714379892.0582216,1714379892.052042
1714379891.2591271,1714379892.1649039,1714379892.1667078,1714379892.182246,1714379892.1764421
1714379891.297306,1714379892.1824646,1714379892.1843584,1714379892.1998138,1714379892.19083
1714379891.335136,1714379892.2000504,1714379892.201924,1714379892.2174182,1714379892.207413
1714379891.4165509,1714379892.3773744,1714379892.3791728,1714379892.3947034,1714379892.391559
1714379891.477765,1714379892.3949466,1714379892.3968732,1714379892.4123135,1714379892.402291
1714379891.538499,1714379892.4125574,1714379892.4143698,1714379892.429902,1714379892.422038
1714379891.711769,1714379892.5885253,1714379892.5903313,1714379892.605816,1714379892.595971
1714379891.770657,1714379892.6060412,1714379892.607946,1714379892.6233647,1714379892.613943
1714379891.832695,1714379892.7327504,1714379892.7347088,1714379892.750308,1714379892.740733
1714379891.870097,1714379892.7505653,1714379892.7524834,1714379892.7679899,1714379892.761278
1714379891.907566,1714379892.7681968,1714379892.7700493,1714379892.7859952,1714379892.7768981
1714379891.9452019,1714379892.9468412,1714379892.9486966,1714379892.9641922,1714379892.954659
1714379892.029664,1714379892.964415,1714379892.9662497,1714379892.9817388,1714379892.975103
1714379892.068171,1714379893.0881534,1714379893.0899608,1714379893.1055307,1714379893.097161
1714379892.1059232,1714379893.1057432,1714379893.1076176,1714379893.1231024,1714379893.113305
1714379892.143321,1714379893.1233041,1714379893.125167,1714379893.140654,1714379893.1313841
1714379892.180523,1714379893.300576,1714379893.3023522,1714379893.3179195,1714379893.309532
1714379892.2182899,1714379893.3181198,1714379893.3200018,1714379893.335502,1714379893.325828
1714379892.2555652,1714379893.3356988,1714379893.3375163,1714379893.3529642,1714379893.343029
1714379892.2929761,1714379893.5118487,1714379893.5136445,1714379893.529141,1714379893.521783
1714379892.330187,1714379893.5293372,1714379893.5311873,1714379893.5467007,1714379893.538133
