Time_offload,Time_process,Time_reply,Time_e2e
78.22,19.03,-8.83,88.42
59.11,19.06,-2.64,75.53
228.25,18.30,-9.93,236.62
208.91,18.29,-10.32,216.88
245.32,17.35,-10.11,252.56
224.83,17.33,-8.51,233.66
347.83,17.38,-9.04,356.18
328.15,17.70,-5.65,340.21
308.87,17.91,-9.50,317.28
416.05,17.37,-7.31,426.11
395.26,17.33,-9.79,402.80
481.46,17.42,-5.33,493.56
461.48,17.39,-9.74,469.13
441.30,17.38,-6.11,452.57
582.49,17.44,-10.02,589.92
562.23,17.35,-4.76,574.82
647.80,17.39,-7.74,657.45
627.16,17.34,-9.01,635.48
606.34,17.38,-3.10,620.63
746.51,17.38,9.68,773.57
726.57,17.33,-7.81,736.08
705.95,17.33,-1.81,721.47
843.92,17.37,-5.20,856.09
823.11,17.39,32.46,872.96
909.51,17.44,-9.47,917.48
888.96,17.39,-5.64,900.71
868.31,17.39,-7.49,878.21
921.49,17.37,0.13,938.99
900.87,17.50,-6.18,912.19
905.78,17.34,-5.80,917.32
885.16,17.35,-8.98,893.52
864.91,17.37,-10.01,872.28
960.82,17.33,-3.14,975.01
917.18,17.37,-10.02,924.53
874.06,17.34,-7.86,883.54
876.76,17.29,-9.84,884.20
835.38,17.32,-9.42,843.29
900.06,17.56,-9.58,908.04
880.47,17.42,-6.71,891.18
860.63,17.80,-9.10,869.33
1001.64,17.35,-9.53,1009.46
934.75,17.32,-6.64,945.44
1019.98,17.38,-8.37,1028.99
999.82,17.36,-9.80,1007.38
979.98,17.35,-9.27,988.06
1120.05,17.34,-8.39,1129.01
1099.83,17.38,-9.67,1107.54
1080.13,17.27,-9.94,1087.46
1218.87,17.29,-7.36,1228.81
1199.15,17.36,-8.57,1207.95
