Time_offload,Time_process,Time_reply,Time_e2e
38.19,23.12,-8.42,52.89
25.75,18.63,-7.71,36.66
22.37,18.95,-9.68,31.64
22.43,18.44,-9.93,30.93
23.46,20.54,-9.78,34.22
23.23,20.07,-9.80,33.50
23.80,20.25,-9.40,34.64
23.50,20.19,-9.92,33.77
23.81,20.32,-10.00,34.13
24.55,21.09,-9.66,35.98
24.16,18.98,-9.68,33.47
23.75,20.56,-9.61,34.70
25.13,20.57,-10.03,35.67
23.83,19.88,-9.70,34.01
20.41,19.49,-9.99,29.91
21.76,19.88,-10.10,31.54
22.36,20.44,-9.55,33.25
45.50,23.46,-9.96,58.99
30.13,20.66,-4.60,46.19
25.22,20.65,-9.62,36.25
23.81,21.09,-7.98,36.92
24.19,21.93,-9.09,37.03
24.81,21.82,-8.52,38.11
24.49,22.02,-7.46,39.05
21.61,21.35,-9.81,33.14
22.22,21.17,-10.09,33.30
22.31,21.61,-9.86,34.06
22.51,21.17,-9.61,34.06
23.07,21.57,-9.88,34.76
23.37,20.78,-6.47,37.67
24.21,20.70,-9.73,35.18
92.05,18.74,-9.90,100.90
70.05,18.40,-9.56,78.89
47.41,18.26,-9.94,55.73
24.82,18.29,-8.12,34.99
24.34,19.39,-9.99,33.73
25.27,20.75,-9.64,36.38
32.46,22.29,-9.18,45.57
28.00,19.32,-9.87,37.45
25.15,19.06,-9.21,35.00
28.02,20.35,-4.00,44.38
46.79,25.67,12.96,85.43
59.03,23.14,-9.94,72.23
46.81,18.27,-9.87,55.20
29.89,18.29,-10.16,38.02
30.74,20.13,-3.73,47.13
28.59,20.30,-2.26,46.63
27.21,19.94,-7.62,39.54
26.07,18.36,-10.03,34.40
28.31,21.35,-3.29,46.38
35.08,21.88,-9.74,47.22
27.23,18.48,-9.85,35.87
29.99,20.94,-3.21,47.71
29.10,20.19,-9.95,39.34
31.75,21.08,-5.45,47.38
35.70,18.58,-7.35,46.92
26.89,18.80,-9.99,35.70
28.39,20.62,-9.92,39.10
26.46,19.73,-9.98,36.22
28.88,20.77,-0.87,48.78
32.17,20.70,-4.21,48.65
26.78,19.65,-9.86,36.57
27.44,20.44,-9.66,38.22
28.27,20.15,-9.06,39.36
26.25,19.73,-7.70,38.29
28.95,21.19,-1.46,48.68
27.65,20.04,-10.03,37.66
28.89,20.95,-1.08,48.77
28.53,20.24,-9.91,38.86
27.94,18.98,-7.61,39.30
28.22,20.84,-9.89,39.17
28.74,18.41,-9.61,37.54
29.21,21.21,-9.84,40.57
28.83,20.48,0.33,49.64
28.38,20.43,-10.13,38.67
54.28,28.61,-9.61,73.28
48.68,18.31,-9.01,57.98
33.59,18.31,-7.53,44.36
25.63,18.72,-10.19,34.16
26.92,20.10,-1.26,45.76
26.75,20.08,-9.91,36.92
23.79,18.38,-9.86,32.31
24.06,19.90,-8.64,35.32
25.35,20.41,-9.83,35.93
24.31,19.52,-8.71,35.12
25.19,20.22,-9.82,35.59
24.99,19.73,-9.41,35.32
25.64,20.09,-8.81,36.92
25.89,19.88,-10.28,35.50
21.68,19.02,-8.34,32.36
22.10,19.19,-10.27,31.02
23.35,20.15,-10.16,33.34
22.46,18.83,-8.91,32.39
22.90,19.37,-9.33,32.95
22.36,19.22,-9.71,31.87
22.76,17.52,-9.22,31.05
22.42,19.51,-10.05,31.88
22.41,19.14,-8.76,32.78
22.39,19.13,-5.71,35.81
22.53,19.21,-10.31,31.43
23.25,19.39,-9.97,32.67
24.79,20.01,-9.39,35.42
23.86,19.30,-8.69,34.47
24.44,19.61,-10.20,33.84
24.93,19.81,-7.18,37.56
21.83,19.12,-9.90,31.05
21.66,18.83,-10.17,30.31
22.09,19.26,-8.58,32.77
23.12,19.59,-10.04,32.67
22.66,17.65,-10.00,30.30
23.63,19.93,-8.89,34.67
23.25,19.92,-9.74,33.42
23.62,19.49,-9.39,33.72
23.49,17.60,-10.04,31.05
23.85,20.20,-9.92,34.13
23.31,19.42,-8.83,33.90
23.15,19.37,-10.06,32.46
21.16,19.04,-10.33,29.87
24.90,20.13,-9.80,35.24
25.25,19.85,-9.49,35.61
23.59,18.02,-9.86,31.74
24.75,19.31,-9.86,34.20
25.20,20.20,-9.28,36.12
24.88,19.79,-9.91,34.76
25.47,19.90,-8.45,36.92
25.27,19.95,-9.87,35.35
21.59,20.18,-7.55,34.22
21.05,19.25,-8.86,31.44
21.83,20.11,-10.01,31.93
21.11,19.71,-7.52,33.30
21.00,19.66,-9.94,30.73
20.56,19.59,-10.28,29.87
21.26,19.82,-9.12,31.96
24.78,20.24,-9.91,35.11
24.64,20.56,-9.11,36.08
24.80,20.54,-9.81,35.53
24.70,18.36,-9.80,33.26
25.34,19.50,-9.69,35.15
25.65,21.28,-9.21,37.73
25.18,20.34,-7.87,37.65
23.58,20.12,-10.24,33.46
21.15,19.43,-9.98,30.61
22.41,19.91,-8.96,33.37
21.68,19.51,-10.14,31.05
22.47,20.20,2.12,44.79
23.28,20.06,-10.14,33.21
23.97,20.25,-10.02,34.20
23.61,20.14,-8.98,34.78
24.42,20.34,-10.05,34.71
25.26,20.62,4.05,49.92
24.89,21.05,-9.45,36.49
25.33,20.53,-9.27,36.59
24.60,18.49,-7.25,35.83
25.04,20.94,-8.98,37.00
25.83,20.59,-8.71,37.70
24.45,20.12,-9.96,34.61
24.68,18.70,-9.97,33.41
24.77,18.84,-8.69,34.91
25.35,20.94,-9.70,36.59
24.12,20.46,-9.05,35.54
24.99,20.63,-9.88,35.74
25.44,20.88,-9.84,36.48
24.57,20.38,-9.67,35.28
24.30,20.48,-7.43,37.35
24.45,20.46,-9.95,34.95
24.10,20.27,-9.92,34.46
24.19,20.39,-10.21,34.38
24.44,20.46,-9.86,35.04
24.96,20.37,-9.92,35.40
25.19,21.11,-9.34,36.96
24.92,20.91,-9.52,36.31
24.80,18.99,-9.22,34.57
24.84,19.02,-9.56,34.31
25.50,21.14,-8.81,37.83
25.34,20.48,-9.77,36.06
25.97,20.78,-9.68,37.06
24.20,20.37,-9.56,35.01
21.48,19.74,-9.91,31.31
21.78,19.96,-10.17,31.57
24.18,18.47,-8.48,34.17
22.46,20.01,-10.05,32.41
22.77,19.99,-8.95,33.81
28.08,21.95,-3.42,46.61
24.00,19.12,-10.14,32.98
24.81,20.64,-5.36,40.09
20.73,19.26,-9.95,30.03
21.73,19.90,-9.42,32.21
22.27,20.00,-9.63,32.63
22.67,20.02,-9.51,33.17
23.15,20.04,-10.17,33.02
25.59,20.66,-10.04,36.22
21.64,19.31,-8.24,32.71
21.59,20.06,-6.55,35.11
21.65,19.23,-10.05,30.84
21.99,19.77,-8.20,33.56
22.45,20.10,-9.29,33.26
23.24,19.52,-9.96,32.79
23.81,19.80,-10.02,33.59
24.87,17.75,-9.84,32.78
24.09,18.85,-9.87,33.06
23.78,20.35,-8.11,36.03
26.90,20.29,12.44,59.64
25.55,19.74,-7.69,37.60
25.17,19.88,-9.78,35.27
24.90,19.83,-6.43,38.30
25.25,20.15,-9.99,35.41
27.98,20.91,-9.75,39.14
24.70,19.24,-9.48,34.46
25.10,20.54,-9.40,36.24
24.90,20.03,-9.43,35.50
24.77,19.93,-9.78,34.92
25.55,19.94,-9.24,36.25
24.30,18.61,-8.72,34.19
25.12,20.20,-9.32,36.00
24.67,19.96,-7.98,36.64
24.46,19.68,-9.76,34.38
24.10,20.09,-9.90,34.29
25.09,20.21,-8.45,36.86
25.44,19.98,-7.27,38.16
25.63,20.09,-9.82,35.90
24.51,19.97,-8.85,35.63
24.36,17.84,-9.57,32.62
24.81,19.35,-5.93,38.22
24.29,18.43,-7.61,35.11
25.40,20.48,-8.48,37.41
25.62,20.11,-8.09,37.64
24.83,19.63,-7.97,36.49
25.46,20.37,-9.75,36.08
21.60,19.13,-9.09,31.64
21.58,19.38,-10.04,30.92
21.85,19.45,-8.42,32.89
22.21,19.52,-8.38,33.34
22.90,19.94,-10.01,32.84
23.48,19.56,-8.37,34.67
24.00,20.14,-9.88,34.26
24.25,20.34,-9.75,34.84
24.62,19.81,-10.02,34.41
