Created,Deserialized,Processing,Processed,Finished
1714380012.7269068,1714380012.7612987,1714380012.7671099,1714380012.7908432,1714380012.7829142
1714380012.767757,1714380012.7976296,1714380012.799526,1714380012.816066,1714380012.814233
1714380012.808884,1714380012.8312051,1714380012.8332856,1714380012.8497374,1714380012.8397949
1714380012.8484108,1714380012.8712845,1714380012.8747687,1714380012.8915622,1714380012.881769
1714380012.887576,1714380012.9100199,1714380012.9131632,1714380012.9298072,1714380012.9201689
1714380012.926455,1714380012.9488184,1714380012.952106,1714380012.9688244,1714380012.9627361
1714380012.964386,1714380012.985233,1714380012.987976,1714380013.0045257,1714380012.994963
1714380013.002211,1714380013.0233624,1714380013.0264912,1714380013.0431476,1714380013.033279
1714380013.040137,1714380013.0616393,1714380013.0648143,1714380013.081455,1714380013.0717802
1714380013.0784519,1714380013.1000555,1714380013.1031754,1714380013.1197932,1714380013.110216
1714380013.116867,1714380013.1385849,1714380013.1417065,1714380013.1583662,1714380013.148463
1714380013.15551,1714380013.1773653,1714380013.1805172,1714380013.1972816,1714380013.189656
1714380013.19372,1714380013.251615,1714380013.255641,1714380013.273421,1714380013.265984
1714380013.232528,1714380013.279186,1714380013.2812023,1714380013.2977102,1714380013.2887099
1714380013.271252,1714380013.2980897,1714380013.29994,1714380013.3163774,1714380013.315856
1714380013.310636,1714380013.3333962,1714380013.3354955,1714380013.3519437,1714380013.342179
1714380013.34925,1714380013.3711593,1714380013.3742137,1714380013.3908238,1714380013.38133
1714380013.3882391,1714380013.4099844,1714380013.4131649,1714380013.4298036,1714380013.425198
1714380013.426527,1714380013.4486542,1714380013.4518237,1714380013.4684792,1714380013.4627159
1714380013.4651039,1714380013.486773,1714380013.4899035,1714380013.506533,1714380013.496604
1714380013.5031521,1714380013.5236332,1714380013.525506,1714380013.541944,1714380013.5320551
1714380013.5406332,1714380013.562943,1714380013.564793,1714380013.5816123,1714380013.57168
1714380013.578706,1714380013.6000152,1714380013.6031,1714380013.6197877,1714380013.609993
1714380013.616986,1714380013.640755,1714380013.6443522,1714380013.6610894,1714380013.66096
1714380013.655926,1714380013.691651,1714380013.6973758,1714380013.7145452,1714380013.708294
1714380013.694925,1714380013.7169461,1714380013.718773,1714380013.7351255,1714380013.725618
1714380013.734242,1714380013.7573545,1714380013.760501,1714380013.77681,1714380013.767191
1714380013.773292,1714380013.7954767,1714380013.798647,1714380013.8151135,1714380013.805553
1714380013.812187,1714380013.8342955,1714380013.8375478,1714380013.8537524,1714380013.844983
1714380013.851274,1714380013.8730898,1714380013.8764133,1714380013.8924959,1714380013.8828611
1714380013.890221,1714380013.912115,1714380013.9155066,1714380013.9315357,1714380013.92165
1714380013.928597,1714380013.9506094,1714380013.9540045,1714380013.9701087,1714380013.963268
1714380013.9673269,1714380013.989669,1714380013.9930737,1714380014.0092053,1714380014.00002
1714380014.006432,1714380014.0287888,1714380014.032098,1714380014.0481842,1714380014.041676
1714380014.045383,1714380014.0673637,1714380014.0694544,1714380014.086053,1714380014.078323
1714380014.083779,1714380014.1059806,1714380014.108373,1714380014.1246998,1714380014.11679
1714380014.122439,1714380014.1446614,1714380014.147988,1714380014.1641796,1714380014.154903
1714380014.1612349,1714380014.183566,1714380014.1868024,1714380014.2029848,1714380014.19328
1714380014.200622,1714380014.2227182,1714380014.2261941,1714380014.2423668,1714380014.2329679
1714380014.239767,1714380014.261679,1714380014.26502,1714380014.2811215,1714380014.271887
1714380014.2787929,1714380014.3005073,1714380014.3038385,1714380014.3199432,1714380014.3100622
1714380014.317536,1714380014.3397722,1714380014.3433752,1714380014.3594887,1714380014.349458
