Time_offload,Time_process,Time_reply,Time_e2e
36.07,32.75,-5.08,63.74
49.28,18.28,-10.20,57.36
48.00,18.26,-10.49,55.76
47.87,18.20,-9.91,56.16
44.73,17.26,-7.23,54.77
41.34,17.63,-8.36,50.61
38.39,17.54,-6.86,49.07
34.89,17.34,-3.05,49.19
31.18,17.28,-10.22,38.24
27.78,17.26,-8.60,36.45
24.85,17.29,-10.40,31.74
21.77,17.63,2.55,41.94
23.03,17.32,-8.99,31.36
21.45,17.32,-8.39,30.38
21.84,17.31,-10.24,28.91
22.03,17.29,-10.21,29.12
22.21,17.34,-10.55,29.00
22.06,17.36,9.43,48.85
22.54,17.37,-10.33,29.58
22.64,18.04,-7.46,33.22
22.46,17.43,-10.37,29.51
22.52,17.33,-9.16,30.70
22.34,17.32,-9.82,29.83
22.06,17.31,-10.29,29.08
23.24,17.80,-9.96,31.08
22.48,17.47,-9.85,30.10
24.04,17.41,-10.28,31.17
22.61,17.55,-10.15,30.00
22.90,17.35,-10.29,29.96
22.80,17.34,-10.33,29.81
22.76,17.31,-9.35,30.73
22.42,17.32,-7.79,31.94
22.60,17.30,-3.84,36.06
22.66,17.37,-10.21,29.82
21.21,17.33,-10.18,28.36
22.14,17.31,-8.55,30.90
21.56,17.30,-10.29,28.57
22.24,17.88,-10.35,29.76
22.17,17.83,-10.17,29.84
21.97,17.37,-9.05,30.28
21.96,17.33,-6.90,32.38
22.29,17.29,-10.30,29.28
22.49,17.29,-10.11,29.67
22.73,17.29,-9.13,30.88
22.36,17.36,-9.18,30.54
22.74,17.31,-8.26,31.80
22.87,17.39,-10.09,30.18
24.62,17.62,-8.82,33.42
22.52,17.37,-9.31,30.58
23.21,17.34,-6.99,33.55
21.82,17.27,-10.18,28.91
22.41,17.28,-10.46,29.24
21.22,17.30,-9.95,28.57
21.38,17.37,-10.01,28.75
21.90,17.31,-10.22,28.99
21.77,17.32,-10.20,28.89
22.66,17.37,-10.21,29.82
21.87,17.30,-8.30,30.87
23.07,17.32,-7.24,33.15
23.49,17.31,-10.31,30.48
22.27,17.33,-9.93,29.66
21.07,17.34,-4.01,34.39
21.58,17.32,-6.56,32.34
20.84,17.27,-10.16,27.95
21.22,17.27,-10.29,28.21
21.90,17.28,-10.42,28.77
21.64,17.29,-10.07,28.85
22.35,17.31,-10.39,29.28
22.06,17.30,-10.13,29.23
21.86,17.71,-9.84,29.74
22.59,17.40,-10.21,29.78
22.35,17.82,-10.18,29.99
22.77,17.55,-10.57,29.75
22.41,17.31,-9.69,30.03
22.56,17.30,-10.24,29.61
22.46,17.29,-9.66,30.09
22.47,17.29,-10.30,29.46
22.69,17.33,-10.25,29.77
22.62,17.32,-10.42,29.52
22.69,17.76,-10.33,30.13
24.25,17.65,-10.11,31.80
22.00,17.33,-10.32,29.01
22.61,17.28,-10.22,29.68
22.41,17.37,-10.23,29.55
22.50,17.30,-10.35,29.45
22.64,17.29,-8.49,31.45
22.70,17.28,-9.86,30.12
22.20,17.26,-9.85,29.60
21.95,17.28,-10.20,29.03
22.38,17.33,-9.15,30.56
22.39,17.84,-9.97,30.26
22.50,17.88,-10.16,30.22
22.20,17.40,-10.24,29.36
23.01,17.62,-8.82,31.82
22.67,17.46,-10.16,29.97
22.27,17.35,-10.24,29.38
21.70,17.32,-10.02,28.99
21.90,17.31,-10.06,29.16
22.29,17.30,-10.44,29.16
22.63,17.33,88.63,128.59
95.38,28.18,-10.13,113.42
119.92,17.36,-5.27,132.02
98.20,17.30,-10.14,105.36
112.33,17.36,-6.53,123.15
92.17,17.31,-9.98,99.51
89.57,17.28,-10.32,96.53
68.58,17.28,-10.27,75.59
82.66,17.29,-6.31,93.63
62.13,17.28,-8.18,71.24
76.59,17.28,-6.23,87.64
55.90,17.32,-8.40,64.81
69.20,17.42,-10.33,76.29
47.23,17.32,-10.37,54.18
61.24,17.33,-8.24,70.34
74.86,17.31,-9.33,82.84
53.15,17.37,-9.71,60.80
49.71,17.65,-8.89,58.47
47.48,17.40,-10.25,54.63
45.35,17.37,-11.00,51.72
42.81,17.35,-10.09,50.07
