Time_offload,Time_process,Time_reply,Time_e2e
43.37,65.32,-9.04,99.65
69.48,28.38,-7.06,90.80
29.72,28.38,-6.99,51.11
48.76,28.25,-3.18,73.83
39.46,28.22,-9.71,57.97
29.89,28.25,-7.14,51.00
26.02,28.23,-6.22,48.02
28.92,28.28,-5.78,51.41
26.07,32.67,-4.64,54.09
26.28,32.30,-3.09,55.49
26.64,31.75,-7.30,51.10
26.83,31.36,-6.38,51.81
29.23,31.41,8.35,68.98
43.12,31.93,-9.90,65.16
36.50,30.32,-7.93,58.88
28.29,27.11,0.28,55.68
25.70,27.39,-5.49,47.59
25.75,27.98,-6.75,46.99
25.80,27.64,-5.80,47.65
25.67,27.19,-4.84,48.02
26.85,27.02,-5.20,48.68
26.37,27.02,-5.65,47.73
26.63,27.00,-1.93,51.69
47.64,31.39,-9.89,69.14
56.86,28.00,-9.18,75.68
60.14,27.16,-1.09,86.21
57.56,27.56,-10.11,75.01
58.15,27.55,0.78,86.48
58.45,27.59,-4.80,81.23
56.14,27.14,-9.49,73.79
54.54,27.24,-7.52,74.25
53.12,27.19,-9.56,70.75
48.55,27.12,-9.88,65.78
43.61,27.04,-9.88,60.77
37.54,27.03,-7.69,56.88
32.81,27.06,-5.65,54.22
32.08,27.01,-4.66,54.43
31.08,26.97,-9.21,48.84
30.53,27.03,-10.45,47.11
27.60,27.01,-7.19,47.41
27.32,27.05,-6.44,47.93
27.87,27.00,-6.51,48.36
32.18,27.22,-10.05,49.35
28.00,27.03,-7.18,47.85
29.97,27.53,-4.28,53.22
30.89,27.58,-10.22,48.25
27.13,27.22,-3.90,50.45
30.06,27.19,-8.34,48.91
26.97,27.12,-6.29,47.80
31.19,27.21,-3.91,54.50
30.93,27.04,-9.12,48.85
27.96,27.07,21.40,76.42
53.03,34.14,-6.14,81.03
55.33,27.31,-9.98,72.66
50.22,27.23,-9.85,67.60
45.24,27.04,-9.83,62.45
39.36,27.01,-9.97,56.40
34.00,27.01,-5.25,55.75
30.99,27.03,-10.52,47.50
31.42,27.15,-10.06,48.52
33.13,27.35,-5.09,55.40
30.98,27.15,-9.96,48.17
31.59,27.01,-5.33,53.27
37.38,27.49,-9.95,54.92
36.16,27.05,-10.47,52.73
31.56,27.02,-8.54,50.04
32.47,27.01,-5.47,54.01
34.30,27.39,-4.51,57.18
44.17,28.57,-10.01,62.73
41.47,27.39,-9.53,59.33
40.39,27.74,-10.08,58.05
31.29,27.67,-4.51,54.45
33.59,27.33,-7.29,53.63
36.32,27.20,-9.49,54.03
32.54,27.21,-6.00,53.75
37.21,27.22,-5.34,59.08
36.83,27.03,-8.91,54.94
32.81,27.07,-4.68,55.19
32.09,27.02,-10.52,48.59
28.01,27.05,-5.80,49.25
31.19,27.07,-8.00,50.26
28.04,27.82,-7.26,48.59
27.77,27.33,-5.77,49.33
27.41,27.27,-6.39,48.28
28.67,27.03,-7.57,48.14
25.54,27.01,-6.82,45.73
25.95,27.06,-3.19,49.82
26.65,27.63,-3.13,51.16
27.61,27.34,-6.61,48.35
27.67,27.18,-6.46,48.39
30.27,27.08,-7.35,49.99
25.88,27.07,-6.73,46.22
27.39,27.08,-5.83,48.65
25.79,27.02,-6.29,46.51
25.62,27.05,-5.42,47.26
26.40,27.04,-7.30,46.14
25.30,27.46,-7.17,45.60
25.04,27.24,-6.62,45.66
29.16,27.23,-8.13,48.26
26.50,27.07,-6.55,47.03
32.27,27.53,0.69,60.49
32.84,27.28,-7.24,52.88
28.41,27.12,-2.99,52.55
28.47,27.68,-3.63,52.53
24.74,27.48,-5.93,46.28
25.44,27.33,-3.68,49.09
26.13,27.99,-7.65,46.47
25.86,27.38,-6.34,46.90
27.59,27.48,-4.51,50.56
25.86,27.08,-5.83,47.11
26.03,27.45,-2.86,50.62
25.85,27.64,-6.57,46.92
25.35,27.22,-5.70,46.86
25.84,27.74,-6.37,47.21
26.11,27.20,-5.66,47.65
26.88,27.40,-6.39,47.90
28.24,27.10,-6.86,48.47
26.26,27.00,-4.94,48.32
27.62,27.14,-3.64,51.12
26.66,27.02,-9.99,43.69
