Time_offload,Time_process,Time_reply,Time_e2e
43.78,45.37,-9.90,79.25
49.55,49.70,-4.66,94.59
60.90,28.48,-3.71,85.68
50.43,28.36,-9.19,69.60
45.71,28.26,-10.35,63.62
43.36,28.26,-10.11,61.51
39.22,28.27,-10.21,57.27
34.38,28.24,-7.23,55.39
32.77,28.75,-5.43,56.09
32.38,27.37,-6.00,53.75
30.81,27.08,-10.27,47.61
28.47,27.04,-7.18,48.34
30.15,27.01,-7.59,49.57
27.73,27.09,-7.01,47.81
29.38,27.15,-7.64,48.89
26.33,27.02,-6.87,46.49
26.68,27.04,-5.83,47.90
27.38,27.16,-6.85,47.69
27.74,27.64,-7.59,47.79
38.71,29.21,-8.64,59.28
41.10,27.05,-9.55,58.59
37.05,27.01,-7.79,56.27
34.88,26.96,-2.90,58.95
33.85,27.05,-9.77,51.13
32.20,26.91,-10.06,49.05
32.31,26.95,-9.90,49.35
32.15,27.12,-6.82,52.44
32.94,27.46,-3.94,56.46
36.69,27.19,-5.78,58.11
33.20,27.06,-9.36,50.90
33.35,26.99,-10.48,49.86
44.61,30.12,-7.23,67.51
51.93,27.61,-8.25,71.30
52.10,27.08,-9.95,69.23
49.32,27.00,-8.21,68.11
48.87,26.97,-10.24,65.60
46.15,26.99,-9.94,63.20
39.95,27.04,-9.51,57.48
40.89,26.99,-9.96,57.93
34.35,27.51,2.18,64.04
39.71,27.18,-9.81,57.08
33.30,27.16,-9.94,50.52
28.70,27.04,-6.90,48.84
32.22,27.09,-9.90,49.40
28.32,27.01,-5.69,49.64
29.82,27.06,-6.59,50.29
28.23,27.03,-6.08,49.18
27.93,27.07,-4.76,50.24
27.71,27.10,-5.81,49.00
27.82,27.78,-5.27,50.33
30.67,27.30,-7.46,50.51
27.37,27.60,-5.90,49.07
28.02,27.87,-5.90,49.98
27.44,27.43,-5.95,48.92
27.60,27.74,-5.05,50.29
26.42,27.34,-0.05,53.71
29.78,27.24,-8.02,49.01
25.81,27.04,-6.09,46.76
26.06,27.00,-5.09,47.97
26.75,26.99,-5.39,48.36
26.63,27.10,-5.42,48.30
27.67,27.00,-6.14,48.53
26.76,27.06,-5.35,48.48
26.71,27.40,-7.23,46.88
26.10,27.96,-4.29,49.78
25.61,27.70,-8.51,44.80
27.70,27.33,-6.66,48.37
24.65,27.10,-6.95,44.80
25.11,27.04,-2.86,49.29
25.17,27.00,-5.48,46.70
25.41,27.07,-5.56,46.93
25.53,27.04,-5.49,47.09
26.30,27.00,-5.74,47.56
26.82,27.02,-6.08,47.76
25.87,27.04,-6.01,46.90
25.56,27.04,-3.56,49.04
25.31,26.97,-5.38,46.91
25.64,27.03,-5.93,46.74
25.32,27.41,-5.67,47.06
26.02,27.67,-5.78,47.91
26.03,27.16,-2.32,50.88
27.66,27.06,-7.52,47.20
24.81,27.02,-6.19,45.63
24.67,27.03,-6.10,45.60
24.99,27.26,-6.19,46.07
26.86,27.20,-7.23,46.83
25.82,27.07,-5.78,47.10
26.16,27.07,-5.15,48.08
26.42,26.97,-4.93,48.46
27.06,27.05,-5.84,48.28
26.61,27.03,-5.17,48.48
26.57,27.05,-5.86,47.76
26.22,27.09,-4.88,48.43
26.98,27.06,-5.51,48.52
26.99,27.05,-4.03,50.02
28.19,27.85,-5.61,50.42
25.57,27.76,-7.84,45.49
25.45,27.55,-6.36,46.64
27.39,27.68,-7.36,47.72
26.59,27.18,-5.41,48.36
26.42,27.15,-2.90,50.66
27.07,27.22,-5.83,48.46
27.18,27.80,-6.26,48.72
26.64,27.26,-5.55,48.35
27.08,27.38,-6.06,48.39
26.79,27.96,-5.73,49.02
28.66,27.59,-5.18,51.07
27.49,27.43,-7.11,47.82
25.86,27.13,-3.55,49.45
25.16,26.98,-5.86,46.28
25.39,27.01,-6.10,46.30
25.83,27.01,-5.23,47.61
26.54,26.99,-5.35,48.17
26.60,26.97,-5.32,48.25
28.02,26.98,-6.51,48.49
26.60,26.96,-4.90,48.66
28.64,27.01,-6.90,48.75
42.56,30.83,-10.22,63.16
34.74,27.01,-8.31,53.45
24.99,27.02,-10.12,41.88
