Time_offload,Time_process,Time_reply,Time_e2e
36.42,56.86,-6.20,87.09
54.32,29.02,-0.79,82.55
44.46,28.30,-10.37,62.38
34.83,28.70,-8.72,54.81
26.86,28.91,-6.11,49.66
25.87,28.40,-7.46,46.82
26.03,28.47,-5.60,48.90
28.57,27.20,-8.05,47.73
30.06,27.11,54.81,111.98
131.24,27.12,-8.28,150.07
127.66,27.14,-6.84,147.97
77.03,27.16,-9.79,94.39
45.03,26.95,-10.22,61.75
40.58,27.15,-10.64,57.09
34.04,27.04,-6.29,54.80
31.53,27.08,-3.18,55.43
31.69,27.13,-5.78,53.05
29.15,27.19,-2.98,53.36
28.96,27.76,6.69,63.40
39.22,29.12,-10.21,58.13
34.11,27.22,-10.42,50.90
28.08,27.15,-5.61,49.63
27.96,27.05,-7.71,47.30
26.51,27.13,-7.61,46.02
25.84,27.92,-7.55,46.22
26.05,27.88,-6.89,47.03
26.74,27.52,-6.21,48.05
26.79,27.24,-5.81,48.21
26.94,27.09,-4.96,49.07
27.26,27.13,-4.01,50.38
27.90,27.06,-6.53,48.43
27.06,27.03,-5.19,48.90
35.47,28.36,-7.88,55.95
30.87,27.00,-6.50,51.37
27.48,27.02,-5.49,49.01
27.03,27.05,-5.24,48.83
30.34,27.15,-6.55,50.94
26.59,27.77,-6.15,48.22
27.02,27.33,-5.36,48.99
28.44,27.23,-6.20,49.48
27.39,27.15,-6.14,48.39
26.84,27.11,-5.43,48.51
26.66,27.09,-4.85,48.89
28.97,27.11,-6.85,49.23
27.09,27.08,3.26,57.44
28.61,27.09,-6.40,49.30
27.35,27.12,-5.26,49.21
27.60,27.67,-5.73,49.53
27.19,27.23,-5.53,48.89
28.85,27.10,-4.12,51.83
28.24,27.11,-5.65,49.70
28.34,27.07,-5.94,49.46
27.12,27.12,1.67,55.92
27.07,27.25,-4.64,49.68
26.98,27.86,-2.26,52.57
27.70,27.25,-5.29,49.66
28.15,27.05,-5.64,49.57
27.82,27.17,-5.28,49.72
27.48,27.02,-5.22,49.28
26.47,27.10,-4.62,48.95
27.12,27.87,-6.12,48.88
26.63,27.37,-5.07,48.94
27.08,27.32,-5.09,49.32
27.17,27.12,-7.25,47.04
24.91,27.00,-6.83,45.08
25.41,27.10,-6.21,46.30
25.48,26.94,-5.38,47.03
26.04,27.03,-5.27,47.80
26.50,27.06,-5.46,48.10
26.62,27.05,-4.66,49.01
27.46,27.26,-5.63,49.09
27.37,27.25,-4.46,50.16
25.12,27.04,-6.19,45.97
25.86,27.13,5.50,58.48
26.01,27.03,-6.23,46.82
26.08,27.04,-7.43,45.69
24.86,27.02,-6.24,45.63
25.27,27.62,-6.36,46.53
25.75,27.98,-6.28,47.46
26.24,27.41,-5.69,47.96
26.37,27.13,-5.77,47.72
26.56,27.11,-5.16,48.52
26.62,27.13,-5.31,48.43
27.41,27.21,-6.14,48.48
26.54,27.93,-5.48,48.99
27.23,27.33,-5.77,48.80
27.13,27.22,-5.20,49.14
28.23,27.12,-5.92,49.43
26.92,27.14,-4.47,49.58
28.43,27.19,-5.78,49.83
27.60,27.15,-5.28,49.47
26.84,27.41,0.52,54.77
26.44,27.48,-4.79,49.13
25.55,27.17,-6.59,46.13
25.97,27.07,4.55,57.59
27.02,27.03,-6.41,47.63
26.13,27.01,-4.95,48.18
26.93,27.06,-5.69,48.29
26.71,27.02,-5.48,48.24
26.94,27.08,-5.02,49.00
26.63,27.09,-4.48,49.24
26.88,27.10,-5.30,48.68
27.58,27.15,-2.50,52.23
27.62,27.14,-3.06,51.70
27.39,27.41,-4.88,49.92
27.91,28.01,-6.11,49.81
27.45,27.98,-5.78,49.65
27.26,27.44,3.24,57.94
27.49,27.16,-5.30,49.35
27.05,27.09,-5.08,49.06
27.80,27.09,-5.60,49.29
27.42,27.13,-5.89,48.66
26.24,27.14,-4.98,48.40
26.77,27.13,-4.83,49.07
27.75,27.56,-5.73,49.58
27.37,27.42,-6.60,48.19
26.15,27.17,-7.15,46.18
30.75,27.22,-4.63,53.34
25.47,27.08,-8.52,44.03
