Created,Deserialized,Processing,Processed,Finished
1714380390.341423,1714380390.3867338,1714380390.3924215,1714380390.428566,1714380390.4266539
1714380390.381738,1714380390.4294536,1714380390.4333124,1714380390.4586308,1714380390.449332
1714380390.4216251,1714380390.4594247,1714380390.4632459,1714380390.4881146,1714380390.479671
1714380390.460692,1714380390.4938102,1714380390.4975874,1714380390.522275,1714380390.512581
1714380390.500257,1714380390.5315292,1714380390.535235,1714380390.5598776,1714380390.551167
1714380390.539644,1714380390.566827,1714380390.5705292,1714380390.5952532,1714380390.5876212
1714380390.578466,1714380390.6124678,1714380390.616535,1714380390.6409972,1714380390.630489
1714380390.617862,1714380390.6456387,1714380390.6493206,1714380390.6732125,1714380390.667674
1714380390.6572402,1714380390.6934798,1714380390.6980789,1714380390.722075,1714380390.713421
1714380390.696836,1714380390.7276301,1714380390.7313647,1714380390.7549553,1714380390.7467442
1714380390.736448,1714380390.766956,1714380390.7706234,1714380390.7941217,1714380390.786397
1714380390.775798,1714380390.8079715,1714380390.811674,1714380390.8352284,1714380390.826101
1714380390.8155122,1714380390.844016,1714380390.8476985,1714380390.8712184,1714380390.863372
1714380390.855465,1714380390.8931262,1714380390.898537,1714380390.922092,1714380390.9117398
1714380390.895107,1714380390.9274516,1714380390.9311702,1714380390.954627,1714380390.944208
1714380390.9348328,1714380390.9728577,1714380390.9771833,1714380391.0006375,1714380390.99229
1714380390.9741812,1714380391.0063741,1714380391.0100868,1714380391.0336332,1714380391.0235589
1714380391.013325,1714380391.0422344,1714380391.0460207,1714380391.0698686,1714380391.062491
1714380391.0529358,1714380391.083682,1714380391.0874035,1714380391.110877,1714380391.101208
1714380391.092449,1714380391.120634,1714380391.12434,1714380391.1477993,1714380391.1391091
1714380391.1318011,1714380391.1622431,1714380391.1659474,1714380391.1892304,1714380391.1862779
1714380391.171263,1714380391.2067509,1714380391.211038,1714380391.2343125,1714380391.223941
1714380391.210888,1714380391.2422516,1714380391.245915,1714380391.2692332,1714380391.2606862
1714380391.2504802,1714380391.2834156,1714380391.287134,1714380391.310491,1714380391.300381
1714380391.2899818,1714380391.318304,1714380391.3219645,1714380391.3453445,1714380391.335587
1714380391.329222,1714380391.358213,1714380391.361925,1714380391.3852396,1714380391.379052
1714380391.368546,1714380391.3992848,1714380391.4030163,1714380391.426802,1714380391.416455
1714380391.4073632,1714380391.4319859,1714380391.4357336,1714380391.4592826,1714380391.453005
1714380391.4456692,1714380391.4704306,1714380391.4742475,1714380391.4975998,1714380391.493831
1714380391.4841442,1714380391.5095756,1714380391.513294,1714380391.5366,1714380391.530218
1714380391.5227242,1714380391.5489452,1714380391.552809,1714380391.5768757,1714380391.5692768
1714380391.561874,1714380391.5871758,1714380391.5909963,1714380391.6149158,1714380391.608083
1714380391.600991,1714380391.627179,1714380391.6308656,1714380391.6543324,1714380391.647157
1714380391.640267,1714380391.6679034,1714380391.671665,1714380391.695136,1714380391.6851032
