Time_offload,Time_process,Time_reply,Time_e2e
41.90,45.37,-9.88,77.39
47.91,28.35,-10.19,66.06
37.75,28.44,-8.58,57.62
27.52,29.00,-7.18,49.35
27.10,29.01,-7.38,48.73
26.93,28.44,-6.98,48.40
27.02,27.08,-5.37,48.73
27.71,26.98,-5.49,49.20
27.55,27.01,-5.70,48.85
26.93,27.00,-4.59,49.34
27.19,26.98,-4.93,49.24
27.51,26.95,-5.51,48.95
29.29,26.94,-7.36,48.88
27.15,26.97,-5.49,48.63
26.93,27.76,-4.24,50.45
27.49,27.71,0.62,55.82
27.16,27.67,-7.41,47.43
26.38,27.27,-5.71,47.94
26.67,27.05,-5.38,48.33
27.24,27.02,-6.11,48.15
26.22,26.99,-4.83,48.38
27.65,26.96,-5.97,48.63
27.12,26.99,1.32,55.43
27.00,26.95,-4.98,48.97
26.82,27.00,-4.54,49.27
27.19,26.98,-4.42,49.75
27.86,27.31,-5.94,49.23
29.25,27.29,-7.55,48.99
32.05,27.75,-8.52,51.27
27.63,27.74,-4.21,51.16
26.19,27.23,-7.25,46.18
25.51,27.18,-7.52,45.17
25.60,27.09,72.54,125.22
95.96,40.70,1.07,137.73
99.55,27.23,-6.36,120.43
60.65,27.23,-6.30,81.59
105.24,26.88,-5.54,126.58
66.46,26.88,-5.47,87.86
55.82,26.96,-10.64,72.14
45.18,26.92,-10.58,61.52
34.94,26.95,-7.90,53.98
30.31,26.98,-6.32,50.97
29.79,26.92,-2.37,54.35
41.17,29.60,-1.78,68.98
47.05,27.43,-7.64,66.84
50.92,27.28,-9.80,68.40
46.11,27.77,-10.50,63.38
40.01,27.34,-10.76,56.59
34.48,27.04,-5.85,55.67
31.42,27.26,-8.15,50.53
29.99,27.54,-7.36,50.17
30.37,27.09,1.90,59.36
35.77,27.66,-7.95,55.48
31.13,27.07,-6.01,52.19
30.94,26.99,-5.56,52.38
31.01,27.05,-6.54,51.53
31.15,27.02,-7.47,50.71
32.63,27.25,-8.47,51.41
32.75,27.30,-4.42,55.63
31.39,27.02,-6.61,51.80
30.63,27.04,-5.60,52.07
31.12,26.90,-7.38,50.64
31.32,26.95,-6.89,51.38
30.35,26.99,-6.69,50.65
31.08,27.18,3.02,61.27
37.54,27.97,-4.51,60.99
36.43,26.87,-7.81,55.49
31.86,27.18,-6.67,52.36
30.92,27.77,-7.04,51.65
31.10,27.64,-9.39,49.34
33.05,27.39,-7.97,52.47
31.26,27.66,-7.20,51.71
31.03,27.13,-2.12,56.04
31.47,27.14,-6.93,51.68
30.85,27.02,-6.08,51.79
32.09,27.01,-7.59,51.50
30.93,26.98,-6.42,51.49
30.48,27.04,2.13,59.65
35.69,27.39,-7.80,55.28
30.40,26.96,-5.60,51.77
32.94,27.11,-7.56,52.50
32.75,27.36,-7.79,52.33
30.03,27.26,-6.95,50.33
30.00,27.08,-7.72,49.36
29.15,27.00,-7.13,49.02
29.33,27.00,-1.79,54.54
30.13,26.96,-5.72,51.38
30.21,27.01,-6.33,50.90
30.12,26.97,-7.85,49.24
30.09,27.03,-1.46,55.65
30.38,27.02,-8.00,49.40
27.67,27.01,-5.55,49.12
27.89,26.97,-5.60,49.26
27.21,27.02,-5.81,48.42
26.27,27.47,-2.80,50.94
25.16,27.63,-5.17,47.61
25.72,27.15,-7.54,45.33
24.91,27.15,-7.05,45.02
25.08,27.21,-6.15,46.14
28.36,27.82,-6.08,50.09
26.33,27.20,-6.44,47.09
26.76,27.05,-4.26,49.56
26.22,27.00,-5.10,48.12
26.60,26.97,-5.39,48.19
27.11,26.93,-5.63,48.41
27.31,27.01,-5.85,48.47
26.54,27.01,-5.62,47.93
29.73,27.00,-5.93,50.80
27.21,27.10,-5.43,48.88
28.00,27.03,-6.03,49.00
27.28,27.03,-5.08,49.24
28.53,26.96,-5.82,49.67
28.19,27.39,-5.50,50.08
27.63,27.47,-6.43,48.67
27.28,27.15,-2.08,52.35
26.95,27.10,-5.43,48.62
27.68,26.96,-5.87,48.76
27.47,26.97,-5.33,49.12
27.12,27.02,-5.50,48.64
26.85,26.99,-10.26,43.57
