Time_offload,Time_process,Time_reply,Time_e2e
49.24,44.83,-6.06,88.02
55.18,28.54,-9.77,73.95
45.23,28.29,-10.78,62.74
35.90,28.25,-8.14,56.01
27.42,28.78,-7.76,48.43
26.96,28.59,-7.32,48.24
29.85,27.21,-7.44,49.62
28.72,27.06,-5.75,50.03
41.19,29.59,-8.52,62.26
48.66,27.43,-8.07,68.03
45.28,27.08,-10.26,62.11
38.83,26.95,-9.41,56.37
32.48,26.96,-6.37,53.07
29.40,26.96,-7.56,48.80
26.78,26.95,-6.46,47.27
27.70,27.03,-3.24,51.49
29.98,26.96,-7.56,49.38
28.05,26.96,-6.46,48.55
27.80,26.97,-6.17,48.60
28.35,26.95,-6.16,49.14
28.74,26.99,-6.06,49.67
32.38,27.21,-9.14,50.45
27.58,26.99,-5.88,48.69
28.13,27.82,-5.64,50.31
27.72,27.17,-5.98,48.91
28.29,27.07,-6.41,48.95
28.26,27.05,-6.34,48.97
27.94,27.99,-7.43,48.50
29.10,27.44,-7.91,48.63
29.74,27.29,-7.60,49.44
28.31,27.07,-6.26,49.12
28.34,27.00,-6.37,48.97
27.98,27.05,-5.99,49.04
27.50,27.05,-5.64,48.92
29.69,26.96,-7.58,49.07
28.54,26.98,-6.09,49.42
27.68,26.98,-4.58,50.08
28.37,26.95,-5.96,49.37
28.57,26.93,-4.16,51.33
28.09,26.95,-5.75,49.28
28.75,27.04,-5.96,49.83
28.99,27.84,-5.02,51.81
29.69,27.88,-7.59,49.98
31.31,27.42,-1.48,57.25
32.89,27.24,-8.70,51.44
29.00,27.02,-6.19,49.83
28.68,27.00,-4.28,51.40
28.88,26.98,-6.67,49.19
27.83,27.06,-8.31,46.58
29.42,27.27,1.35,58.03
34.90,27.32,-10.34,51.88
28.50,27.36,-7.26,48.61
39.44,28.85,-10.13,58.15
39.43,27.10,-4.85,61.68
45.17,27.45,-9.27,63.34
41.93,26.96,-10.44,58.44
37.38,26.95,-8.69,55.63
33.40,26.96,-10.80,49.56
32.40,26.93,-8.74,50.59
32.08,27.04,-7.71,51.41
31.86,27.43,-9.95,49.34
34.49,27.57,-9.69,52.38
29.47,27.10,-6.76,49.81
32.60,27.04,-7.61,52.03
30.95,27.42,-7.43,50.94
29.99,27.75,-4.81,52.94
31.68,27.37,-5.01,54.04
31.42,27.17,-8.74,49.85
31.87,26.99,-9.83,49.02
32.02,26.94,-4.46,54.50
35.60,27.02,-8.03,54.58
38.27,26.98,-5.63,59.62
41.76,27.59,-8.83,60.51
37.19,27.05,-8.79,55.44
36.43,26.99,-10.31,53.11
35.50,26.98,-8.35,54.13
39.42,27.30,-6.36,60.36
44.26,27.46,-9.78,61.94
40.59,26.95,-10.33,57.21
35.68,27.05,-6.44,56.29
33.04,26.99,-9.01,51.02
32.68,26.97,-10.54,49.11
32.33,26.98,-9.01,50.30
32.00,27.02,0.23,59.24
36.99,27.33,-8.45,55.88
39.53,27.91,-10.09,57.34
39.64,27.42,-10.19,56.86
37.05,27.18,-7.81,56.42
38.24,27.04,-9.46,55.82
40.59,27.03,66.96,134.58
118.22,42.64,-9.81,151.05
122.06,27.07,-10.24,138.88
67.43,27.82,-9.91,85.34
70.49,27.96,-6.02,92.43
100.04,27.09,-10.45,116.67
89.05,27.02,-10.13,105.94
90.10,27.01,6.58,123.69
107.92,31.07,-6.96,132.04
101.39,26.96,-7.57,120.78
98.04,27.02,-10.30,114.76
64.56,26.98,-6.54,85.00
64.38,26.98,-7.22,84.14
63.59,26.95,-8.53,82.01
65.06,26.94,-9.16,82.84
61.25,26.98,-5.45,82.77
62.26,27.21,-6.93,82.54
61.53,27.77,-6.76,82.54
63.82,27.40,-7.87,83.35
61.66,27.24,-6.51,82.40
61.33,27.62,-6.68,82.26
58.74,27.61,-6.56,79.79
59.81,27.19,-7.38,79.62
60.51,27.13,-6.77,80.87
60.53,27.07,-5.99,81.61
61.31,27.09,-6.19,82.21
68.73,27.51,-5.06,91.19
63.27,27.42,-8.29,82.41
66.62,27.21,-7.41,86.42
64.25,27.05,-10.47,80.83
