Time_offload,Time_process,Time_reply,Time_e2e
56.22,1587.66,-7.01,1636.87
1605.27,29.60,-1.80,1633.06
1565.38,29.60,-1.67,1593.30
1641.85,27.22,-10.76,1658.31
1629.51,27.01,-11.29,1645.23
160.93,26.96,-9.62,178.28
175.82,27.25,-6.50,196.57
165.90,26.86,-9.09,183.67
154.53,26.87,-5.23,176.18
143.78,27.74,-10.91,160.61
160.40,27.24,-10.69,176.94
150.40,27.42,-8.79,169.03
111.44,27.42,-8.72,130.14
100.59,27.11,-6.33,121.36
89.87,26.95,-10.48,106.33
106.07,26.88,-5.71,127.24
94.65,26.90,-6.85,114.70
55.49,26.91,-6.76,75.63
72.40,27.31,-9.26,90.45
33.72,27.30,-9.18,51.84
52.91,26.88,-10.66,69.13
42.01,26.94,-6.36,62.59
47.61,27.83,-7.10,68.34
41.51,32.04,-2.78,70.76
42.34,31.56,-10.69,63.21
41.36,31.38,-9.38,63.36
42.78,31.50,-9.89,64.40
41.77,31.40,-9.87,63.30
41.74,29.58,-8.44,62.88
41.19,26.91,1.63,69.73
40.99,26.93,-6.30,61.62
40.40,26.89,-5.76,61.54
41.04,26.91,-6.45,61.50
40.01,26.84,-5.57,61.28
40.71,26.87,-5.90,61.68
39.94,26.88,-5.22,61.60
40.04,27.70,-6.72,61.02
40.46,27.65,-6.95,61.16
40.17,27.08,-5.64,61.61
39.98,27.06,-5.90,61.14
39.76,27.76,-6.39,61.13
40.15,27.25,-6.41,60.99
39.56,27.00,-5.53,61.03
39.82,26.97,-6.67,60.12
38.80,27.05,-7.23,58.63
38.91,27.28,-7.10,59.09
39.15,26.92,-6.61,59.46
39.64,27.62,-7.15,60.11
41.84,27.13,-8.51,60.46
41.76,26.90,-7.67,60.99
40.06,26.94,-6.03,60.97
41.89,26.88,-6.79,61.97
40.04,26.90,-7.50,59.44
37.63,26.95,-7.12,57.46
38.07,26.91,-7.66,57.32
37.45,26.90,-6.79,57.55
38.42,26.85,-6.78,58.49
38.45,26.87,-7.21,58.11
38.19,26.97,-6.90,58.26
39.04,26.92,-7.21,58.75
44.55,27.82,-5.56,66.81
39.50,27.43,-5.18,61.75
40.63,27.12,-7.26,60.49
39.78,27.06,-6.85,59.99
39.96,26.89,-6.94,59.91
39.09,26.93,-5.70,60.32
38.99,26.93,-3.90,62.01
39.09,26.87,-5.34,60.62
39.11,26.85,-5.30,60.67
40.21,26.92,-6.75,60.39
38.78,27.06,-6.30,59.53
38.65,27.19,-6.36,59.49
38.10,26.96,-6.46,58.61
37.20,26.90,-5.88,58.22
37.33,26.96,2.44,66.73
39.04,27.33,-6.76,59.62
38.20,27.93,-6.66,59.47
39.40,27.62,1.65,68.67
38.74,27.04,-5.89,59.89
38.33,27.01,1.52,66.85
38.69,26.91,2.73,68.33
39.45,26.90,5.66,72.01
37.42,26.89,5.36,69.67
38.84,26.98,-0.32,65.51
36.66,27.81,-7.50,56.98
37.09,27.46,-6.45,58.09
36.16,27.11,-6.00,57.27
36.81,27.02,4.44,68.27
41.69,27.49,-3.98,65.20
34.58,26.93,-4.38,57.13
34.33,27.46,-5.47,56.32
34.03,27.08,-5.21,55.91
35.19,27.49,0.69,63.37
33.17,27.48,-8.09,52.57
30.90,27.03,-6.42,51.51
34.08,26.89,-8.43,52.53
30.44,26.97,-8.05,49.35
28.43,26.93,-7.15,48.21
28.76,26.94,7.49,63.19
41.82,29.46,-10.59,60.68
37.78,26.92,-9.04,55.67
31.93,26.88,-7.81,51.00
29.56,26.92,-7.38,49.10
38.54,29.32,-5.60,62.26
38.62,27.70,-1.47,64.86
40.70,27.20,-3.38,64.52
42.58,27.05,-9.86,59.77
36.28,26.87,-0.57,62.58
46.69,29.09,-10.46,65.33
41.56,26.89,-9.20,59.25
36.14,26.89,-7.27,55.76
32.89,26.87,-3.04,56.71
34.39,27.41,-5.03,56.78
33.78,27.14,1.32,62.25
38.58,27.23,-9.21,56.60
