Time_offload,Time_process,Time_reply,Time_e2e
52.65,90.60,-8.18,135.08
103.95,28.66,6.29,138.90
63.80,28.66,6.36,98.82
82.02,28.30,-11.10,99.22
72.53,28.40,-8.79,92.14
63.44,28.39,-5.65,86.18
24.85,28.39,-5.58,47.66
44.93,29.37,-10.07,64.23
36.95,28.36,-7.03,58.28
27.85,28.56,-8.53,47.89
29.49,28.43,-8.49,49.43
28.22,27.11,-0.59,54.75
30.28,27.01,-1.01,56.27
27.75,27.15,-7.06,47.84
28.97,27.01,-7.93,48.05
29.82,27.07,-6.17,50.71
27.94,27.05,-9.70,45.29
26.63,27.19,-8.51,45.31
27.27,28.10,-9.04,46.34
27.80,27.20,-4.74,50.26
27.80,27.06,-6.78,48.08
41.24,29.88,-9.10,62.03
32.62,27.08,-8.73,50.97
28.17,27.04,-6.64,48.57
28.48,27.04,-6.87,48.65
31.31,27.04,-7.77,50.58
28.57,26.99,-7.11,48.44
29.91,27.48,-2.41,54.98
32.05,27.31,-8.71,50.66
36.24,27.34,-6.02,57.56
30.17,27.10,-4.97,52.30
29.30,27.77,-7.80,49.28
28.89,27.93,1.84,58.67
30.41,27.34,-6.05,51.70
29.37,27.22,-7.14,49.45
30.08,27.07,-5.38,51.77
28.66,27.97,-7.46,49.16
29.22,27.93,-8.04,49.12
29.94,27.30,-8.15,49.09
28.87,27.14,-6.62,49.39
28.44,26.98,0.35,55.77
28.38,28.39,-7.80,48.98
28.95,27.75,-8.12,48.58
29.37,27.16,-8.01,48.52
31.66,27.12,-5.86,52.92
35.91,27.27,3.10,66.28
32.73,27.01,-8.01,51.73
28.71,27.10,-6.13,49.68
29.38,27.04,-6.91,49.52
28.79,27.07,-6.41,49.46
30.41,27.07,-8.04,49.45
30.18,27.00,-7.87,49.31
28.99,27.08,-7.13,48.94
28.77,27.05,0.40,56.22
28.70,27.09,-8.30,47.49
27.97,27.72,-6.28,49.41
28.09,27.56,-6.89,48.76
27.51,27.14,-7.53,47.12
27.99,27.13,-7.27,47.84
28.68,27.07,-7.35,48.39
28.92,27.18,-5.05,51.05
28.21,27.06,-6.73,48.54
28.80,27.09,-7.18,48.71
28.86,27.13,-7.48,48.51
28.18,27.52,-6.76,48.94
28.73,27.56,-6.94,49.35
34.47,27.74,-2.47,59.75
30.17,27.09,-7.29,49.98
29.41,27.04,-9.07,47.38
27.77,27.08,-8.79,46.06
26.70,26.99,-6.92,46.77
27.40,27.00,-6.81,47.58
27.92,27.01,-6.85,48.08
28.02,27.04,-6.70,48.37
28.14,27.09,-7.23,48.00
30.08,27.03,-6.10,51.02
31.70,27.05,-5.77,52.98
29.98,27.00,-7.57,49.41
29.51,27.53,-7.52,49.52
29.57,27.86,-8.11,49.31
33.77,27.52,-4.49,56.80
29.02,27.28,-6.70,49.60
29.42,27.05,-6.62,49.85
29.27,27.09,-7.33,49.03
28.47,27.04,-3.74,51.77
29.74,27.75,-8.36,49.13
28.32,27.20,-6.71,48.81
28.54,27.07,-6.63,48.98
28.58,27.33,-6.51,49.41
30.18,28.00,-5.48,52.71
28.72,27.88,-9.21,47.39
26.84,27.26,-7.26,46.84
27.73,27.09,-7.61,47.21
29.80,27.87,-7.54,50.13
27.83,27.39,-6.97,48.25
28.22,27.12,-7.17,48.16
28.77,27.09,-7.55,48.31
29.08,26.99,-7.31,48.76
28.87,27.94,-7.52,49.30
28.74,27.64,-6.88,49.50
29.65,27.26,0.53,57.45
26.48,27.12,-7.70,45.90
28.22,27.06,-8.89,46.38
27.31,26.97,-7.23,47.05
28.63,27.44,-8.18,47.89
28.06,27.42,-7.23,48.25
29.67,27.17,-9.28,47.56
38.50,28.47,-9.81,57.15
28.92,27.03,-2.09,53.86
27.37,27.07,-7.69,46.74
28.09,27.04,-7.32,47.81
27.93,27.11,-6.39,48.65
28.71,27.04,-7.38,48.37
27.93,27.05,-6.68,48.30
32.82,27.37,-8.81,51.38
29.41,27.03,-7.86,48.58
29.06,27.00,-7.27,48.79
28.86,27.25,-3.96,52.14
29.17,28.02,-7.57,49.62
29.44,27.57,-8.63,48.38
