Time_offload,Time_process,Time_reply,Time_e2e
38.41,43.70,-10.44,71.67
42.32,28.29,-11.45,59.16
32.60,28.36,-5.73,55.23
25.75,28.51,-7.95,46.32
23.87,28.22,-9.30,42.80
23.03,28.90,-8.73,43.21
23.30,27.54,-7.56,43.27
23.22,27.11,-6.67,43.66
23.55,26.94,-6.83,43.65
23.25,27.08,-6.57,43.75
23.37,26.93,-6.51,43.79
23.49,27.01,-6.89,43.61
25.20,27.00,0.01,52.22
25.36,27.02,-8.30,44.09
26.88,26.99,-7.67,46.20
23.16,27.07,-1.04,49.19
23.08,27.93,-1.91,49.10
23.26,27.73,-9.41,41.57
23.32,27.37,-8.60,42.09
22.69,27.13,-7.28,42.55
23.44,26.96,-7.07,43.33
23.32,27.04,-7.50,42.87
96.52,26.94,-1.63,121.82
107.81,27.07,-8.47,126.41
112.58,27.84,-11.46,128.96
67.51,27.26,-11.93,82.83
66.67,27.94,-5.15,89.46
66.59,27.90,-11.56,82.93
56.65,27.72,-0.37,84.01
70.23,29.70,-6.97,92.97
66.32,27.08,-10.69,82.70
51.49,27.06,-11.11,67.44
47.07,27.02,-6.87,67.21
44.55,26.92,-11.84,59.63
41.13,26.93,-8.18,59.88
40.58,27.13,-7.83,59.88
38.89,27.01,-1.96,63.94
42.02,27.45,-11.21,58.27
38.92,27.71,-9.01,57.62
39.34,27.19,-7.27,59.26
39.80,27.09,-7.37,59.52
39.83,27.02,-6.93,59.92
39.86,27.00,-7.19,59.68
39.58,26.97,-6.76,59.79
39.48,26.99,-6.66,59.82
39.42,27.00,-7.25,59.16
39.55,27.09,-7.48,59.16
38.53,28.08,-7.84,58.77
38.40,30.58,-10.19,58.79
38.72,27.77,-7.69,58.80
39.14,27.28,-7.75,58.68
38.07,27.07,-6.51,58.63
37.93,26.99,-7.46,57.46
36.84,26.99,-7.65,56.17
37.46,26.98,-6.74,57.70
38.42,27.60,-8.75,57.27
38.29,27.88,4.60,70.77
62.74,34.08,-10.61,86.21
63.89,27.11,-7.24,83.76
56.24,27.07,-9.84,73.47
50.73,27.04,-11.69,66.08
44.26,27.50,-10.07,61.70
41.06,27.99,-5.58,63.47
42.32,27.32,-7.33,62.30
40.92,27.27,-11.68,56.51
39.74,27.09,-10.29,56.53
37.27,27.08,-8.40,55.94
36.48,27.05,0.74,64.27
42.26,27.53,-11.89,57.90
37.74,27.08,-8.42,56.41
35.43,27.05,-6.60,55.88
36.58,27.12,-8.41,55.29
35.07,27.12,-8.12,54.07
37.78,27.44,-11.22,54.00
35.83,27.16,-1.27,61.72
41.99,27.44,-9.78,59.64
38.44,27.07,-5.44,60.08
39.12,27.07,-12.14,54.04
46.65,28.36,-11.63,63.38
36.38,27.02,-12.42,50.98
33.11,27.47,6.08,66.67
45.58,27.98,-10.93,62.62
40.97,27.87,-11.62,57.22
35.58,27.37,-6.39,56.55
33.89,27.26,-11.70,49.46
29.62,27.00,-4.50,52.12
30.05,27.79,-8.49,49.35
29.97,27.66,-8.89,48.73
29.79,27.30,3.81,60.89
42.03,29.81,-11.61,60.22
39.26,27.04,-6.69,59.61
38.04,27.10,-9.99,55.15
33.47,27.12,-11.68,48.90
28.76,27.12,-7.38,48.50
29.42,27.13,-7.88,48.67
29.13,27.06,-7.65,48.53
33.35,27.17,-5.03,55.50
32.34,27.43,-4.46,55.32
32.63,27.11,-9.23,50.52
29.67,27.05,-7.71,49.02
29.79,27.08,-7.68,49.19
29.59,27.09,-7.49,49.20
32.31,27.08,-9.08,50.32
29.90,27.04,-6.84,50.10
29.84,27.03,-7.10,49.77
31.19,27.03,-9.11,49.11
29.51,27.05,-8.87,47.69
27.73,27.01,-8.10,46.64
31.67,27.53,-10.42,48.78
34.57,27.81,-5.88,56.50
35.71,27.97,-7.34,56.34
34.58,27.57,-6.08,56.07
34.05,27.11,-6.14,55.03
33.30,27.18,-9.37,51.11
30.26,27.00,-7.27,49.98
29.65,27.03,-8.33,48.35
28.98,26.98,-6.70,49.26
29.73,26.96,-5.97,50.71
29.94,26.99,-11.91,45.02
