Time_offload,Time_process,Time_reply,Time_e2e
42.89,46.24,-7.01,82.12
51.44,28.73,-9.34,70.83
41.66,28.32,-11.67,58.30
32.41,28.29,-2.72,57.98
23.52,28.18,-7.78,43.92
23.60,28.25,-7.73,44.12
24.44,28.13,-8.62,43.95
27.36,28.17,1.05,56.58
23.58,28.64,-9.09,43.13
23.95,27.35,-8.39,42.91
24.45,27.24,-2.73,48.96
25.73,27.18,5.03,57.95
25.87,27.34,-6.73,46.48
24.17,27.94,-5.50,46.61
23.61,27.49,-5.84,45.26
23.77,26.96,0.76,51.49
24.26,26.97,-7.59,43.64
25.30,26.99,-5.55,46.74
23.78,26.98,-6.57,44.19
23.73,26.88,2.79,53.41
26.20,26.97,-8.34,44.84
25.70,26.93,-8.87,43.76
23.86,27.30,-6.77,44.38
23.98,27.68,-7.04,44.62
25.38,27.21,-7.67,44.92
22.84,27.40,-8.42,41.83
23.89,27.31,-8.14,43.06
23.62,28.28,-7.08,44.83
24.09,26.95,-0.26,50.77
23.68,26.92,-3.53,47.07
26.04,26.91,-8.58,44.37
23.97,27.04,-6.94,44.07
24.30,27.30,-5.44,46.16
25.71,27.05,-8.54,44.21
26.14,26.95,-5.47,47.62
24.06,26.91,72.86,123.83
97.57,41.12,-7.83,130.87
127.44,26.86,-12.07,142.24
88.17,26.86,-12.00,103.03
76.13,26.81,-12.11,90.83
64.86,26.84,9.08,100.79
52.86,26.85,-10.27,69.44
40.89,26.97,-11.68,56.19
29.53,26.96,-10.96,45.53
25.11,26.95,-7.31,44.75
26.54,27.91,5.76,60.21
42.60,28.92,10.78,82.29
65.40,28.05,-9.20,84.26
57.91,27.36,-0.64,84.63
47.42,27.07,-9.08,65.41
44.29,27.16,-12.26,59.19
37.51,27.08,-12.53,52.06
38.42,27.02,-10.50,54.94
32.76,26.91,-3.87,55.79
33.76,26.88,0.12,60.76
39.08,27.35,-10.04,56.39
33.80,26.97,-3.19,57.59
35.86,26.87,-0.85,61.89
39.26,27.17,-7.02,59.40
36.38,26.90,-12.70,50.59
35.96,26.89,-11.04,51.82
34.70,26.92,-9.43,52.19
35.46,26.87,-4.46,57.87
36.02,26.94,-9.90,53.05
32.36,27.83,-4.80,55.39
35.53,27.72,-5.41,57.84
37.91,27.16,-7.60,57.47
36.45,27.08,3.71,67.24
45.84,28.58,-12.16,62.26
40.80,31.51,-11.69,60.62
38.85,31.51,-11.56,58.79
36.96,27.74,-8.72,55.98
34.37,27.05,-11.90,49.53
37.01,27.07,-7.05,57.03
34.86,27.09,-4.00,57.95
37.86,27.02,-3.87,61.01
40.27,27.13,-9.31,58.09
36.70,27.00,-11.79,51.91
37.45,26.97,-7.16,57.26
44.95,28.40,-11.13,62.23
44.44,26.96,-7.56,63.85
43.17,26.99,-11.48,58.67
38.44,27.40,-6.62,59.22
38.55,27.52,-4.66,61.41
41.26,27.14,-11.11,57.30
35.82,27.10,-7.24,55.68
34.19,27.09,-8.71,52.56
34.72,27.06,-9.17,52.61
32.52,27.01,0.65,60.17
38.61,27.68,-10.36,55.93
34.27,27.00,-3.52,57.75
35.81,27.08,-7.91,54.98
33.24,27.43,-7.91,52.75
30.93,27.14,-0.87,57.20
36.69,27.36,-7.14,56.91
35.58,26.98,-8.44,54.12
33.03,27.01,-10.08,49.96
37.02,27.03,-8.44,55.61
33.20,26.95,-10.95,49.19
35.71,27.80,-10.11,53.40
33.77,27.82,-8.80,52.79
31.60,27.39,-6.70,52.29
32.90,27.07,-8.70,51.27
33.85,27.07,-7.02,53.91
33.70,27.03,-7.32,53.42
33.50,27.45,-12.10,48.85
32.62,27.56,-8.87,51.32
34.33,27.26,-10.19,51.40
34.34,27.25,-10.82,50.77
34.94,27.02,1.82,63.79
43.19,28.30,-12.55,58.94
36.64,26.99,-9.97,53.66
34.38,26.98,-6.38,54.98
41.35,27.50,-11.68,57.17
37.24,27.04,-11.69,52.58
32.39,27.45,-9.35,50.49
31.02,27.34,-6.82,51.54
32.30,27.92,-0.82,59.41
40.08,27.68,-11.75,56.01
35.55,27.00,-7.76,54.79
