Time_offload,Time_process,Time_reply,Time_e2e
54.03,58.64,-10.17,102.50
74.70,28.55,-9.23,94.01
35.15,28.55,-9.16,54.55
53.91,28.23,-12.47,69.67
44.17,28.25,-10.89,61.53
34.44,28.39,-11.63,51.20
35.20,28.93,-10.90,53.24
34.20,27.36,-8.93,52.63
35.25,27.35,-10.44,52.16
34.66,27.20,-11.34,50.52
34.32,27.17,-11.62,49.87
32.03,27.15,-7.94,51.25
37.53,27.38,-12.24,52.66
35.81,27.19,-11.18,51.81
36.25,27.68,-9.66,54.26
33.86,27.14,-9.55,51.45
41.68,28.08,-6.37,63.39
45.87,29.26,-12.08,63.04
57.20,29.32,-4.93,81.59
65.29,27.98,-6.74,86.52
27.15,27.98,-6.68,48.45
28.31,27.06,-7.18,48.19
25.81,27.05,-5.40,47.46
25.52,27.01,-1.19,51.34
24.34,27.15,-6.96,44.54
25.97,27.08,-9.42,43.64
23.70,28.08,-9.16,42.62
24.43,27.53,-8.58,43.37
53.01,27.58,-11.65,68.95
50.35,28.10,-10.00,68.44
48.93,27.27,-11.66,64.54
44.49,27.08,-12.22,59.35
39.06,27.10,-5.44,60.72
39.73,26.99,-4.75,61.97
40.02,26.94,-12.12,54.83
32.90,26.89,-9.20,50.59
33.99,27.10,-6.62,54.48
32.72,26.81,-8.59,50.95
44.36,29.40,-10.12,63.64
41.85,27.13,-10.14,58.84
38.06,27.47,-10.31,55.23
34.15,27.04,-11.11,50.08
32.63,26.92,-10.06,49.49
35.03,27.00,-11.90,50.12
34.18,27.51,-12.05,49.65
34.15,28.10,-1.66,60.59
42.38,28.20,-9.01,61.57
42.06,27.12,-11.45,57.72
37.42,26.95,-5.96,58.41
38.65,26.98,-6.53,59.10
38.81,27.03,5.41,71.24
50.06,29.27,-9.82,69.52
48.36,26.87,-8.13,67.10
45.52,27.82,-9.06,64.28
47.15,27.20,-11.61,62.75
41.41,27.06,-12.09,56.38
36.14,27.04,-12.10,51.09
36.05,26.90,-12.29,50.66
45.09,28.83,-7.67,66.25
44.28,26.87,-10.15,60.99
40.19,26.87,-11.71,55.35
35.03,26.83,61.52,123.38
122.68,28.93,-7.65,143.95
118.91,27.04,-12.16,133.79
38.41,27.04,-12.08,53.37
32.26,26.96,-5.39,53.83
33.68,27.01,-10.77,49.91
29.55,26.97,-1.38,55.14
35.42,28.12,-4.38,59.17
38.75,27.16,-12.15,53.76
33.30,27.00,-7.12,53.17
63.93,36.93,-10.00,90.86
122.42,26.94,-11.75,137.61
116.01,26.87,-11.58,131.29
76.57,26.87,-11.51,91.94
69.26,27.68,-6.18,90.75
53.05,27.43,-11.74,68.75
80.75,27.12,-9.27,98.60
78.01,26.97,-11.78,93.20
41.16,26.97,-11.72,56.41
35.36,26.98,-8.21,54.13
33.99,26.90,-7.84,53.05
32.75,26.89,-9.04,50.61
31.15,26.92,-12.14,45.92
66.25,27.31,-4.90,88.65
72.75,28.04,-8.17,92.61
34.09,28.05,-8.11,54.03
33.71,27.00,-8.61,52.10
32.53,26.91,-8.64,50.79
33.18,26.97,-7.98,52.16
32.36,26.92,-8.01,51.27
29.81,26.94,2.65,59.40
40.20,28.49,-4.15,64.54
44.60,26.95,13.08,84.64
62.87,31.65,3.92,98.44
71.93,28.21,9.51,109.65
128.50,27.83,10.24,166.57
89.59,27.83,10.31,127.73
99.80,29.45,-2.95,126.30
132.36,26.95,-9.34,149.97
126.79,26.98,-11.66,142.10
42.45,26.98,-11.59,57.84
35.44,27.00,-11.34,51.10
29.44,26.97,-11.71,44.70
62.85,26.97,-6.39,83.44
64.39,27.01,-8.89,82.52
63.04,27.47,-7.86,82.65
63.44,27.16,-4.91,85.69
64.68,27.01,-7.83,83.86
62.98,26.89,-5.98,83.89
62.76,26.95,-5.86,83.85
63.08,26.96,-8.62,81.43
60.66,26.86,0.06,87.58
66.01,27.22,-9.08,84.16
27.84,27.22,-9.03,46.04
63.06,26.85,-8.12,81.78
60.16,26.93,-7.53,79.56
57.00,26.93,-8.97,74.95
57.41,27.90,-9.98,75.33
60.81,27.56,-12.08,76.29
