Created,Deserialized,Processing,Processed,Finished
1714381658.430223,1714381658.4744537,1714381658.4879985,1714381660.0112245,1714381660.001023
1714381658.46936,1714381660.0132222,1714381660.0153008,1714381660.0429473,1714381660.041784
1714381658.5082781,1714381660.01323,1714381660.0172741,1714381660.0429564,1714381660.041878
1714381658.547144,1714381660.0729575,1714381660.0748198,1714381660.101442,1714381660.096979
1714381658.58686,1714381660.0729635,1714381660.0766547,1714381660.1014507,1714381660.097055
1714381658.6262321,1714381660.1018214,1714381660.103757,1714381660.1305017,1714381660.139703
1714381658.665578,1714381660.1018295,1714381660.1056194,1714381660.1305115,1714381660.1397839
1714381658.70525,1714381660.1603165,1714381660.164058,1714381660.1895318,1714381660.177718
1714381660.047858,1714381660.1904216,1714381660.1923559,1714381660.2188244,1714381660.214091
1714381660.087389,1714381660.1904294,1714381660.1941977,1714381660.2188334,1714381660.2141771
1714381660.126698,1714381660.2471683,1714381660.2490406,1714381660.2741945,1714381660.261594
1714381660.165653,1714381660.2749476,1714381660.2768505,1714381660.3025296,1714381660.2950149
1714381660.204733,1714381660.3029635,1714381660.3067253,1714381660.3302784,1714381660.317677
1714381660.243835,1714381660.3311646,1714381660.333123,1714381660.3585708,1714381660.3529332
1714381660.282995,1714381660.3590503,1714381660.3628888,1714381660.3862848,1714381660.377439
1714381660.321405,1714381660.38705,1714381660.388973,1714381660.4141939,1714381660.4101849
1714381660.360647,1714381660.3870559,1714381660.3908372,1714381660.4142282,1714381660.410254
1714381660.400254,1714381660.4424202,1714381660.4443388,1714381660.4695647,1714381660.4568
1714381660.4394429,1714381660.4789379,1714381660.4808285,1714381660.5060925,1714381660.4941142
1714381660.479008,1714381660.5126033,1714381660.5145195,1714381660.5399554,1714381660.541424
1714381660.517591,1714381660.5687275,1714381660.5730824,1714381660.599822,1714381660.586604
1714381660.557151,1714381660.6004884,1714381660.6024191,1714381660.628168,1714381660.618057
1714381660.595655,1714381660.634994,1714381660.63695,1714381660.6629312,1714381660.655652
1714381660.635217,1714381660.6797435,1714381660.6817884,1714381660.7073827,1714381660.694633
1714381660.6749911,1714381660.7187898,1714381660.7206714,1714381660.7459884,1714381660.7331982
1714381660.7145889,1714381660.763474,1714381660.7657864,1714381660.7910733,1714381660.78031
1714381660.754055,1714381660.803227,1714381660.805102,1714381660.8302999,1714381660.8174
1714381660.793418,1714381660.8477294,1714381660.8499985,1714381660.8760405,1714381660.863223
1714381660.833039,1714381660.8882596,1714381660.890201,1714381660.9158034,1714381660.9042182
1714381660.8724082,1714381660.9273665,1714381660.9292717,1714381660.9546611,1714381660.9623091
1714381660.911814,1714381660.9726994,1714381660.975159,1714381661.0004907,1714381660.9887528
1714381660.9513159,1714381661.007363,1714381661.009255,1714381661.034475,1714381661.021615
1714381660.990765,1714381661.0398197,1714381661.0417187,1714381661.066895,1714381661.055855
1714381661.0303402,1714381661.073675,1714381661.0755656,1714381661.1008046,1714381661.089359
1714381661.070206,1714381661.107583,1714381661.1094356,1714381661.1346724,1714381661.1236951
1714381661.109851,1714381661.1494648,1714381661.1513455,1714381661.1765213,1714381661.16834
1714381661.1494122,1714381661.18659,1714381661.1885235,1714381661.214297,1714381661.20167
1714381661.1892521,1714381661.224888,1714381661.2268236,1714381661.2526166,1714381661.2473469
1714381661.228797,1714381661.2657166,1714381661.267647,1714381661.2931361,1714381661.286051
1714381661.2673001,1714381661.3064814,1714381661.3083732,1714381661.3335838,1714381661.320766
1714381661.3054411,1714381661.3383467,1714381661.3402176,1714381661.3653703,1714381661.364474
1714381661.343452,1714381661.3815544,1714381661.3835237,1714381661.4086897,1714381661.396348
1714381661.380883,1714381661.4139442,1714381661.4158225,1714381661.4409614,1714381661.432662
1714381661.418708,1714381661.4500823,1714381661.4519618,1714381661.4770908,1714381661.467922
1714381661.456762,1714381661.4888515,1714381661.4907467,1714381661.51597,1714381661.507309
1714381661.495309,1714381661.5285296,1714381661.530462,1714381661.5556777,1714381661.54578
1714381661.5340312,1714381661.5729182,1714381661.5752382,1714381661.6005256,1714381661.5911639
1714381661.573094,1714381661.608763,1714381661.6106336,1714381661.6358635,1714381661.6244102
1714381661.611948,1714381661.6456137,1714381661.6475203,1714381661.6727169,1714381661.671307
1714381661.6513019,1714381661.6883554,1714381661.6903336,1714381661.715638,1714381661.7074718
1714381661.69075,1714381661.7242343,1714381661.726168,1714381661.7515123,1714381661.743758
1714381661.7303019,1714381661.7637656,1714381661.765727,1714381661.7916985,1714381661.7840052
1714381661.769759,1714381661.8041708,1714381661.8061316,1714381661.8316436,1714381661.828662
1714381661.809484,1714381661.8456044,1714381661.8475678,1714381661.872923,1714381661.869683
1714381661.849202,1714381661.8866751,1714381661.888597,1714381661.913843,1714381661.909058
1714381661.888733,1714381661.9256907,1714381661.927567,1714381661.9526744,1714381661.945269
1714381661.927708,1714381661.9643078,1714381661.966191,1714381661.9913843,1714381661.983221
1714381661.967201,1714381662.0100365,1714381662.0145605,1714381662.038004,1714381662.025578
1714381662.005939,1714381662.0427096,1714381662.0464473,1714381662.069797,1714381662.058914
1714381662.043283,1714381662.076203,1714381662.0798993,1714381662.1032603,1714381662.095975
1714381662.080877,1714381662.114398,1714381662.1181464,1714381662.1414728,1714381662.1332748
1714381662.11802,1714381662.150414,1714381662.1542726,1714381662.1780832,1714381662.187289
1714381662.156446,1714381662.2051358,1714381662.2122738,1714381662.2359376,1714381662.2234628
1714381662.194842,1714381662.2406034,1714381662.2443411,1714381662.2676725,1714381662.256554
1714381662.23378,1714381662.2739177,1714381662.2776425,1714381662.3010433,1714381662.2915258
1714381662.2727969,1714381662.3085554,1714381662.3122253,1714381662.335605,1714381662.330035
1714381662.311732,1714381662.3426745,1714381662.34644,1714381662.3698008,1714381662.3602931
1714381662.3506958,1714381662.382721,1714381662.3863776,1714381662.4096758,1714381662.4011369
1714381662.390033,1714381662.420804,1714381662.424556,1714381662.4479089,1714381662.4388962
1714381662.429357,1714381662.459866,1714381662.4635623,1714381662.4869163,1714381662.488427
1714381662.468509,1714381662.5064955,1714381662.5112076,1714381662.534608,1714381662.529034
1714381662.507883,1714381662.5465431,1714381662.550252,1714381662.5736747,1714381662.5647821
1714381662.547353,1714381662.582121,1714381662.585804,1714381662.6091359,1714381662.5968618
1714381662.586259,1714381662.6174455,1714381662.6193144,1714381662.6444452,1714381662.6367412
1714381662.625864,1714381662.658216,1714381662.6619866,1714381662.6860547,1714381662.676803
1714381662.665441,1714381662.6966155,1714381662.7004542,1714381662.724646,1714381662.715795
1714381662.705025,1714381662.7368484,1714381662.7407677,1714381662.764736,1714381662.7554848
1714381662.743906,1714381662.7762575,1714381662.780077,1714381662.8036036,1714381662.801265
1714381662.783516,1714381662.8196237,1714381662.8235428,1714381662.846923,1714381662.840404
1714381662.823125,1714381662.858211,1714381662.8620026,1714381662.885503,1714381662.8745642
1714381662.862706,1714381662.8942833,1714381662.898064,1714381662.9215727,1714381662.912021
1714381662.902179,1714381662.932434,1714381662.9361165,1714381662.9595876,1714381662.9515069
1714381662.941556,1714381662.9724467,1714381662.9761205,1714381662.9994664,1714381662.992861
1714381662.980751,1714381663.0132906,1714381663.0170314,1714381663.040421,1714381663.030818
1714381663.020075,1714381663.051371,1714381663.0552166,1714381663.0791376,1714381663.0699039
1714381663.059149,1714381663.1000102,1714381663.105248,1714381663.1287541,1714381663.118666
1714381663.0986109,1714381663.1361215,1714381663.1398127,1714381663.16318,1714381663.1555681
1714381663.137155,1714381663.1733396,1714381663.1770697,1714381663.2004063,1714381663.187729
1714381663.1766279,1714381663.2078533,1714381663.211524,1714381663.2352977,1714381663.226528
1714381663.2161841,1714381663.2478437,1714381663.2516665,1714381663.2756088,1714381663.3379369
1714381663.255705,1714381663.3970928,1714381663.3989694,1714381663.4241564,1714381663.411645
1714381663.295222,1714381663.424823,1714381663.428512,1714381663.4518998,1714381663.439269
1714381663.333726,1714381663.456209,1714381663.4599175,1714381663.4833024,1714381663.470387
1714381663.418792,1714381663.4873574,1714381663.4911,1714381663.5144823,1714381663.506996
1714381663.4578362,1714381663.525207,1714381663.5288913,1714381663.5523062,1714381663.54368
1714381663.4969091,1714381663.5616267,1714381663.5654438,1714381663.5895584,1714381663.585106
1714381663.535902,1714381663.602078,1714381663.6058378,1714381663.629726,1714381663.621758
1714381663.574996,1714381663.6389158,1714381663.6426358,1714381663.6660876,1714381663.662972
1714381663.6144798,1714381663.6945908,1714381663.7018704,1714381663.725471,1714381663.714873
1714381663.6537862,1714381663.7260888,1714381663.727942,1714381663.7530985,1714381663.752291
1714381663.693336,1714381663.773728,1714381663.7782001,1714381663.8015497,1714381663.7893178
1714381663.733052,1714381663.8061633,1714381663.8098876,1714381663.833594,1714381663.821462
1714381663.772885,1714381663.8389573,1714381663.84272,1714381663.8663557,1714381663.859064
1714381663.812307,1714381663.87619,1714381663.8799021,1714381663.9032845,1714381663.895676
1714381663.851776,1714381663.911843,1714381663.9137125,1714381663.9388504,1714381663.935194
1714381663.890815,1714381663.9515846,1714381663.9534338,1714381663.9785874,1714381663.9747798
1714381663.930371,1714381663.9915986,1714381663.9934676,1714381664.0186327,1714381664.0143092
1714381663.9700558,1714381664.0357924,1714381664.038058,1714381664.0633268,1714381664.055712
1714381664.009614,1714381664.0676084,1714381664.069474,1714381664.0946374,1714381664.085531
1714381664.04756,1714381664.105428,1714381664.107306,1714381664.1324406,1714381664.1281521
1714381664.085668,1714381664.1437829,1714381664.1456325,1714381664.170863,1714381664.162642
1714381664.124201,1714381664.183487,1714381664.185366,1714381664.2105732,1714381664.2058408
1714381664.162729,1714381664.2216387,1714381664.2235372,1714381664.2487037,1714381664.243649
1714381664.2015429,1714381664.2601984,1714381664.2620864,1714381664.2872705,1714381664.282778
1714381664.239923,1714381664.307417,1714381664.3101132,1714381664.3358324,1714381664.343193
1714381664.278526,1714381664.3604345,1714381664.3669887,1714381664.391231,1714381664.379837
1714381664.317236,1714381664.4005213,1714381664.4042583,1714381664.427884,1714381664.4179761
1714381664.356086,1714381664.4378622,1714381664.4416673,1714381664.465066,1714381664.452599
1714381664.395435,1714381664.471329,1714381664.4750288,1714381664.4983993,1714381664.4861078
1714381664.43491,1714381664.5030978,1714381664.5068107,1714381664.5301318,1714381664.518993
