Time_offload,Time_process,Time_reply,Time_e2e
51.16,56.09,-9.62,97.64
67.85,28.51,-0.00,96.36
27.81,28.52,0.05,56.38
46.37,28.19,-9.26,65.30
37.15,28.23,-10.96,54.41
33.91,28.26,-4.47,57.70
42.18,29.05,-9.73,61.51
38.42,28.22,-9.36,57.28
41.57,28.21,-12.65,57.12
41.60,28.45,-11.86,58.19
36.57,27.10,-7.17,56.49
44.78,27.73,-12.78,59.73
48.34,26.99,-10.81,64.51
46.21,26.87,-11.94,61.14
43.43,26.99,-12.55,57.87
37.83,27.82,-10.50,55.15
35.01,27.89,-8.99,53.91
32.04,27.27,-8.77,50.55
32.37,26.98,-7.71,51.63
34.78,26.94,-7.08,54.65
32.84,26.81,-9.09,50.55
33.24,26.87,-5.85,54.27
32.45,26.97,-8.29,51.13
32.04,27.59,-5.50,54.12
32.74,27.00,4.34,64.07
43.80,29.36,-5.69,67.48
46.39,27.31,-12.31,61.39
39.38,27.23,-11.28,55.33
33.76,27.00,-7.52,53.24
35.33,26.88,-7.27,54.94
51.58,31.64,-9.96,73.26
51.07,27.34,-7.10,71.32
49.32,27.02,-11.60,64.75
43.02,27.34,-11.07,59.28
36.85,27.12,-6.83,57.14
33.00,26.88,-9.52,50.35
30.69,26.86,-4.68,52.86
32.04,26.81,-4.16,54.68
32.70,26.88,-5.65,53.92
32.54,26.83,-4.45,54.92
34.15,26.85,-10.28,50.72
32.71,26.82,1.22,60.75
38.30,27.40,-8.46,57.24
34.14,27.90,-11.29,50.75
28.60,27.26,-2.12,53.74
27.74,26.97,-8.83,45.88
28.53,27.20,-8.77,46.96
28.52,27.57,0.33,56.42
28.88,27.25,-5.22,50.91
34.92,27.41,-10.49,51.83
29.43,26.92,-7.19,49.17
36.39,27.57,-2.68,61.27
40.88,27.32,-11.22,56.98
35.64,26.92,-6.37,56.19
34.98,26.93,-12.79,49.12
30.27,26.83,-8.17,48.93
43.26,27.37,-10.21,60.42
39.08,27.16,-7.50,58.74
36.74,26.91,-8.35,55.30
33.69,26.84,-10.02,50.52
30.17,26.86,-9.86,47.16
29.76,26.84,-3.96,52.63
32.47,26.88,-5.52,53.83
34.17,26.88,0.77,61.82
30.12,26.84,-9.01,47.96
28.28,26.94,-8.54,46.68
31.70,26.86,-3.35,55.21
34.73,26.96,-11.95,49.74
30.12,27.28,-9.08,48.32
30.89,27.82,-4.54,54.17
34.57,29.03,-7.31,56.28
34.82,27.67,-1.45,61.04
39.99,27.24,-6.33,60.91
39.41,26.98,-9.44,56.95
35.46,27.03,-12.13,50.36
30.24,27.47,-8.36,49.35
29.95,26.92,-7.75,49.12
30.50,26.94,-8.50,48.94
30.62,27.54,-7.80,50.36
30.97,27.04,-1.82,56.19
34.78,27.19,-12.57,49.40
30.46,26.83,-9.39,47.90
29.48,26.86,-8.37,47.96
29.30,26.84,-9.33,46.81
28.90,26.81,-8.63,47.08
30.51,26.87,-7.92,49.46
30.01,26.82,-8.88,47.96
29.74,26.87,-7.18,49.43
33.31,26.92,-10.12,50.11
30.26,26.92,-7.37,49.80
29.97,26.86,-7.55,49.28
30.70,27.83,-8.70,49.84
31.32,27.25,-9.56,49.01
41.17,28.39,-12.28,57.28
34.98,27.05,-7.89,54.14
31.53,27.50,-10.06,48.97
28.38,27.62,-9.83,46.18
31.24,27.08,-10.17,48.15
27.26,26.90,-9.38,44.78
33.19,26.99,-8.59,51.59
30.83,26.89,4.88,62.60
42.04,27.24,-12.28,57.00
34.76,27.22,-6.10,55.89
33.64,26.91,-0.45,60.10
38.73,27.47,-10.25,55.95
32.96,26.97,-9.10,50.83
29.88,26.93,-7.05,49.75
108.54,31.07,22.70,162.31
181.44,26.85,-3.68,204.61
196.60,26.92,0.88,224.40
157.18,26.93,0.93,185.03
106.69,26.85,-0.81,132.73
80.24,27.25,-9.44,98.05
70.76,27.40,-5.67,92.49
61.43,27.18,21.90,110.51
65.93,27.20,10.89,104.03
55.81,26.90,10.10,92.80
56.14,26.90,8.18,91.22
58.94,26.94,0.51,86.39
