Time_offload,Time_process,Time_reply,Time_e2e
38.43,1580.33,-10.68,1608.08
1618.91,18.35,-9.85,1627.42
1598.38,17.86,-13.18,1603.07
1577.33,17.73,-9.49,1585.57
1555.96,17.76,-14.00,1559.72
1534.73,17.69,-7.77,1544.65
1512.54,17.69,-11.85,1518.38
1489.85,18.00,-7.94,1499.91
1522.91,18.07,-4.24,1536.74
207.20,18.21,-13.62,211.78
223.01,17.33,-13.68,226.66
238.01,17.76,-9.13,246.64
217.55,17.89,-13.41,222.03
233.62,17.37,-7.98,243.01
212.23,17.37,-13.72,215.88
191.52,17.41,-6.57,202.37
188.47,17.30,-13.69,192.08
168.33,17.39,-13.09,172.64
182.60,17.34,-12.77,187.16
161.29,17.33,-10.32,168.31
175.29,17.34,-12.40,180.23
172.56,17.27,-13.53,176.29
151.43,17.23,-1.02,167.64
147.38,17.31,-13.06,151.62
161.36,17.97,-7.40,171.93
158.87,17.78,-8.81,167.84
137.58,17.62,-12.45,142.75
134.25,17.36,-13.59,138.02
147.95,17.34,-11.77,153.52
143.86,17.32,-13.74,147.45
139.70,17.35,-13.10,143.95
117.51,17.39,-10.44,124.45
133.15,17.36,-12.38,138.12
130.58,17.29,-9.78,138.09
109.36,17.28,-11.53,115.10
123.26,17.26,-13.13,127.40
119.83,17.26,-10.46,126.63
98.93,17.31,-11.73,104.51
112.58,17.28,-6.00,123.85
108.64,17.33,-13.64,112.34
87.58,17.85,-12.67,92.76
104.11,17.65,57.84,179.60
102.54,17.35,22.40,142.29
82.40,17.31,4.94,104.65
96.76,17.29,-11.77,102.27
93.02,17.30,-12.38,97.93
89.03,17.33,-11.36,95.01
84.88,17.33,-14.06,88.14
81.64,17.66,-5.31,93.98
78.60,17.38,-6.83,89.15
74.55,17.32,-2.05,89.81
70.16,17.30,-13.14,74.33
66.99,17.27,-12.49,71.77
63.44,17.33,20.94,101.70
59.59,17.32,0.27,77.17
55.08,17.31,-13.54,58.84
51.86,17.31,-11.73,57.44
48.56,17.32,-8.99,56.88
45.05,17.31,-11.79,50.57
41.36,17.25,-8.69,49.93
37.19,17.37,-5.64,48.92
32.72,17.34,-13.29,36.77
30.10,17.29,-12.06,35.33
28.90,17.83,-13.58,33.15
28.03,17.65,-11.99,33.69
31.93,17.86,-13.37,36.42
31.05,17.93,-13.41,35.56
29.99,17.60,-13.33,34.26
28.10,17.32,-13.22,32.20
27.10,17.30,-12.75,31.65
30.46,17.39,1.32,49.17
26.50,17.33,-13.64,30.19
26.62,17.35,-13.68,30.29
28.82,17.68,-12.81,33.69
26.85,17.32,-12.39,31.79
26.22,17.35,-13.44,30.13
26.44,17.37,-12.89,30.92
26.56,17.35,-11.79,32.13
25.30,17.34,-13.67,28.97
25.64,17.37,-13.76,29.25
26.38,18.10,-13.69,30.79
25.78,17.64,-12.89,30.53
26.83,17.38,-12.92,31.29
25.88,17.32,-13.11,30.08
27.98,17.34,-7.49,37.83
26.18,17.26,-13.49,29.95
26.45,18.06,-13.30,31.21
26.25,17.66,-13.62,30.30
25.58,17.32,-10.30,32.60
26.57,17.34,-12.91,31.00
25.90,17.31,-13.45,29.76
25.96,17.34,-8.23,35.08
27.64,17.38,-12.32,32.70
25.04,17.32,-11.23,31.13
25.67,17.29,-12.53,30.42
25.51,17.38,-13.68,29.21
26.45,17.59,-13.30,30.75
25.98,17.40,-11.18,32.21
36.78,17.34,-5.99,48.13
33.42,17.41,-7.50,43.32
30.33,17.34,-13.58,34.09
27.30,17.37,-10.33,34.34
27.15,17.31,-13.73,30.73
28.26,17.36,-13.75,31.87
26.83,17.61,-13.24,31.19
26.46,17.40,-13.90,29.96
27.22,17.34,-12.55,32.01
26.12,17.35,-14.00,29.47
27.81,17.39,-12.17,33.04
27.67,17.98,-13.51,32.14
26.78,17.79,-13.67,30.90
26.97,17.40,-13.51,30.86
26.85,17.36,-7.67,36.55
27.22,17.34,-13.08,31.47
26.38,17.31,-12.63,31.06
25.24,17.34,-13.98,28.60
25.20,17.33,-12.66,29.87
25.38,17.39,-13.60,29.18
25.67,17.34,-13.53,29.48
24.36,18.01,-13.66,28.72
25.27,18.04,2.50,45.81
25.83,17.74,-13.23,30.34
