Time_offload,Time_process,Time_reply,Time_e2e
43.11,39.53,-5.62,77.02
61.38,18.32,-13.50,66.20
78.71,18.54,-9.38,87.87
57.58,18.37,10.69,86.64
98.23,18.37,-12.94,103.66
78.17,17.78,-9.35,86.61
57.80,17.51,-12.74,62.57
54.82,17.38,-11.45,60.75
51.30,17.55,-13.32,55.52
49.29,17.41,-13.60,53.09
46.58,17.36,-11.25,52.70
43.59,17.36,-8.69,52.27
40.39,17.36,-12.13,45.62
55.63,17.34,-13.48,59.50
53.01,17.38,-13.48,56.91
50.14,17.36,-13.61,53.90
47.76,17.33,-10.29,54.80
47.58,17.42,-9.77,55.23
47.62,17.40,-9.58,55.44
49.26,17.33,-9.31,57.28
47.77,17.35,-13.31,51.81
46.88,17.41,-8.99,55.30
46.89,17.87,-12.18,52.58
52.00,17.48,-11.90,57.58
35.06,17.64,-5.67,47.02
53.05,17.49,-12.51,58.03
37.43,17.43,-7.83,47.03
52.99,17.41,-10.63,59.78
39.93,17.38,-9.59,47.71
54.48,17.36,-12.19,59.66
39.09,17.36,-8.21,48.24
54.59,17.86,-13.68,58.76
38.53,18.06,-8.00,48.59
53.97,17.43,-12.78,58.62
38.33,17.41,-7.47,48.27
54.75,17.36,-13.83,58.28
37.60,17.35,-6.90,48.06
52.38,17.37,-13.14,56.61
36.43,17.35,-10.09,43.69
51.26,17.35,-11.48,57.14
36.80,17.34,-5.22,48.93
56.27,17.38,-13.60,60.05
38.60,17.39,-12.64,43.35
52.34,17.38,-12.86,56.86
37.10,17.46,-8.01,46.55
57.76,18.08,-13.06,62.78
56.40,17.85,-12.63,61.62
54.15,17.37,-13.73,57.79
50.94,41.10,-5.99,86.06
72.90,17.43,-8.25,82.09
69.45,17.34,-13.57,73.21
66.47,17.34,-13.77,70.04
63.29,17.43,-13.56,67.15
61.42,17.38,-13.91,64.89
40.66,17.37,-9.76,48.26
54.74,17.29,-13.97,58.06
51.20,17.65,-13.03,55.82
31.08,17.62,-13.26,35.44
28.02,17.41,-12.56,32.87
26.76,17.38,-14.18,29.95
26.35,17.42,-13.89,29.88
26.31,17.39,-13.77,29.92
26.52,17.40,-10.83,33.09
26.29,17.39,-11.06,32.61
25.96,17.34,-13.85,29.45
24.46,17.39,-12.37,29.48
26.18,17.35,-13.97,29.57
25.17,17.37,-13.37,29.17
25.58,17.32,-12.55,30.35
25.68,17.42,-13.99,29.11
26.13,17.86,-13.87,30.12
25.97,17.94,-13.89,30.02
26.17,17.45,-12.11,31.51
25.96,17.37,-13.79,29.55
26.42,17.43,-13.98,29.87
26.01,17.37,-0.07,43.31
26.36,17.48,-13.34,30.50
24.92,18.17,-13.82,29.27
26.02,17.83,66.39,110.25
87.35,17.98,-11.75,93.58
85.00,17.47,-9.82,92.65
64.61,17.41,-13.23,68.78
113.99,17.76,-8.42,123.33
92.77,18.00,-11.04,99.73
72.14,17.65,-13.87,75.91
50.72,17.77,-6.95,61.54
67.17,17.52,-13.76,70.94
46.25,17.44,-13.31,50.38
79.86,17.36,0.94,98.16
60.07,17.37,-7.10,70.35
57.01,17.36,-12.53,61.83
53.85,17.32,-13.66,57.51
50.15,17.42,-12.15,55.42
46.94,17.41,-12.28,52.07
44.31,17.82,-11.71,50.41
41.79,17.64,-10.89,48.54
38.47,17.33,-9.06,46.74
36.18,17.33,-6.77,46.74
33.30,17.33,-14.00,36.64
30.82,17.32,-10.85,37.29
28.22,17.40,-12.65,32.97
25.57,17.38,-13.84,29.11
25.82,17.43,-14.08,29.16
27.16,17.36,-14.35,30.16
25.55,17.59,-13.08,30.07
25.91,17.66,-12.56,31.01
26.40,17.42,-14.04,29.79
25.60,17.41,-13.74,29.27
25.83,17.40,-13.65,29.58
25.69,17.38,-12.94,30.13
25.77,17.44,-13.88,29.34
25.57,17.39,-11.82,31.14
25.68,17.47,-4.77,38.38
25.86,17.40,-13.72,29.54
26.06,17.40,-13.09,30.37
25.49,17.43,-13.71,29.20
25.84,17.34,-13.03,30.15
25.85,17.90,-11.78,31.96
25.32,17.91,-13.62,29.61
24.97,17.65,-13.96,28.66
